"plh0107","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","1-pers.-HH","Male","72","0.212764632331851","0.168132375546608","0.257396889117093"
"Very important","1990","1-pers.-HH","Female","77","0.131570112618131","0.103498555891984","0.159641669344278"
"Very important","1990","(Married) couple without C. ","Male","229","0.236244481962676","0.208959022727165","0.263529941198187"
"Very important","1990","(Married) couple without C. ","Female","140","0.133516144668252","0.111887295218874","0.155144994117629"
"Very important","1990","Single parent ","Male","49","0.329823116821008","0.256046105311583","0.403600128330433"
"Very important","1990","Single parent ","Female","39","0.168670512975502","0.119522967305978","0.217818058645026"
"Very important","1990","Couple + C. LE 16 ","Male","240","0.32804959248961","0.293539060605713","0.362560124373508"
"Very important","1990","Couple + C. LE 16 ","Female","96","0.128736476437963","0.104341276430036","0.153131676445889"
"Very important","1990","Couple + C. GT 16 ","Male","281","0.336298503163721","0.304157612269965","0.368439394057476"
"Very important","1990","Couple + C. GT 16 ","Female","129","0.185043680448344","0.15505140250206","0.215035958394627"
"Very important","1990","Couple + C. LE and GT 16","Male","81","0.387976985832212","0.323439373694882","0.452514597969542"
"Very important","1990","Couple + C. LE and GT 16","Female","42","0.198194785975238","0.144278620912254","0.252110951038223"
"Important","1990","1-pers.-HH","Male","165","0.501669212702596","0.447141859898687","0.556196565506505"
"Important","1990","1-pers.-HH","Female","191","0.310465182637469","0.272040963977489","0.348889401297448"
"Important","1990","(Married) couple without C. ","Male","439","0.454125129209256","0.422142985617818","0.486107272800694"
"Important","1990","(Married) couple without C. ","Female","443","0.447336511128152","0.415718550911205","0.478954471345098"
"Important","1990","Single parent ","Male","81","0.514909774794431","0.436483313095511","0.593336236493351"
"Important","1990","Single parent ","Female","115","0.532507886307658","0.467022284053242","0.597993488562074"
"Important","1990","Couple + C. LE 16 ","Male","401","0.56843293120894","0.532026588356985","0.604839274060895"
"Important","1990","Couple + C. LE 16 ","Female","371","0.516200615101731","0.479798994179744","0.552602236023718"
"Important","1990","Couple + C. GT 16 ","Male","430","0.522182973849518","0.488200795964028","0.556165151735008"
"Important","1990","Couple + C. GT 16 ","Female","336","0.533516384009587","0.494986541374956","0.572046226644218"
"Important","1990","Couple + C. LE and GT 16","Male","111","0.485937933146247","0.419743081421214","0.552132784871279"
"Important","1990","Couple + C. LE and GT 16","Female","119","0.567791122515832","0.500790384865199","0.634791860166466"
"Less important","1990","1-pers.-HH","Male","47","0.147440333724637","0.108775390762677","0.186105276686597"
"Less important","1990","1-pers.-HH","Female","90","0.168955686770625","0.137837162635357","0.200074210905892"
"Less important","1990","(Married) couple without C. ","Male","118","0.13162529704867","0.109908462915827","0.153342131181514"
"Less important","1990","(Married) couple without C. ","Female","170","0.180567064339901","0.156106736988602","0.2050273916912"
"Less important","1990","Single parent ","Male","18","","",""
"Less important","1990","Single parent ","Female","41","0.172818744351637","0.123194783626085","0.222442705077189"
"Less important","1990","Couple + C. LE 16 ","Male","65","0.0966515669941546","0.0749322887929695","0.11837084519534"
"Less important","1990","Couple + C. LE 16 ","Female","211","0.287701971903484","0.254727253290065","0.320676690516902"
"Less important","1990","Couple + C. GT 16 ","Male","83","0.0955446396742023","0.0755457549636912","0.115543524384713"
"Less important","1990","Couple + C. GT 16 ","Female","118","0.186712477500557","0.156616123752705","0.21680883124841"
"Less important","1990","Couple + C. LE and GT 16","Male","21","","",""
"Less important","1990","Couple + C. LE and GT 16","Female","38","0.180237117978477","0.128248929371345","0.232225306585609"
"Quite unimportant","1990","1-pers.-HH","Male","39","0.138125821240917","0.100498248733602","0.175753393748231"
"Quite unimportant","1990","1-pers.-HH","Female","199","0.389009017973776","0.348521819356501","0.42949621659105"
"Quite unimportant","1990","(Married) couple without C. ","Male","145","0.178005091779398","0.153434024172775","0.20257615938602"
"Quite unimportant","1990","(Married) couple without C. ","Female","197","0.238580279863696","0.211477388740366","0.265683170987025"
"Quite unimportant","1990","Single parent ","Male","8","","",""
"Quite unimportant","1990","Single parent ","Female","28","","",""
"Quite unimportant","1990","Couple + C. LE 16 ","Male","5","","",""
"Quite unimportant","1990","Couple + C. LE 16 ","Female","46","0.0673609365568225","0.0491035055887045","0.0856183675249405"
"Quite unimportant","1990","Couple + C. GT 16 ","Male","36","0.0459738833125587","0.0317261830078968","0.0602215836172205"
"Quite unimportant","1990","Couple + C. GT 16 ","Female","61","0.0947274580415121","0.0721105739162274","0.117344342166797"
"Quite unimportant","1990","Couple + C. LE and GT 16","Male","6","","",""
"Quite unimportant","1990","Couple + C. LE and GT 16","Female","11","","",""
"Very important","1991","1-pers.-HH","Male","","","",""
"Very important","1991","1-pers.-HH","Female","","","",""
"Very important","1991","(Married) couple without C. ","Male","","","",""
"Very important","1991","(Married) couple without C. ","Female","","","",""
"Very important","1991","Single parent ","Male","","","",""
"Very important","1991","Single parent ","Female","","","",""
"Very important","1991","Couple + C. LE 16 ","Male","","","",""
"Very important","1991","Couple + C. LE 16 ","Female","","","",""
"Very important","1991","Couple + C. GT 16 ","Male","","","",""
"Very important","1991","Couple + C. GT 16 ","Female","","","",""
"Very important","1991","Couple + C. LE and GT 16","Male","","","",""
"Very important","1991","Couple + C. LE and GT 16","Female","","","",""
"Important","1991","1-pers.-HH","Male","","","",""
"Important","1991","1-pers.-HH","Female","","","",""
"Important","1991","(Married) couple without C. ","Male","","","",""
"Important","1991","(Married) couple without C. ","Female","","","",""
"Important","1991","Single parent ","Male","","","",""
"Important","1991","Single parent ","Female","","","",""
"Important","1991","Couple + C. LE 16 ","Male","","","",""
"Important","1991","Couple + C. LE 16 ","Female","","","",""
"Important","1991","Couple + C. GT 16 ","Male","","","",""
"Important","1991","Couple + C. GT 16 ","Female","","","",""
"Important","1991","Couple + C. LE and GT 16","Male","","","",""
"Important","1991","Couple + C. LE and GT 16","Female","","","",""
"Less important","1991","1-pers.-HH","Male","","","",""
"Less important","1991","1-pers.-HH","Female","","","",""
"Less important","1991","(Married) couple without C. ","Male","","","",""
"Less important","1991","(Married) couple without C. ","Female","","","",""
"Less important","1991","Single parent ","Male","","","",""
"Less important","1991","Single parent ","Female","","","",""
"Less important","1991","Couple + C. LE 16 ","Male","","","",""
"Less important","1991","Couple + C. LE 16 ","Female","","","",""
"Less important","1991","Couple + C. GT 16 ","Male","","","",""
"Less important","1991","Couple + C. GT 16 ","Female","","","",""
"Less important","1991","Couple + C. LE and GT 16","Male","","","",""
"Less important","1991","Couple + C. LE and GT 16","Female","","","",""
"Quite unimportant","1991","1-pers.-HH","Male","","","",""
"Quite unimportant","1991","1-pers.-HH","Female","","","",""
"Quite unimportant","1991","(Married) couple without C. ","Male","","","",""
"Quite unimportant","1991","(Married) couple without C. ","Female","","","",""
"Quite unimportant","1991","Single parent ","Male","","","",""
"Quite unimportant","1991","Single parent ","Female","","","",""
"Quite unimportant","1991","Couple + C. LE 16 ","Male","","","",""
"Quite unimportant","1991","Couple + C. LE 16 ","Female","","","",""
"Quite unimportant","1991","Couple + C. GT 16 ","Male","","","",""
"Quite unimportant","1991","Couple + C. GT 16 ","Female","","","",""
"Quite unimportant","1991","Couple + C. LE and GT 16","Male","","","",""
"Quite unimportant","1991","Couple + C. LE and GT 16","Female","","","",""
"Very important","1992","1-pers.-HH","Male","106","0.269986611775222","0.226315991094447","0.313657232455998"
"Very important","1992","1-pers.-HH","Female","106","0.13425005446357","0.109883583034004","0.158616525893135"
"Very important","1992","(Married) couple without C. ","Male","346","0.229003025911174","0.206712068989695","0.251293982832654"
"Very important","1992","(Married) couple without C. ","Female","249","0.154696801006461","0.135761337247767","0.173632264765155"
"Very important","1992","Single parent ","Male","57","0.307588303826848","0.238819393037553","0.376357214616143"
"Very important","1992","Single parent ","Female","80","0.189587926907469","0.148927468277117","0.23024838553782"
"Very important","1992","Couple + C. LE 16 ","Male","549","0.396723797072814","0.370402041449741","0.423045552695886"
"Very important","1992","Couple + C. LE 16 ","Female","337","0.20311321889648","0.18193283235719","0.22429360543577"
"Very important","1992","Couple + C. GT 16 ","Male","437","0.343447388725109","0.316364934481911","0.370529842968307"
"Very important","1992","Couple + C. GT 16 ","Female","274","0.244193567529764","0.217130139014307","0.271256996045221"
"Very important","1992","Couple + C. LE and GT 16","Male","146","0.388113725873619","0.3387250768591","0.437502374888138"
"Very important","1992","Couple + C. LE and GT 16","Female","108","0.272987953288108","0.225842091809619","0.320133814766597"
"Important","1992","1-pers.-HH","Male","187","0.45544699936784","0.406458759243629","0.504435239492052"
"Important","1992","1-pers.-HH","Female","233","0.31290309530746","0.279763050107464","0.346043140507456"
"Important","1992","(Married) couple without C. ","Male","588","0.429719210439118","0.403457771357979","0.455980649520257"
"Important","1992","(Married) couple without C. ","Female","606","0.422538120150712","0.396672456166118","0.448403784135306"
"Important","1992","Single parent ","Male","90","0.547994318322594","0.47383170682971","0.622156929815479"
"Important","1992","Single parent ","Female","186","0.511529142480157","0.459676785442457","0.563381499517857"
"Important","1992","Couple + C. LE 16 ","Male","683","0.525826349809041","0.498960380730826","0.552692318887256"
"Important","1992","Couple + C. LE 16 ","Female","708","0.503494306925962","0.477171883295867","0.529816730556058"
"Important","1992","Couple + C. GT 16 ","Male","576","0.495265431856232","0.466750412201609","0.523780451510855"
"Important","1992","Couple + C. GT 16 ","Female","451","0.468454348166049","0.437019285207169","0.499889411124929"
"Important","1992","Couple + C. LE and GT 16","Male","201","0.529957774637417","0.479375149959914","0.58054039931492"
"Important","1992","Couple + C. LE and GT 16","Female","181","0.540627242497496","0.487888154874742","0.593366330120249"
"Less important","1992","1-pers.-HH","Male","52","0.130343284838963","0.0972247514904356","0.163461818187491"
"Less important","1992","1-pers.-HH","Female","100","0.126826484634065","0.103041962765145","0.150611006502985"
"Less important","1992","(Married) couple without C. ","Male","147","0.116152264103598","0.099154792196047","0.133149736011149"
"Less important","1992","(Married) couple without C. ","Female","213","0.162049090077017","0.142753342452868","0.181344837701167"
"Less important","1992","Single parent ","Male","11","","",""
"Less important","1992","Single parent ","Female","52","0.160869655032247","0.122757302104068","0.198982007960426"
"Less important","1992","Couple + C. LE 16 ","Male","85","0.0692846548243993","0.0556218584559716","0.0829474511928269"
"Less important","1992","Couple + C. LE 16 ","Female","278","0.238092008811498","0.215669192983411","0.260514824639585"
"Less important","1992","Couple + C. GT 16 ","Male","98","0.0996818034026698","0.0825962480648826","0.116767358740457"
"Less important","1992","Couple + C. GT 16 ","Female","158","0.191473183022635","0.166686888528933","0.216259477516338"
"Less important","1992","Couple + C. LE and GT 16","Male","26","","",""
"Less important","1992","Couple + C. LE and GT 16","Female","45","0.152822181637339","0.114743533942678","0.190900829332"
"Quite unimportant","1992","1-pers.-HH","Male","52","0.144223104017974","0.109664950028919","0.178781258007029"
"Quite unimportant","1992","1-pers.-HH","Female","313","0.426020365594905","0.390677432161422","0.461363299028388"
"Quite unimportant","1992","(Married) couple without C. ","Male","284","0.22512549954611","0.202968558876266","0.247282440215954"
"Quite unimportant","1992","(Married) couple without C. ","Female","333","0.26071598876581","0.237727071725473","0.283704905806147"
"Quite unimportant","1992","Single parent ","Male","15","","",""
"Quite unimportant","1992","Single parent ","Female","39","0.138013275580127","0.102234563498059","0.173791987662195"
"Quite unimportant","1992","Couple + C. LE 16 ","Male","10","","",""
"Quite unimportant","1992","Couple + C. LE 16 ","Female","63","0.0553004653660593","0.0432673599987778","0.0673335707333409"
"Quite unimportant","1992","Couple + C. GT 16 ","Male","70","0.0616053760159895","0.0478926056274952","0.0753181464044839"
"Quite unimportant","1992","Couple + C. GT 16 ","Female","85","0.0958789012815513","0.0773314073038253","0.114426395259277"
"Quite unimportant","1992","Couple + C. LE and GT 16","Male","1","","",""
"Quite unimportant","1992","Couple + C. LE and GT 16","Female","9","","",""
"Very important","1993","1-pers.-HH","Male","","","",""
"Very important","1993","1-pers.-HH","Female","","","",""
"Very important","1993","(Married) couple without C. ","Male","","","",""
"Very important","1993","(Married) couple without C. ","Female","","","",""
"Very important","1993","Single parent ","Male","","","",""
"Very important","1993","Single parent ","Female","","","",""
"Very important","1993","Couple + C. LE 16 ","Male","","","",""
"Very important","1993","Couple + C. LE 16 ","Female","","","",""
"Very important","1993","Couple + C. GT 16 ","Male","","","",""
"Very important","1993","Couple + C. GT 16 ","Female","","","",""
"Very important","1993","Couple + C. LE and GT 16","Male","","","",""
"Very important","1993","Couple + C. LE and GT 16","Female","","","",""
"Important","1993","1-pers.-HH","Male","","","",""
"Important","1993","1-pers.-HH","Female","","","",""
"Important","1993","(Married) couple without C. ","Male","","","",""
"Important","1993","(Married) couple without C. ","Female","","","",""
"Important","1993","Single parent ","Male","","","",""
"Important","1993","Single parent ","Female","","","",""
"Important","1993","Couple + C. LE 16 ","Male","","","",""
"Important","1993","Couple + C. LE 16 ","Female","","","",""
"Important","1993","Couple + C. GT 16 ","Male","","","",""
"Important","1993","Couple + C. GT 16 ","Female","","","",""
"Important","1993","Couple + C. LE and GT 16","Male","","","",""
"Important","1993","Couple + C. LE and GT 16","Female","","","",""
"Less important","1993","1-pers.-HH","Male","","","",""
"Less important","1993","1-pers.-HH","Female","","","",""
"Less important","1993","(Married) couple without C. ","Male","","","",""
"Less important","1993","(Married) couple without C. ","Female","","","",""
"Less important","1993","Single parent ","Male","","","",""
"Less important","1993","Single parent ","Female","","","",""
"Less important","1993","Couple + C. LE 16 ","Male","","","",""
"Less important","1993","Couple + C. LE 16 ","Female","","","",""
"Less important","1993","Couple + C. GT 16 ","Male","","","",""
"Less important","1993","Couple + C. GT 16 ","Female","","","",""
"Less important","1993","Couple + C. LE and GT 16","Male","","","",""
"Less important","1993","Couple + C. LE and GT 16","Female","","","",""
"Quite unimportant","1993","1-pers.-HH","Male","","","",""
"Quite unimportant","1993","1-pers.-HH","Female","","","",""
"Quite unimportant","1993","(Married) couple without C. ","Male","","","",""
"Quite unimportant","1993","(Married) couple without C. ","Female","","","",""
"Quite unimportant","1993","Single parent ","Male","","","",""
"Quite unimportant","1993","Single parent ","Female","","","",""
"Quite unimportant","1993","Couple + C. LE 16 ","Male","","","",""
"Quite unimportant","1993","Couple + C. LE 16 ","Female","","","",""
"Quite unimportant","1993","Couple + C. GT 16 ","Male","","","",""
"Quite unimportant","1993","Couple + C. GT 16 ","Female","","","",""
"Quite unimportant","1993","Couple + C. LE and GT 16","Male","","","",""
"Quite unimportant","1993","Couple + C. LE and GT 16","Female","","","",""
"Very important","1994","1-pers.-HH","Male","","","",""
"Very important","1994","1-pers.-HH","Female","","","",""
"Very important","1994","(Married) couple without C. ","Male","","","",""
