"plh0107","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","1-pers.-HH","356","0.377531650792813","0.34550274697363","0.409560554611996","2"
"Important","1990","(Married) couple without C. ","882","0.450763198128718","0.428277429695529","0.473248966561907","2"
"Important","1990","Couple + C. LE 16 ","772","0.54243506197596","0.516658654620218","0.568211469331703","2"
"Important","1990","Single parent ","196","0.525370889878907","0.475097441653258","0.575644338104556","2"
"Important","1990","Couple + C. GT 16 ","766","0.526958651650861","0.501470568762593","0.552446734539129","2"
"Important","1990","Couple + C. LE and GT 16","230","0.524607113372392","0.477350469845575","0.571863756899208","2"
"Less important","1990","Couple + C. LE 16 ","276","0.191744103835635","0.171375672172483","0.212112535498786","3"
"Less important","1990","(Married) couple without C. ","288","0.155862755486766","0.139470776096709","0.172254734876823","3"
"Less important","1990","1-pers.-HH","137","0.16140899050372","0.137101187020718","0.185716793986722","3"
"Less important","1990","Single parent ","59","0.146900780802364","0.111260566205908","0.182540995398821","3"
"Less important","1990","Couple + C. GT 16 ","201","0.133960986841956","0.116572681952445","0.151349291731467","3"
"Less important","1990","Couple + C. LE and GT 16","59","0.135544456689735","0.103152912142204","0.167936001237266","3"
"Quite unimportant","1990","1-pers.-HH","238","0.301009565667963","0.27070329345825","0.331315837877676","4"
"Quite unimportant","1990","(Married) couple without C. ","342","0.208003775620062","0.189661599551925","0.226345951688199","4"
"Quite unimportant","1990","Single parent ","36","0.0937016241594888","0.0643631416898683","0.123040106629109","4"
"Quite unimportant","1990","Couple + C. LE 16 ","51","0.0369764218193318","0.0272129777685814","0.0467398658700822","4"
"Quite unimportant","1990","Couple + C. GT 16 ","97","0.0665176879821817","0.053796696299516","0.0792386796648474","4"
"Quite unimportant","1990","Couple + C. LE and GT 16","17","","","","4"
"Very important","1990","1-pers.-HH","149","0.160049793035504","0.135824943731491","0.184274642339517","1"
"Very important","1990","(Married) couple without C. ","369","0.185370270764455","0.167809083945596","0.202931457583313","1"
"Very important","1990","Single parent ","88","0.23402670515924","0.191401350116087","0.276652060202393","1"
"Very important","1990","Couple + C. LE 16 ","336","0.228844412369073","0.207109229335028","0.250579595403118","1"
"Very important","1990","Couple + C. GT 16 ","410","0.272562673525001","0.249831056505238","0.295294290544764","1"
"Very important","1990","Couple + C. LE and GT 16","123","0.298319855224294","0.255025615402319","0.341614095046269","1"
"Important","1991","(Married) couple without C. ","","","","","2"
"Important","1991","1-pers.-HH","","","","","2"
"Important","1991","Single parent ","","","","","2"
"Important","1991","Couple + C. LE 16 ","","","","","2"
"Important","1991","Couple + C. GT 16 ","","","","","2"
"Important","1991","Couple + C. LE and GT 16","","","","","2"
"Less important","1991","1-pers.-HH","","","","","3"
"Less important","1991","(Married) couple without C. ","","","","","3"
