"plh0107","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Urban Area","West Germany","1170","0.211611702293342","0.200586150967789","0.222637253618896"
"Very important","1990","Urban Area","East Germany","","","",""
"Very important","1990","Rural Area","West Germany","367","0.215206446456546","0.19489096253347","0.235521930379621"
"Very important","1990","Rural Area","East Germany","","","",""
"Important","1990","Urban Area","West Germany","2627","0.4840297631644","0.470539862576631","0.49751966375217"
"Important","1990","Urban Area","East Germany","","","",""
"Important","1990","Rural Area","West Germany","755","0.460517652081108","0.435878056203724","0.485157247958492"
"Important","1990","Rural Area","East Germany","","","",""
"Less important","1990","Urban Area","West Germany","835","0.156441607983273","0.146635558036674","0.166247657929872"
"Less important","1990","Urban Area","East Germany","","","",""
"Less important","1990","Rural Area","West Germany","256","0.167672424070513","0.149205278038453","0.186139570102573"
"Less important","1990","Rural Area","East Germany","","","",""
"Quite unimportant","1990","Urban Area","West Germany","640","0.147916926558984","0.138333732194485","0.157500120923484"
"Quite unimportant","1990","Urban Area","East Germany","","","",""
"Quite unimportant","1990","Rural Area","West Germany","194","0.156603477391834","0.138638013990579","0.174568940793088"
"Quite unimportant","1990","Rural Area","East Germany","","","",""
"Very important","1991","Urban Area","West Germany","","","",""
"Very important","1991","Urban Area","East Germany","","","",""
"Very important","1991","Rural Area","West Germany","","","",""
"Very important","1991","Rural Area","East Germany","","","",""
"Important","1991","Urban Area","West Germany","","","",""
"Important","1991","Urban Area","East Germany","","","",""
"Important","1991","Rural Area","West Germany","","","",""
"Important","1991","Rural Area","East Germany","","","",""
"Less important","1991","Urban Area","West Germany","","","",""
"Less important","1991","Urban Area","East Germany","","","",""
"Less important","1991","Rural Area","West Germany","","","",""
"Less important","1991","Rural Area","East Germany","","","",""
"Quite unimportant","1991","Urban Area","West Germany","","","",""
"Quite unimportant","1991","Urban Area","East Germany","","","",""
"Quite unimportant","1991","Rural Area","West Germany","","","",""
"Quite unimportant","1991","Rural Area","East Germany","","","",""
"Very important","1992","Urban Area","West Germany","1155","0.211681605974065","0.200612651166178","0.222750560781952"
"Very important","1992","Urban Area","East Germany","486","0.357193592582993","0.331528092486627","0.382859092679359"
"Very important","1992","Rural Area","West Germany","372","0.216649150184825","0.196488591481149","0.236809708888501"
"Very important","1992","Rural Area","East Germany","893","0.334919737541609","0.315962467603742","0.353877007479476"
"Important","1992","Urban Area","West Germany","2541","0.466925553995682","0.453406945936779","0.480444162054585"
"Important","1992","Urban Area","East Germany","602","0.408958283548211","0.382624917585975","0.435291649510446"
"Important","1992","Rural Area","West Germany","775","0.469332294803545","0.444909382057423","0.493755207549666"
"Important","1992","Rural Area","East Germany","995","0.394443374149096","0.374812569281997","0.414074179016195"
"Less important","1992","Urban Area","West Germany","846","0.159521912999183","0.149600178635994","0.169443647362373"
"Less important","1992","Urban Area","East Germany","110","0.0842057901882646","0.0693317919058676","0.0990797884706617"
"Less important","1992","Rural Area","West Germany","240","0.145741429033586","0.128473824520736","0.163009033546437"
"Less important","1992","Rural Area","East Germany","172","0.0758143772038738","0.0651821613941767","0.0864465930135709"
"Quite unimportant","1992","Urban Area","West Germany","690","0.16187092703107","0.15189038556906","0.17185146849308"
"Quite unimportant","1992","Urban Area","East Germany","141","0.149642333680532","0.130535626212059","0.168749041149005"
"Quite unimportant","1992","Rural Area","West Germany","217","0.168277125978044","0.149968836318803","0.186585415637285"
"Quite unimportant","1992","Rural Area","East Germany","321","0.194822511105421","0.178913844742442","0.2107311774684"
"Very important","1993","Urban Area","West Germany","","","",""
"Very important","1993","Urban Area","East Germany","","","",""
"Very important","1993","Rural Area","West Germany","","","",""
"Very important","1993","Rural Area","East Germany","","","",""
"Important","1993","Urban Area","West Germany","","","",""
"Important","1993","Urban Area","East Germany","","","",""
"Important","1993","Rural Area","West Germany","","","",""
"Important","1993","Rural Area","East Germany","","","",""
"Less important","1993","Urban Area","West Germany","","","",""
"Less important","1993","Urban Area","East Germany","","","",""
"Less important","1993","Rural Area","West Germany","","","",""
"Less important","1993","Rural Area","East Germany","","","",""
"Quite unimportant","1993","Urban Area","West Germany","","","",""
"Quite unimportant","1993","Urban Area","East Germany","","","",""
