"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Female","8.53","6","2645","1","2","12","20","38","8.24","8.82","0","58","5","6"
"1984","Male","12.12","10","4447","1","4","19","28","41","11.84","12.4","0","59","8","10"
"1985","Female","8.24","6","2422","1","2","12","19","36","7.94","8.54","0","67","5","6"
"1985","Male","11.96","9","3851","1","3","18","27","40","11.66","12.26","0","67","8","9"
"1986","Female","2.67","1","342","0","1","1","7","28","2.17","3.17","0","44","1","1"
"1986","Male","3.76","1","567","0","1","4","13","28","3.26","4.26","0","43","1","1"
"1987","Female","1.94","1","524","0","1","1","5","19","1.62","2.26","0","36","1","1"
"1987","Male","3.23","1","698","0","1","2","11","27","2.81","3.65","0","41","1","1"
"1988","Female","8.47","6","2295","1","2","13","20","38","8.14","8.8","0","55","5","6"
"1988","Male","12.15","9","3506","1","3","19","28","40","11.83","12.47","0","54","8","9"
"1989","Female","","","","","","","","","","","","","",""
"1989","Male","","","","","","","","","","","","","",""
"1990","Female","9.32","6","3843","1","2","14","22","39","9.04","9.6","0","53","6","7"
"1990","Male","12.4","10","5077","1","3","20","29","42","12.11","12.69","0","54","9","10"
"1991","Female","8.73","5","3686","1","2","13","21","38","8.45","9.01","0","58","5","5"
"1991","Male","11.66","9","4956","1","2","19","28","41","11.37","11.95","0","55","7","8"
"1992","Female","8.43","5","3425","1","2","13","21","36","8.15","8.71","0","52","4","4"
"1992","Male","11.29","7","4687","1","2","19","27","41","11","11.58","0","54","6","7"
"1993","Female","8.15","4","3368","1","2","13","21","36","7.87","8.43","0","48","3","4"
"1993","Male","11.07","7","4507","1","2","18","27","39","10.78","11.36","0","48","6","7"
"1994","Female","8.32","5","3245","1","2","12","21","35","8.04","8.6","0","44","4","4"
"1994","Male","11.36","7","4321","1","3","18","28","40","11.06","11.66","0","50","6","7"
"1995","Female","8.22","5","3370","1","2","12","22","36","7.95","8.49","0","45","4","5"
"1995","Male","10.85","6","4478","1","3","17","27","41","10.56","11.14","0","51","5","6"
"1996","Female","8.34","5","3318","1","2","12","21","35","8.07","8.61","0","48","5","5"
"1996","Male","10.87","7","4338","1","2","17","27","40","10.58","11.16","0","51","6","6"
"1997","Female","8.46","5","3205","1","2","12","22","35","8.18","8.74","0","50","5","5"
"1997","Male","10.99","7","4194","1","3","17","27","40","10.69","11.29","0","49","6","6"
"1998","Female","8.78","6","3514","1","2","12","22","35","8.51","9.05","0","49","5","6"
"1998","Male","10.99","7","4608","1","2","18","27","40","10.7","11.28","0","53","6","7"
"1999","Female","8.74","6","3554","1","2","12","22","35","8.47","9.01","0","51","5","6"
"1999","Male","10.61","7","4517","1","2","17","27","41","10.32","10.9","0","57","6","7"
"2000","Female","8.67","6","6094","1","2","12","22","36","8.45","8.89","0","52","5","6"
"2000","Male","10.83","8","7657","1","2","17","27","41","10.6","11.06","0","58","7","8"
"2001","Female","8.77","6","5692","1","2","12","22","37","8.55","8.99","0","51","5","6"
"2001","Male","10.91","7","6917","1","2","17","27","41","10.67","11.15","0","59","7","8"
"2002","Female","8.89","6","6122","1","2","13","22","37","8.66","9.12","0","51","6","7"
"2002","Male","11.18","8","7264","1","3","17","28","41","10.94","11.42","0","58","8","9"
"2003","Female","9.27","6","5850","1","2","13","23","39","9.03","9.51","0","52","6","7"
"2003","Male","11.3","8","6794","1","3","17","28","40","11.05","11.55","0","57","8","9"
"2004","Female","9.39","6","5697","1","2","14","24","37","9.15","9.63","0","53","6","7"
"2004","Male","11.54","8","6540","1","3","18","28","42","11.28","11.8","0","56","8","9"
"2005","Female","9.44","6","5446","1","2","14","23","37","9.2","9.68","0","47","6","7"
"2005","Male","11.29","8","6144","1","3","17","27","41","11.03","11.55","0","57","8","9"
"2006","Female","9.68","6","5775","1","2","15","24","38","9.44","9.92","0","51","7","7"
"2006","Male","11.35","8","6421","1","3","17","28","41","11.09","11.61","0","60","9","9"
"2007","Female","9.63","7","5516","1","2","15","24","38","9.38","9.88","0","52","7","8"
"2007","Male","11.41","8","6104","1","3","17","28","40","11.14","11.68","0","59","9","9"
"2008","Female","9.72","7","5316","1","2","15","23","39","9.46","9.98","0","53","7","8"
"2008","Male","11.42","8","5755","1","2","18","28","40","11.14","11.7","0","59","9","10"
"2009","Female","9.88","7","5016","1","2","15","24","39","9.61","10.15","0","51","7","8"
"2009","Male","11.67","8","5293","1","3","18","29","41","11.37","11.97","0","64","9","10"
"2010","Female","9.88","7","6659","1","2","15","24","39","9.65","10.11","0","52","6","7"
"2010","Male","12.13","9","7312","1","3","19","29","42","11.89","12.37","0","61","8","9"
"2011","Female","10.13","7","8418","1","2","16","25","40","9.93","10.33","0","56","6","7"
"2011","Male","11.72","8","8429","1","3","19","28","42","11.5","11.94","0","62","9","9"
"2012","Female","10.21","6","8407","1","2","16","25","39","10","10.42","0","55","6","7"
"2012","Male","11.71","8","8228","1","3","19","28","42","11.48","11.94","0","63","8","9"
"2013","Female","9.97","6","9587","1","2","15","25","40","9.78","10.16","0","56","5","5"
"2013","Male","11.58","8","9374","1","2","18","28","42","11.37","11.79","0","64","7","7"
"2014","Female","10.13","6","8468","1","2","16","25","40","9.93","10.33","0","57","5","6"
"2014","Male","11.67","8","8234","1","3","18","29","43","11.44","11.9","0","61","7","8"
"2015","Female","10.1","6","8338","1","2","15","25","41","9.89","10.31","0","58","5","5"
"2015","Male","11.42","7","8162","1","2","18","29","43","11.19","11.65","0","56","6","7"
"2016","Female","10.23","6","7839","1","2","16","26","41","10.01","10.45","0","59","5","6"
"2016","Male","11.3","7","7709","1","2","18","28","43","11.06","11.54","0","62","6","6"
"2017","Female","10.21","6","8813","1","2","16","26","42","10","10.42","0","60","5","6"
"2017","Male","11.4","7","8946","1","2","18","28","43","11.18","11.62","0","57","6","6"
"2018","Female","10.28","6","8520","1","2","16","27","42","10.06","10.5","0","61","5","6"
"2018","Male","11.24","7","8805","1","2","18","29","43","11.02","11.46","0","55","5","6"
"2019","Female","10.46","6","8589","1","2","17","27","43","10.23","10.69","0","68","6","7"
"2019","Male","11.39","7","9538","1","2","18","29","44","11.16","11.62","0","65","7","7"
