"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","East Germany","","","","","","","","","","","","","",""
"1985","Rural Area","West Germany","11.2","8","1214","1","3","17","27","41","10.65","11.75","0","67","7","8"
"1985","Urban Area","East Germany","","","","","","","","","","","","","",""
"1985","Urban Area","West Germany","10.27","7","5059","1","3","15","24","38","10.03","10.51","0","58","7","8"
"1986","Rural Area","East Germany","","","","","","","","","","","","","",""
"1986","Rural Area","West Germany","4.18","1","172","0","1","3","15","31","3.22","5.14","0","32","1","1"
"1986","Urban Area","East Germany","","","","","","","","","","","","","",""
"1986","Urban Area","West Germany","3.13","1","737","0","1","3","10","27","2.74","3.52","0","44","1","1"
"1987","Rural Area","East Germany","","","","","","","","","","","","","",""
"1987","Rural Area","West Germany","2.88","1","283","0","0","1","8","36","2.18","3.58","0","41","1","1"
"1987","Urban Area","East Germany","","","","","","","","","","","","","",""
"1987","Urban Area","West Germany","2.57","1","939","0","1","1","8","22","2.28","2.86","0","30","1","1"
"1988","Rural Area","East Germany","","","","","","","","","","","","","",""
"1988","Rural Area","West Germany","11.02","8","1142","1","2","17","27","40","10.46","11.58","0","54","7","8"
"1988","Urban Area","East Germany","","","","","","","","","","","","","",""
"1988","Urban Area","West Germany","10.54","8","4659","1","2","16","25","39","10.28","10.8","0","55","7","8"
"1989","Rural Area","East Germany","","","","","","","","","","","","","",""
"1989","Rural Area","West Germany","","","","","","","","","","","","","",""
"1989","Urban Area","East Germany","","","","","","","","","","","","","",""
"1989","Urban Area","West Germany","","","","","","","","","","","","","",""
"1990","Rural Area","East Germany","12.73","10","2153","1","3","20","29","42","12.29","13.17","0","54","9","10"
"1990","Rural Area","West Germany","11.04","8","1109","1","2","17","28","42","10.45","11.63","0","45","6","8"
"1990","Urban Area","East Germany","12.41","10","1193","1","3","19","30","40","11.8","13.02","0","45","9","11"
"1990","Urban Area","West Germany","10.52","7","4397","1","2","17","25","40","10.25","10.79","0","53","6","7"
"1991","Rural Area","East Germany","10.91","7","1785","0","1","18","28","41","10.42","11.4","0","55","6","8"
"1991","Rural Area","West Germany","10.73","6.82","1187","1","2","17","27","40","10.15","11.31","0","46","6","7"
"1991","Urban Area","East Germany","10.53","6.01","972","0","1","17","27","40","9.86","11.2","0","43","6","7"
"1991","Urban Area","West Germany","10.23","7","4636","1","2","16","25","40","9.96","10.5","0","58","6","6"
"1992","Rural Area","East Germany","8.92","3","1484","1","1","15","27","39","8.4","9.44","0","42","2","3"
"1992","Rural Area","West Germany","10.57","6","1177","1","2","17","27","41","10","11.14","0","47","5","7"
