"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","Female","7.29","5.76","765","1","2","11","15","29","6.87","7.71","0","36","5","6"
"1984","direct migration background","Male","9","7","1501","1","3","13","19","33","8.66","9.34","0","44","7","8"
"1984","indirect migration background","Female","5.02","3.59","32","0","2","6","11","17","3.63","6.41","0","17","1","5"
"1984","indirect migration background","Male","4.85","2","35","0","0","7","18","23","1.99","7.71","0","33","1","3"
"1984","no migration background","Female","8.69","6","1848","1","2","12","20","39","8.31","9.07","0","58","5","6"
"1984","no migration background","Male","12.56","10","2911","1","4","19","29","41","12.18","12.94","0","59","9","10"
"1985","direct migration background","Female","7.32","5","652","1","3","12","15","26","6.86","7.78","0","30","5","7"
"1985","direct migration background","Male","9.21","7","1251","1","3","14","20","35","8.83","9.59","0","40","7","9"
"1985","indirect migration background","Female","","","","","","","","","","","","","",""
"1985","indirect migration background","Male","4.37","1.26","34","1","1","4","13","20","2.54","6.2","1","20","1","3"
"1985","no migration background","Female","8.36","6","1742","1","2","12","20","36","7.99","8.73","0","67","5","6"
"1985","no migration background","Male","12.37","10","2566","1","4","19","28","41","11.97","12.77","0","67","9","10"
"1986","direct migration background","Female","1.52","1","55","0","0","1","3","10","0.71","2.33","0","19","1","1"
"1986","direct migration background","Male","2.62","1","143","0","0","3","7","23","1.87","3.37","0","25","1","1"
"1986","indirect migration background","Female","","","","","","","","","","","","","",""
"1986","indirect migration background","Male","","","","","","","","","","","","","",""
"1986","no migration background","Female","2.77","1","280","0","1","2","8","28","2.18","3.36","0","44","1","1"
"1986","no migration background","Male","3.88","1","410","0","1","4","14","28","3.25","4.51","0","43","1","1"
"1987","direct migration background","Female","0.99","1","100","0","0","1","2","6","0.46","1.52","0","18","1","1"
"1987","direct migration background","Male","2.3","1","186","0","0","1","7","20","1.62","2.98","0","23","1","1"
"1987","indirect migration background","Female","","","","","","","","","","","","","",""
"1987","indirect migration background","Male","","","","","","","","","","","","","",""
"1987","no migration background","Female","2.02","1","411","0","1","1","6","19","1.64","2.4","0","36","1","1"
"1987","no migration background","Male","3.35","1","493","0","1","2","12","30","2.82","3.88","0","41","1","1"
"1988","direct migration background","Female","8.17","6","602","1","2","13","18","32","7.62","8.72","0","34","5","7"
"1988","direct migration background","Male","9.97","8","1102","1","3","15","21","32","9.53","10.41","0","36","8","9"
"1988","indirect migration background","Female","6.52","2.09","51","0","1","6","25","25","5.03","8.01","0","25","1","3"
"1988","indirect migration background","Male","4.54","2","65","1","1","6","16","23","3.42","5.66","0","23","1","2"
"1988","no migration background","Female","8.52","6","1642","1","2","13","20","39","8.12","8.92","0","55","5","6"
"1988","no migration background","Male","12.49","10","2339","1","3","20","28","41","12.06","12.92","0","54","9","10"
"1989","direct migration background","Female","","","","","","","","","","","","","",""
"1989","direct migration background","Male","","","","","","","","","","","","","",""
"1989","indirect migration background","Female","","","","","","","","","","","","","",""
"1989","indirect migration background","Male","","","","","","","","","","","","","",""
"1989","no migration background","Female","","","","","","","","","","","","","",""
"1989","no migration background","Male","","","","","","","","","","","","","",""
"1990","direct migration background","Female","8.79","6","617","1","2","15","21","30","8.18","9.4","0","40","6","7"
"1990","direct migration background","Male","10.79","9","1066","1","3","17","23","38","10.28","11.3","0","47","9","11"
"1990","indirect migration background","Female","4.76","3","73","1","2","8","13","17","3.82","5.7","0","18","1","3"
"1990","indirect migration background","Male","5","3","80","1","1","6","13","25","4.13","5.87","0","25","2","3"
"1990","no migration background","Female","9.42","6","3153","1","2","14","22","39","9.1","9.74","0","53","6","7"
"1990","no migration background","Male","12.65","10","3931","1","3","20","30","42","12.31","12.99","0","54","9","10"
"1991","direct migration background","Female","8.3","5","641","1","2","13","21","30","7.7","8.9","0","35","5","7"
"1991","direct migration background","Male","10.84","9","1079","1","3","17","23","36","10.32","11.36","0","43","8","10"
"1991","indirect migration background","Female","3.82","2","97","0","1","4","8","24","3.1","4.54","0","24","1","2"
"1991","indirect migration background","Male","4.44","2","112","1","1","5","14","26","3.72","5.16","0","26","2","2"
"1991","no migration background","Female","8.84","5","2948","1","2","14","22","39","8.52","9.16","0","58","5","6"
"1991","no migration background","Male","11.85","9","3765","1","2","20","29","41","11.5","12.2","0","55","7","9"
"1992","direct migration background","Female","8.74","6","586","1","2","13","21","30","8.1","9.38","0","33","5","7"
"1992","direct migration background","Male","10.88","9","1028","1","3","18","24","34","10.35","11.41","0","47","7","10"
"1992","indirect migration background","Female","3.75","2","111","0","1","5","8","20","3.14","4.36","0","20","2","2"
"1992","indirect migration background","Male","4.35","2","120","1","1","5","11","27","3.63","5.07","0","27","2","2"
"1992","no migration background","Female","8.47","5","2728","1","2","13","22","37","8.15","8.79","0","52","4","4"
"1992","no migration background","Male","11.44","7","3539","1","2","19","28","41","11.09","11.79","0","54","6","7"
"1993","direct migration background","Female","8.45","6","573","1","2","13","21","31","7.78","9.12","0","48","5","7"
"1993","direct migration background","Male","11.02","8.39","947","1","3","17","24","35","10.46","11.58","0","40","8","10"
"1993","indirect migration background","Female","3.33","2","129","0","1","4","9","20","2.76","3.9","0","20","1","2"
"1993","indirect migration background","Male","4.04","2","156","1","1","4","11","28","3.42","4.66","0","28","1","3"
"1993","no migration background","Female","8.22","4","2666","1","2","13","22","36","7.91","8.53","0","43","3","4"
"1993","no migration background","Male","11.22","7","3404","1","2","18","28","40","10.87","11.57","0","48","5","6"
"1994","direct migration background","Female","8.4","5","524","1","2","13","20","29","7.72","9.08","0","33","5","6"
"1994","direct migration background","Male","11.01","8","842","1","3","17","24","34","10.4","11.62","0","47","8","10"
"1994","indirect migration background","Female","3.51","2","135","1","1","5","8","12","2.96","4.06","0","18","2","3"
"1994","indirect migration background","Male","3.98","2","159","0","1","4","10","29","3.28","4.68","0","29","2","2"
"1994","no migration background","Female","8.42","5","2586","1","2","13","22","36","8.1","8.74","0","44","4","4"
"1994","no migration background","Male","11.58","8","3320","1","3","19","28","41","11.23","11.93","0","50","5","6"
"1995","direct migration background","Female","6.98","4.82","595","1","2","10","17","29","6.37","7.59","0","34","4","5"
"1995","direct migration background","Male","9.55","6","961","1","2","15","24","34","8.99","10.11","0","41","6","7"
"1995","indirect migration background","Female","4.57","2","143","1","1","5","11","29","3.92","5.22","0","29","2","3"
"1995","indirect migration background","Male","3.86","2","168","1","1","4","9","30","3.23","4.49","0","30","2","3"
"1995","no migration background","Female","8.48","5","2632","1","2","13","22","37","8.16","8.8","0","45","4","5"
"1995","no migration background","Male","11.22","7","3349","1","3","18","28","41","10.87","11.57","0","51","5","6"
"1996","direct migration background","Female","6.75","4","566","1","2","8","18","28","6.13","7.37","0","32","4","5"
"1996","direct migration background","Male","10.01","7","871","1","3","16","25","37","9.4","10.62","0","42","6","7"
"1996","indirect migration background","Female","4.05","2.86","146","1","1","5","9","16","3.47","4.63","0","19","2","3"
"1996","indirect migration background","Male","3.83","2","175","1","1","4","7","31","3.19","4.47","0","31","2","2"
"1996","no migration background","Female","8.68","5.47","2606","1","2","13","22","36","8.36","9","0","48","5","5"
"1996","no migration background","Male","11.17","7","3292","1","3","18","27","40","10.83","11.51","0","51","6","6"
"1997","direct migration background","Female","7.16","5","503","1","2","9","19","30","6.49","7.83","0","32","5","6"
"1997","direct migration background","Male","10.46","7","815","1","3","16","26","38","9.84","11.08","0","44","6","8"
"1997","indirect migration background","Female","3.61","2","159","0","1","5","10","15","3","4.22","0","20","1","3"
"1997","indirect migration background","Male","3.81","2","193","0","1","5","7","32","3.22","4.4","0","32","2","3"
"1997","no migration background","Female","8.81","6","2543","1","2","13","22","35","8.49","9.13","0","50","5","6"
"1997","no migration background","Male","11.29","7","3186","1","3","18","27","40","10.94","11.64","0","49","6","7"
"1998","direct migration background","Female","7.35","5","492","1","2","10","18","30","6.67","8.03","0","36","5","6"
"1998","direct migration background","Male","10.85","8","788","1","2","18","27","37","10.19","11.51","0","44","7","8"
"1998","indirect migration background","Female","3.78","2","166","1","1","5","11","16","3.17","4.39","0","21","2","3"
"1998","indirect migration background","Male","4.09","2","191","1","1","5","9","26","3.56","4.62","0","26","2","3"
"1998","no migration background","Female","9.18","6","2856","1","2","13","23","35","8.87","9.49","0","49","6","6"
"1998","no migration background","Male","11.23","7","3629","1","3","18","28","41","10.9","11.56","0","53","7","7"
"1999","direct migration background","Female","7.67","5","463","1","2","10","19","31","6.94","8.4","0","34","5","6"
"1999","direct migration background","Male","10.42","7","725","1","2","17","26","40","9.74","11.1","0","45","7","8"
"1999","indirect migration background","Female","4.78","3","168","1","1","7","12","17","4.11","5.45","0","22","2","3"
"1999","indirect migration background","Male","3.53","2.4","212","0","1","5","8","17","3.04","4.02","0","23","2","3"
"1999","no migration background","Female","9.04","6","2923","1","2","13","23","35","8.74","9.34","0","51","5","6"
"1999","no migration background","Male","10.9","7","3580","1","2","17","27","41","10.57","11.23","0","57","7","7"
"2000","direct migration background","Female","7.25","5","747","1","2","10","19","32","6.68","7.82","0","40","4","6"
"2000","direct migration background","Male","8.89","6","1054","1","2","13","23","34","8.35","9.43","0","41","6","7"
"2000","indirect migration background","Female","4.61","3","217","1","1","6","13","20","3.97","5.25","0","25","2","3"
