"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","East Germany","","","","","","","","","","","","","",""
"1984","Full Time","West Germany","12.02","10","5416","2","4","18","27","41","11.78","12.26","0","59","8","9"
"1984","Not Working","East Germany","","","","","","","","","","","","","",""
"1984","Not Working","West Germany","2.61","0","181","0","0","1","6","37","1.61","3.61","0","50","0","0"
"1984","Part Time","East Germany","","","","","","","","","","","","","",""
"1984","Part Time","West Germany","7.49","4","1495","1","1","11","18","38","7.09","7.89","0","57","4","4"
"1985","Full Time","East Germany","","","","","","","","","","","","","",""
"1985","Full Time","West Germany","11.62","9","4665","2","4","17","26","39","11.37","11.87","0","58","8","9"
"1985","Not Working","East Germany","","","","","","","","","","","","","",""
"1985","Not Working","West Germany","5.27","0","152","0","0","4","16","67","3.77","6.77","0","67","0","1"
"1985","Part Time","East Germany","","","","","","","","","","","","","",""
"1985","Part Time","West Germany","7.55","4","1456","1","1","12","20","37","7.13","7.97","0","67","4","4"
"1986","Full Time","East Germany","","","","","","","","","","","","","",""
"1986","Full Time","West Germany","4.6","1","542","0","1","6","14","28","4.07","5.13","0","44","1","2"
"1986","Not Working","East Germany","","","","","","","","","","","","","",""
"1986","Not Working","West Germany","0.88","0","47","0","0","0","1","27","-0.31","2.07","0","27","0","0"
"1986","Part Time","East Germany","","","","","","","","","","","","","",""
"1986","Part Time","West Germany","1.55","1","320","0","1","1","1","20","1.16","1.94","0","43","1","1"
"1987","Full Time","East Germany","","","","","","","","","","","","","",""
"1987","Full Time","West Germany","4.09","1","641","0","1","5","13","30","3.61","4.57","0","41","1","1"
"1987","Not Working","East Germany","","","","","","","","","","","","","",""
"1987","Not Working","West Germany","0.52","0","74","0","0","0","1","19","-0.03","1.07","0","19","0","0"
"1987","Part Time","East Germany","","","","","","","","","","","","","",""
"1987","Part Time","West Germany","1.17","1","507","0","1","1","1","13","1","1.34","0","20","1","1"
"1988","Full Time","East Germany","","","","","","","","","","","","","",""
"1988","Full Time","West Germany","11.85","9","4346","2","3","18","27","40","11.57","12.13","0","50","8","9"
"1988","Not Working","East Germany","","","","","","","","","","","","","",""
"1988","Not Working","West Germany","2.47","0","103","0","0","1","7","35","1.35","3.59","0","35","0","0"
"1988","Part Time","East Germany","","","","","","","","","","","","","",""
"1988","Part Time","West Germany","7.49","4","1352","1","1","12","18","39","7.07","7.91","0","55","3","4"
"1989","Full Time","East Germany","","","","","","","","","","","","","",""
"1989","Full Time","West Germany","","","","","","","","","","","","","",""
"1989","Not Working","East Germany","","","","","","","","","","","","","",""
"1989","Not Working","West Germany","","","","","","","","","","","","","",""
"1989","Part Time","East Germany","","","","","","","","","","","","","",""
"1989","Part Time","West Germany","","","","","","","","","","","","","",""
"1990","Full Time","East Germany","","","","","","","","","","","","","",""
"1990","Full Time","West Germany","11.82","9","4166","1","3","18","27","40","11.53","12.11","0","53","8","9"
"1990","Not Working","East Germany","","","","","","","","","","","","","",""
"1990","Not Working","West Germany","2.77","0","87","0","0","2","5","44","1.63","3.91","0","44","0","0"
"1990","Part Time","East Germany","","","","","","","","","","","","","",""
"1990","Part Time","West Germany","7.32","3","1253","1","1","11","20","35","6.89","7.75","0","46","3","3"
"1991","Full Time","East Germany","","","","","","","","","","","","","",""
"1991","Full Time","West Germany","11.62","9","4297","1","3","18","27","40","11.33","11.91","0","53","8","9"
"1991","Not Working","East Germany","","","","","","","","","","","","","",""
"1991","Not Working","West Germany","2.94","0","134","0","0","1","8","37","1.74","4.14","0","42","0","0"
"1991","Part Time","East Germany","","","","","","","","","","","","","",""
"1991","Part Time","West Germany","7.28","3","1363","1","1","11","20","40","6.86","7.7","0","58","2","3"
"1992","Full Time","East Germany","9.51","3","1946","1","1","16","28","40","9.05","9.97","0","52","3","4"
"1992","Full Time","West Germany","11.6","8","4280","1","3","19","27","40","11.31","11.89","0","49","7","8"
"1992","Not Working","East Germany","1.67","1","41","0","0","1","2","38","-0.18","3.52","0","38","0","1"
"1992","Not Working","West Germany","3.26","1","89","0","0","3","11","37","2.04","4.48","0","37","0","1"
"1992","Part Time","East Germany","5.09","1","446","0","1","7","17","32","4.36","5.82","0","42","1","1"
"1992","Part Time","West Germany","7.36","4","1310","1","1","11","20","40","6.93","7.79","0","54","3","3"
"1993","Full Time","East Germany","7.84","3","1816","1","2","12","24","38","7.41","8.27","0","45","3","3"
"1993","Full Time","West Germany","11.56","8","4174","1","3","18","26","39","11.27","11.85","0","48","7","8"
"1993","Not Working","East Germany","1.44","1","72","0","0","2","2","11","0.91","1.97","0","13","1","1"
"1993","Not Working","West Germany","2.56","0","115","0","0","2","7","26","1.59","3.53","0","29","0","0"
