"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","","","","","","","","","","","","","",""
"1984","West Germany","10.75","8","7092","1","3","16","25","40","10.54","10.96","0","59","7","8"
"1985","East Germany","","","","","","","","","","","","","",""
"1985","West Germany","10.47","7","6273","1","3","15","25","39","10.25","10.69","0","67","7","8"
"1986","East Germany","","","","","","","","","","","","","",""
"1986","West Germany","3.34","1","909","0","1","3","11","28","2.98","3.7","0","44","1","1"
"1987","East Germany","","","","","","","","","","","","","",""
"1987","West Germany","2.65","1","1222","0","1","1","8","26","2.37","2.93","0","41","1","1"
"1988","East Germany","","","","","","","","","","","","","",""
"1988","West Germany","10.65","8","5801","1","2","16","25","39","10.41","10.89","0","55","7","8"
"1989","East Germany","","","","","","","","","","","","","",""
"1989","West Germany","","","","","","","","","","","","","",""
"1990","East Germany","12.57","10","3414","1","3","19","30","41","12.22","12.92","0","54","10","10"
"1990","West Germany","10.63","8","5506","1","2","17","25","40","10.38","10.88","0","53","6","7"
"1991","East Germany","10.73","7","2816","0","1","17","28","41","10.34","11.12","0","55","6","7"
"1991","West Germany","10.34","7","5826","1","2","16","25","40","10.1","10.58","0","58","6","6"
"1992","East Germany","8.57","2","2433","1","1","14","26","39","8.17","8.97","0","52","2","3"
"1992","West Germany","10.48","7","5679","1","2","17","25","40","10.24","10.72","0","54","6","7"
"1993","East Germany","7.05","3","2265","1","1","9","22","36","6.68","7.42","0","45","2","3"
"1993","West Germany","10.49","7","5610","1","2","17","25","39","10.25","10.73","0","48","6","7"
"1994","East Germany","7.47","3","2217","1","2","10","23","37","7.09","7.85","0","43","3","3"
"1994","West Germany","10.7","7","5349","1","3","17","25","39","10.45","10.95","0","50","6","7"
"1995","East Germany","7.1","4","2201","1","2","8","22","38","6.73","7.47","0","51","4","4"
"1995","West Germany","10.37","7","5647","1","2","16","25","40","10.13","10.61","0","50","6","6"
"1996","East Germany","7.19","4","2136","1","2","7","21","38","6.83","7.55","0","45","4","4"
"1996","West Germany","10.39","7","5520","1","2","16","26","39","10.14","10.64","0","51","6","6"
"1997","East Germany","7.38","5","2070","1","2","7","21","39","7.01","7.75","0","46","5","5"
"1997","West Germany","10.49","7","5329","1","2","17","26","39","10.24","10.74","0","50","6","7"
"1998","East Germany","7.39","5","2161","1","2","8","19","36","7.05","7.73","0","43","5","6"
"1998","West Germany","10.66","7","5961","1","2","17","26","39","10.42","10.9","0","53","6","7"
"1999","East Germany","7.54","5","2173","1","2","9","20","37","7.19","7.89","0","48","5","6"
"1999","West Germany","10.3","7","5898","1","2","16","26","39","10.06","10.54","0","57","6","7"
"2000","East Germany","7.51","5","3197","1","2","9","19","37","7.23","7.79","0","49","5","6"
"2000","West Germany","10.4","7","10554","1","2","16","26","39","10.21","10.59","0","58","7","7"
"2001","East Germany","7.83","5","2973","1","2","10","19","38","7.53","8.13","0","50","5","6"
"2001","West Germany","10.42","7","9636","1","2","16","26","40","10.22","10.62","0","59","7","7"
"2002","East Germany","8.22","6","2937","1","2","11","20","38","7.91","8.53","0","50","6","7"
"2002","West Germany","10.56","7","10449","1","2","16","26","39","10.36","10.76","0","58","7","8"
"2003","East Germany","8.6","6","2814","1","2","12","20","37","8.28","8.92","0","48","6","7"
"2003","West Germany","10.76","7","9830","1","3","17","27","40","10.56","10.96","0","57","8","8"
"2004","East Germany","8.73","6","2757","1","2","13","20","37","8.41","9.05","0","49","7","8"
"2004","West Germany","10.94","7","9480","1","3","17","26","40","10.73","11.15","0","56","8","8"
"2005","East Germany","9.31","7","2598","1","2","14","21","38","8.97","9.65","0","50","7","8"
"2005","West Germany","10.68","7","8992","1","3","16","26","40","10.47","10.89","0","57","8","8"
"2006","East Germany","9.16","6","2729","1","2","14","21","37","8.83","9.49","0","48","7","8"
"2006","West Germany","10.9","7","9467","1","3","16","27","40","10.69","11.11","0","60","8","9"
"2007","East Germany","8.95","6","2654","1","2","14","20","37","8.61","9.29","0","48","7","8"
"2007","West Germany","10.95","7","8966","1","3","17","27","40","10.73","11.17","0","59","8","9"
"2008","East Germany","9.3","6","2561","1","2","15","22","38","8.94","9.66","0","57","7","8"
"2008","West Germany","10.93","8","8510","1","2","17","27","41","10.7","11.16","0","59","8","9"
"2009","East Germany","9.38","6","2438","1","2","15","21","38","9","9.76","0","58","7","8"
"2009","West Germany","11.15","8","7871","1","2","18","28","41","10.91","11.39","0","64","9","9"
"2010","East Germany","9.91","6","3049","1","2","16","23","38","9.59","10.23","0","51","6","7"
"2010","West Germany","11.33","8","10922","1","2","18","27","41","11.14","11.52","0","61","8","8"
"2011","East Germany","10.21","7","3572","1","2","17","23","38","9.91","10.51","0","52","7","8"
"2011","West Germany","11.15","8","13275","1","2","18","27","42","10.97","11.33","0","62","8","8"
"2012","East Germany","10.61","7","3511","1","3","17","23","39","10.3","10.92","0","49","7","8"
"2012","West Germany","11.09","7","13124","1","2","17","27","41","10.91","11.27","0","63","7","8"
"2013","East Germany","10.5","7","3556","1","2","17","23","39","10.19","10.81","0","47","6","7"
"2013","West Germany","10.89","7","15405","1","2","17","27","41","10.73","11.05","0","64","6","6"
"2014","East Germany","10.66","7","3188","1","2","17","24","40","10.32","11","0","47","6","7"
"2014","West Germany","11.01","7","13514","1","2","17","27","42","10.84","11.18","0","61","6","7"
"2015","East Germany","10.68","7","3090","1","2","17","25","40","10.33","11.03","0","48","6","7"
"2015","West Germany","10.82","7","13410","1","2","17","27","42","10.65","10.99","0","58","5","6"
"2016","East Germany","10.72","7","2991","1","2","17","25","40","10.36","11.08","0","47","6","7"
"2016","West Germany","10.81","7","12557","1","2","17","27","43","10.63","10.99","0","62","5","6"
"2017","East Germany","10.64","7","3420","1","2","17","26","41","10.3","10.98","0","48","6","7"
"2017","West Germany","10.88","7","14339","1","2","17","28","43","10.71","11.05","0","60","5","6"
"2018","East Germany","10.86","7","3381","1","2","17","27","42","10.51","11.21","0","45","6","7"
"2018","West Germany","10.77","6","13944","1","2","17","28","43","10.6","10.94","0","61","5","5"
"2019","East Germany","11.02","7","3571","1","2","17","28","43","10.67","11.37","0","55","7","8"
"2019","West Germany","10.95","7","14507","1","2","18","29","44","10.77","11.13","0","68","6","7"
