"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","16-34 y.","Rural Area","4.78","4","514","1","1","7","11","17","4.41","5.15","0","21","3","4"
"1985","16-34 y.","Urban Area","4.61","3","2094","1","1","7","11","17","4.43","4.79","0","20","3","3"
"1985","35-65 y.","Rural Area","15.56","14","695","3","7","23","31","44","14.81","16.31","0","45","12","14"
"1985","35-65 y.","Urban Area","14.29","13","2936","2","6","20","28","40","13.96","14.62","0","49","12","13"
"1985","66 and older","Rural Area","","","","","","","","","","","","","",""
"1985","66 and older","Urban Area","","","","","","","","","","","","","",""
"1986","16-34 y.","Rural Area","2.09","1","125","0","0","1","7","14","1.56","2.62","0","14","1","1"
"1986","16-34 y.","Urban Area","1.96","1","556","0","1","1","6","14","1.72","2.2","0","20","1","1"
"1986","35-65 y.","Rural Area","9.57","3","47","0","1","20","25","32","6.72","12.42","0","32","1","11"
"1986","35-65 y.","Urban Area","6.55","1","181","0","1","12","18","44","5.26","7.84","0","44","1","2"
"1986","66 and older","Rural Area","","","","","","","","","","","","","",""
"1986","66 and older","Urban Area","","","","","","","","","","","","","",""
"1987","16-34 y.","Rural Area","1.46","1","216","0","0","1","3","12","1.12","1.8","0","14","1","1"
"1987","16-34 y.","Urban Area","1.69","1","686","0","1","1","4","13","1.5","1.88","0","18","1","1"
"1987","35-65 y.","Rural Area","6.82","1","67","0","0","11","27","41","4.26","9.38","0","41","1","1"
"1987","35-65 y.","Urban Area","4.78","1","253","0","1","7","18","30","3.89","5.67","0","30","1","1"
"1987","66 and older","Rural Area","","","","","","","","","","","","","",""
"1987","66 and older","Urban Area","","","","","","","","","","","","","",""
"1988","16-34 y.","Rural Area","4.71","3","512","1","1","7","11","18","4.34","5.08","0","20","2","3"
"1988","16-34 y.","Urban Area","4.56","3","1998","1","1","7","11","17","4.38","4.74","0","22","3","3"
"1988","35-65 y.","Rural Area","15.74","14","624","2","8","24","31","42","14.95","16.53","0","50","12","15"
"1988","35-65 y.","Urban Area","14.69","14","2641","2","6","22","29","40","14.33","15.05","0","47","13","14"
