"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","(Married) couple without C.","11.5","6","200","0","2","18","31","50","9.84","13.16","0","57","4","8"
"1984","college entrance qualification","1-pers.-HH","7.57","5","125","0","1","11","21","33","6.18","8.96","0","39","3","6"
"1984","college entrance qualification","Couple + C. GT 16 ","12.58","5.98","118","0","2","23","31","40","10.3","14.86","0","43","3","14"
"1984","college entrance qualification","Couple + C. LE 16","8.85","7","223","1","4","13","19","26","7.97","9.73","0","40","6","8"
"1984","college entrance qualification","Couple + C. LE and GT 16","13.99","15.9","63","2","5","20","26","33","11.71","16.27","0","33","9","18"
"1984","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"1984","lower secondary degree","(Married) couple without C.","14.72","12","650","2","5","22","32","45","13.85","15.59","0","59","10","12"
"1984","lower secondary degree","1-pers.-HH","12.15","10","212","1","4","15","29","57","10.67","13.63","0","58","6","10"
"1984","lower secondary degree","Couple + C. GT 16 ","12.6","10","641","1","4","20","28","43","11.78","13.42","0","51","8","10"
"1984","lower secondary degree","Couple + C. LE 16","9.96","8","844","1","4","15","21","34","9.43","10.49","0","40","7","9"
"1984","lower secondary degree","Couple + C. LE and GT 16","10.58","7","549","1","2","17","27","37","9.77","11.39","0","46","4","6"
"1984","lower secondary degree","Single parent","8.58","6","181","1","2","14","20","30","7.4","9.76","0","36","4","7"
"1984","no degree/no degree yet","(Married) couple without C.","8.8","8","88","2","3","13","15","23","7.53","10.07","0","24","8","12"
"1984","no degree/no degree yet","1-pers.-HH","8.77","7","59","0","4","13","20","22","7.06","10.48","0","22","6","12"
"1984","no degree/no degree yet","Couple + C. GT 16 ","7.68","5.67","96","1","2","13","16","24","6.33","9.03","0","29","8","13"
"1984","no degree/no degree yet","Couple + C. LE 16","7.9","7.16","219","1","3","12","15","19","7.21","8.59","0","23","7","10"
"1984","no degree/no degree yet","Couple + C. LE and GT 16","6.88","4.14","132","1","1","12","16","22","5.8","7.96","0","24","6","11"
"1984","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"1984","Other degree","(Married) couple without C.","8.1","5.63","158","1","3","13","15","24","7.02","9.18","0","34","5","10"
"1984","Other degree","1-pers.-HH","7.59","6","97","1","3","12","15","22","6.43","8.75","0","22","5","10"
"1984","Other degree","Couple + C. GT 16 ","9.15","8.76","127","2","4","14","18","23","7.98","10.32","0","29","6","12"
"1984","Other degree","Couple + C. LE 16","7.81","7","447","1","4","12","15","20","7.32","8.3","0","22","7","9"
"1984","Other degree","Couple + C. LE and GT 16","9.32","8","159","1","4","14","19","23","8.31","10.33","0","24","7","11"
