"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","4.79","3","2910","1","1","7","11","18","4.63","4.95","0","34","3","4"
"1984","35-65 y.","14.59","13","4135","3","6","21","29","41","14.3","14.88","0","55","12","12"
"1984","66 and older","26.39","25","47","3","5","42","57","59","20.74","32.04","1","59","12","38"
"1985","16-34 y.","4.65","3","2608","1","1","7","11","17","4.49","4.81","0","21","3","4"
"1985","35-65 y.","14.57","13","3631","2","6","21","29","40","14.27","14.87","0","49","12","13"
"1985","66 and older","24.78","21.24","34","5","8","37","43","67","18.57","30.99","2","67","11","35"
"1986","16-34 y.","1.99","1","681","0","1","1","6","14","1.78","2.2","0","20","1","1"
"1986","35-65 y.","7.21","1","228","0","1","13","21","43","6.03","8.39","0","44","1","3"
"1986","66 and older","","","","","","","","","","","","","",""
"1987","16-34 y.","1.63","1","902","0","1","1","4","12","1.46","1.8","0","18","1","1"
"1987","35-65 y.","5.24","1","320","0","1","7","18","36","4.36","6.12","0","41","1","1"
"1987","66 and older","","","","","","","","","","","","","",""
"1988","16-34 y.","4.59","3","2510","1","1","7","11","17","4.43","4.75","0","22","3","3"
"1988","35-65 y.","14.91","14","3265","2","7","22","29","41","14.58","15.24","0","50","13","14"
"1988","66 and older","","","","","","","","","","","","","",""
"1989","16-34 y.","","","","","","","","","","","","","",""
"1989","35-65 y.","","","","","","","","","","","","","",""
"1989","66 and older","","","","","","","","","","","","","",""
"1990","16-34 y.","4.64","3","3741","1","1","7","11","17","4.5","4.78","0","24","3","3"
"1990","35-65 y.","15.25","14","5132","2","6","22","30","41","14.97","15.53","0","53","14","15"
"1990","66 and older","28.97","33.6","47","4","14","44","45","54","24.07","33.87","0","54","18","40"
"1991","16-34 y.","4.33","3","3667","1","1","6","11","17","4.19","4.47","0","20","2","3"
"1991","35-65 y.","14.39","13","4937","1","4","22","30","41","14.1","14.68","0","49","13","13"
"1991","66 and older","27.34","21","38","1","10","43","53","58","21.28","33.4","0","58","17","41"
"1992","16-34 y.","4.12","3","3413","1","1","6","11","17","3.99","4.25","0","22","2","3"
"1992","35-65 y.","13.87","12","4675","1","4","22","29","40","13.57","14.17","0","49","11","12"
"1992","66 and older","","","","","","","","","","","","","",""
"1993","16-34 y.","4.09","3","3349","1","1","6","10","17","3.96","4.22","0","33","2","3"
"1993","35-65 y.","13.51","12","4499","1","4","21","28","40","13.21","13.81","0","48","11","12"
"1993","66 and older","","","","","","","","","","","","","",""
"1994","16-34 y.","4.37","3","3193","1","1","6","11","16","4.24","4.5","0","25","3","3"
"1994","35-65 y.","13.55","12","4348","2","4","21","29","40","13.24","13.86","0","47","10","12"
"1994","66 and older","","","","","","","","","","","","","",""
"1995","16-34 y.","4.28","3","3290","1","1","6","10","16","4.15","4.41","0","19","3","3"
