"year","age_gr","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Full Time","5.6","4","2101","1","2","8","12","18","5.42","5.78","0","34","4","4"
"1984","16-34 y.","Not Working","0.78","0","134","0","0","0","2","11","0.46","1.1","0","11","0","0"
"1984","16-34 y.","Part Time","3.2","1","675","0","1","4","9","18","2.91","3.49","0","21","1","1"
"1984","35-65 y.","Full Time","15.85","14","3298","4","8","23","30","42","15.53","16.17","0","55","13","13"
"1984","35-65 y.","Not Working","6.05","0","45","0","0","5","26","33","3.22","8.88","0","33","0","0"
"1984","35-65 y.","Part Time","10.34","9","792","1","3","15","22","36","9.77","10.91","0","49","7","9"
"1984","66 and older","Full Time","","","","","","","","","","","","","",""
"1984","66 and older","Not Working","","","","","","","","","","","","","",""
"1984","66 and older","Part Time","","","","","","","","","","","","","",""
"1985","16-34 y.","Full Time","5.47","4","1828","1","2","8","12","18","5.28","5.66","0","21","4","5"
"1985","16-34 y.","Not Working","1.09","0","108","0","0","1","3","14","0.66","1.52","0","14","0","0"
"1985","16-34 y.","Part Time","2.87","1","672","0","1","4","8","15","2.6","3.14","0","20","1","1"
"1985","35-65 y.","Full Time","15.77","15","2827","4","8","23","30","41","15.43","16.11","0","49","13","14"
"1985","35-65 y.","Not Working","10.81","4","42","0","0","20","32","44","6.96","14.66","0","44","0","11"
"1985","35-65 y.","Part Time","10.88","8","762","1","4","16","23","39","10.26","11.5","0","45","7","9"
"1985","66 and older","Full Time","","","","","","","","","","","","","",""
"1985","66 and older","Not Working","","","","","","","","","","","","","",""
"1985","66 and older","Part Time","","","","","","","","","","","","","",""
"1986","16-34 y.","Full Time","2.96","1","375","0","1","5","8","16","2.61","3.31","0","20","1","2"
"1986","16-34 y.","Not Working","0.4","0","45","0","0","0","1","6","0.01","0.79","0","6","0","0"
"1986","16-34 y.","Part Time","0.88","1","261","0","1","1","1","5","0.75","1.01","0","13","1","1"
"1986","35-65 y.","Full Time","8.04","1","167","0","1","14","21","44","6.64","9.44","0","44","1","7"
"1986","35-65 y.","Not Working","","","","","","","","","","","","","",""
"1986","35-65 y.","Part Time","4.53","1","59","0","0","4","16","43","2.55","6.51","0","43","1","1"
"1986","66 and older","Full Time","","","","","","","","","","","","","",""
"1986","66 and older","Not Working","","","","","","","","","","","","","",""
"1986","66 and older","Part Time","","","","","","","","","","","","","",""
"1987","16-34 y.","Full Time","2.38","1","448","0","1","3","7","13","2.07","2.69","0","18","1","1"
"1987","16-34 y.","Not Working","0.29","0","55","0","0","0","1","4","0","0.58","0","6","0","0"
"1987","16-34 y.","Part Time","0.98","1","399","0","1","1","1","5","0.88","1.08","0","13","1","1"
"1987","35-65 y.","Full Time","7.76","1","193","0","1","15","22","36","6.47","9.05","0","41","1","6"
"1987","35-65 y.","Not Working","","","","","","","","","","","","","",""
"1987","35-65 y.","Part Time","1.78","1","108","0","1","1","2","18","1.09","2.47","0","20","1","1"
"1987","66 and older","Full Time","","","","","","","","","","","","","",""
"1987","66 and older","Not Working","","","","","","","","","","","","","",""
"1987","66 and older","Part Time","","","","","","","","","","","","","",""
"1988","16-34 y.","Full Time","5.32","4","1836","1","2","8","12","18","5.12","5.52","0","22","3","4"
"1988","16-34 y.","Not Working","1.11","0","73","0","0","1","2","10","0.69","1.53","0","10","0","0"
"1988","16-34 y.","Part Time","2.7","1","601","0","1","3","7","16","2.45","2.95","0","18","1","1"
"1988","35-65 y.","Full Time","16.5","16","2501","3","8","24","31","42","16.13","16.87","0","50","15","15"
"1988","35-65 y.","Not Working","5.13","0","30","0","0","1","31","35","1.4","8.86","0","35","0","1"
"1988","35-65 y.","Part Time","10.31","9","734","1","3","15","21","39","9.71","10.91","0","43","8","9"
"1988","66 and older","Full Time","","","","","","","","","","","","","",""
"1988","66 and older","Not Working","","","","","","","","","","","","","",""
"1988","66 and older","Part Time","","","","","","","","","","","","","",""
"1989","16-34 y.","Full Time","","","","","","","","","","","","","",""
"1989","16-34 y.","Not Working","","","","","","","","","","","","","",""
"1989","16-34 y.","Part Time","","","","","","","","","","","","","",""
"1989","35-65 y.","Full Time","","","","","","","","","","","","","",""
"1989","35-65 y.","Not Working","","","","","","","","","","","","","",""
"1989","35-65 y.","Part Time","","","","","","","","","","","","","",""
"1989","66 and older","Full Time","","","","","","","","","","","","","",""
"1989","66 and older","Not Working","","","","","","","","","","","","","",""
"1989","66 and older","Part Time","","","","","","","","","","","","","",""
"1990","16-34 y.","Full Time","4.9","3","1744","1","2","7","11","17","4.71","5.09","0","24","3","4"
"1990","16-34 y.","Not Working","1.18","0","55","0","0","1","3","12","0.54","1.82","0","12","0","0"
"1990","16-34 y.","Part Time","2.89","1","542","1","1","3","8","15","2.6","3.18","0","20","1","1"
"1990","35-65 y.","Full Time","16.23","16","2410","3","8","23","31","41","15.84","16.62","0","53","15","16"
"1990","35-65 y.","Not Working","2.04","0","30","0","0","3","4","15","0.77","3.31","0","15","0","1"
