"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","8.4","6","2266","1","3","13","18","33","8.14","8.66","0","44","6","7"
"1984","indirect migration background","4.94","3","67","0","0","6","12","21","3.33","6.55","0","33","2","3"
"1984","no migration background","11.07","8","4759","1","3","16","26","41","10.79","11.35","0","59","7","8"
"1985","direct migration background","8.52","7","1903","1","3","13","18","33","8.22","8.82","0","40","7","8"
"1985","indirect migration background","4.72","2","62","1","1","6","13","20","3.47","5.97","0","20","1","3"
"1985","no migration background","10.75","8","4308","1","3","16","26","39","10.46","11.04","0","67","7","8"
"1986","direct migration background","2.27","1","198","0","0","1","7","23","1.68","2.86","0","25","1","1"
"1986","indirect migration background","","","","","","","","","","","","","",""
"1986","no migration background","3.45","1","690","0","1","3","12","28","3.01","3.89","0","44","1","1"
"1987","direct migration background","1.83","1","286","0","0","1","5","20","1.35","2.31","0","23","1","1"
"1987","indirect migration background","0.91","1","32","0","1","1","1","5","0.6","1.22","0","5","1","1"
"1987","no migration background","2.74","1","904","0","1","1","8","27","2.4","3.08","0","41","1","1"
"1988","direct migration background","9.29","7","1704","1","3","15","20","32","8.94","9.64","0","36","7","8"
"1988","indirect migration background","5.53","2","116","0","1","6","21","25","4.63","6.43","0","25","1","2"
"1988","no migration background","10.86","8","3981","1","2","17","26","40","10.55","11.17","0","55","7","8"
"1989","direct migration background","","","","","","","","","","","","","",""
"1989","indirect migration background","","","","","","","","","","","","","",""
"1989","no migration background","","","","","","","","","","","","","",""
"1990","direct migration background","10.04","8","1683","1","2","16","22","34","9.64","10.44","0","47","8","9"
"1990","indirect migration background","4.88","3","153","1","1","7","13","25","4.25","5.51","0","25","2","3"
"1990","no migration background","11.27","8","7084","1","2","18","27","40","11.03","11.51","0","54","8","9"
"1991","direct migration background","9.87","7.07","1720","1","2","16","22","34","9.47","10.27","0","43","7","9"
"1991","indirect migration background","4.14","2","209","1","1","4","9","26","3.63","4.65","0","26","2","2"
"1991","no migration background","10.56","7","6713","1","2","17","26","41","10.32","10.8","0","58","6","7"
"1992","direct migration background","10.07","7","1614","1","2","16","23","34","9.66","10.48","0","47","7","8"
"1992","indirect migration background","4.07","2","231","1","1","5","10","27","3.6","4.54","0","27","2","2"
"1992","no migration background","10.19","6","6267","1","2","16","26","40","9.94","10.44","0","54","5","5"
"1993","direct migration background","10.04","8","1520","1","2","16","23","35","9.61","10.47","0","48","7","8"
"1993","indirect migration background","3.73","2","285","1","1","4","9","28","3.3","4.16","0","28","2","2"
"1993","no migration background","9.94","6","6070","1","2","16","25","39","9.7","10.18","0","48","4","5"
"1994","direct migration background","9.95","7","1366","1","3","16","23","33","9.49","10.41","0","47","7","9"
"1994","indirect migration background","3.78","2","294","0","1","4","10","29","3.33","4.23","0","29","2","2"
"1994","no migration background","10.26","6","5906","1","2","16","25","39","10.01","10.51","0","50","5","5"
"1995","direct migration background","8.53","5","1556","1","2","13","22","33","8.11","8.95","0","41","5","6"
"1995","indirect migration background","4.16","2","311","1","1","4","11","30","3.71","4.61","0","30","2","2"
"1995","no migration background","10.08","6","5981","1","2","16","26","40","9.84","10.32","0","51","5","5"
"1996","direct migration background","8.73","6","1437","1","2","14","23","34","8.28","9.18","0","42","5","6"
"1996","indirect migration background","3.93","2","321","1","1","5","9","24","3.49","4.37","0","31","2","2"
"1996","no migration background","10.12","6","5898","1","2","16","25","39","9.88","10.36","0","51","5","6"
"1997","direct migration background","9.17","6","1318","1","2","13","24","32","8.7","9.64","0","44","6","7"
"1997","indirect migration background","3.72","2","352","0","1","5","9","25","3.29","4.15","0","32","2","3"
"1997","no migration background","10.24","7","5729","1","2","16","26","40","10","10.48","0","50","6","6"
"1998","direct migration background","9.44","6.66","1280","1","2","15","25","33","8.95","9.93","0","44","6","7"
"1998","indirect migration background","3.95","2","357","1","1","5","10","21","3.55","4.35","0","26","2","3"
"1998","no migration background","10.38","7","6485","1","3","17","26","39","10.15","10.61","0","53","6","7"
"1999","direct migration background","9.3","6","1188","1","2","14","25","34","8.79","9.81","0","45","6","7"
"1999","indirect migration background","4.06","3","380","0","1","5","10","17","3.66","4.46","0","23","2","3"
"1999","no migration background","10.11","7","6503","1","2","15","26","39","9.88","10.34","0","57","6","7"
"2000","direct migration background","8.19","5","1801","1","2","11","21","34","7.8","8.58","0","41","5","6"
"2000","indirect migration background","4.03","2","496","1","1","5","10","18","3.66","4.4","0","25","2","3"
"2000","no migration background","10.37","7","11454","1","2","16","26","40","10.19","10.55","0","58","7","7"
"2001","direct migration background","8","5","1622","1","2","11","22","33","7.59","8.41","0","42","5","6"
"2001","indirect migration background","3.98","2","466","0","1","6","10","19","3.57","4.39","0","24","2","3"
"2001","no migration background","10.48","7","10521","1","2","16","26","40","10.29","10.67","0","59","7","7"
