"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","Female","","","","","","","","","","","","","",""
"1984","East Germany","Male","","","","","","","","","","","","","",""
"1984","West Germany","Female","8.53","6","2645","1","2","12","20","38","8.24","8.82","0","58","5","6"
"1984","West Germany","Male","12.12","10","4447","1","4","19","28","41","11.84","12.4","0","59","8","10"
"1985","East Germany","Female","","","","","","","","","","","","","",""
"1985","East Germany","Male","","","","","","","","","","","","","",""
"1985","West Germany","Female","8.24","6","2422","1","2","12","19","36","7.94","8.54","0","67","5","6"
"1985","West Germany","Male","11.96","9","3851","1","3","18","27","40","11.66","12.26","0","67","8","9"
"1986","East Germany","Female","","","","","","","","","","","","","",""
"1986","East Germany","Male","","","","","","","","","","","","","",""
"1986","West Germany","Female","2.67","1","342","0","1","1","7","28","2.17","3.17","0","44","1","1"
"1986","West Germany","Male","3.76","1","567","0","1","4","13","28","3.26","4.26","0","43","1","1"
"1987","East Germany","Female","","","","","","","","","","","","","",""
"1987","East Germany","Male","","","","","","","","","","","","","",""
"1987","West Germany","Female","1.94","1","524","0","1","1","5","19","1.62","2.26","0","36","1","1"
"1987","West Germany","Male","3.23","1","698","0","1","2","11","27","2.81","3.65","0","41","1","1"
"1988","East Germany","Female","","","","","","","","","","","","","",""
"1988","East Germany","Male","","","","","","","","","","","","","",""
"1988","West Germany","Female","8.47","6","2295","1","2","13","20","38","8.14","8.8","0","55","5","6"
"1988","West Germany","Male","12.15","9","3506","1","3","19","28","40","11.83","12.47","0","54","8","9"
"1989","East Germany","Female","","","","","","","","","","","","","",""
"1989","East Germany","Male","","","","","","","","","","","","","",""
"1989","West Germany","Female","","","","","","","","","","","","","",""
"1989","West Germany","Male","","","","","","","","","","","","","",""
"1990","East Germany","Female","12.01","10","1620","1","3","18","27","40","11.53","12.49","0","45","9","10"
"1990","East Germany","Male","13.06","10","1794","1","3","20","31","42","12.55","13.57","0","54","10","11"
"1990","West Germany","Female","8.34","5","2223","1","2","13","20","36","8.01","8.67","0","53","4","5"
"1990","West Germany","Male","12.21","10","3283","1","3","19","28","42","11.87","12.55","0","47","9","10"
"1991","East Germany","Female","10.41","7","1304","0","1","17","25","40","9.88","10.94","0","41","6","7"
"1991","East Germany","Male","10.98","6","1512","0","1","18","29","41","10.41","11.55","0","55","6","8"
"1991","West Germany","Female","8.23","5","2382","1","2","12","21","36","7.91","8.55","0","58","4","5"
"1991","West Germany","Male","11.84","9","3444","1","3","19","28","41","11.5","12.18","0","53","7","9"
"1992","East Germany","Female","8.52","3","1100","1","1","14","24","40","7.97","9.07","0","52","2","4"
"1992","East Germany","Male","8.61","2","1333","1","1","14","27","39","8.04","9.18","0","44","2","3"
"1992","West Germany","Female","8.4","5","2325","1","2","13","21","35","8.08","8.72","0","47","4","5"
"1992","West Germany","Male","11.92","9","3354","1","3","19","28","41","11.58","12.26","0","54","7","8"
"1993","East Germany","Female","6.78","2","1034","1","1","9","21","35","6.27","7.29","0","42","2","3"
"1993","East Germany","Male","7.26","3","1231","1","1","9","23","37","6.73","7.79","0","45","3","3"
"1993","West Germany","Female","8.48","5","2334","1","2","13","21","36","8.15","8.81","0","48","4","5"
"1993","West Germany","Male","11.91","9","3276","1","3","19","28","40","11.57","12.25","0","48","7","8"
"1994","East Germany","Female","7.35","3","1012","1","2","9","23","38","6.82","7.88","0","43","3","3"
"1994","East Germany","Male","7.57","3","1205","1","2","10","24","37","7.04","8.1","0","43","3","4"
"1994","West Germany","Female","8.55","5","2233","1","2","13","21","34","8.22","8.88","0","44","5","5"
"1994","West Germany","Male","12.22","9","3116","1","3","20","28","41","11.86","12.58","0","50","8","9"
"1995","East Germany","Female","7.11","4","1010","1","2","8","22","38","6.59","7.63","0","44","3","4"
"1995","East Germany","Male","7.09","4","1191","1","2","7","21","38","6.57","7.61","0","51","4","4"
"1995","West Germany","Female","8.48","5","2360","1","2","13","21","35","8.16","8.8","0","45","5","5"
"1995","West Germany","Male","11.7","8","3287","1","3","19","28","41","11.36","12.04","0","50","6","8"
"1996","East Germany","Female","6.95","4","992","1","2","8","20","34","6.45","7.45","0","45","4","5"
"1996","East Germany","Male","7.37","4","1144","1","2","7","22","39","6.86","7.88","0","45","4","5"
"1996","West Germany","Female","8.67","6","2326","1","2","13","22","35","8.35","8.99","0","48","5","5"
"1996","West Germany","Male","11.62","8","3194","1","3","18","27","40","11.27","11.97","0","51","7","7"
"1997","East Germany","Female","7.35","5","965","1","2","7","21","35","6.84","7.86","0","42","5","5"
