"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","Female","7.81","4","266","1","2","11","21","35","6.82","8.8","0","39","3","5"
"1984","college entrance qualification","Male","11.22","8","537","1","3","18","27","40","10.34","12.1","0","57","6","9"
"1984","lower secondary degree","Female","9.45","7","1187","1","3","14","20","40","8.97","9.93","0","58","5","7"
"1984","lower secondary degree","Male","13.21","11","2084","1","4","20","29","43","12.76","13.66","0","59","9","10"
"1984","no degree/no degree yet","Female","7.65","6","266","1","3","12","15","22","6.95","8.35","0","30","6","9"
"1984","no degree/no degree yet","Male","8.18","7","402","1","3","13","16","22","7.59","8.77","0","27","8","11"
"1984","Other degree","Female","6.75","5","305","1","3","11","14","18","6.16","7.34","0","23","5","7"
"1984","Other degree","Male","8.55","7","776","1","4","13","16","24","8.11","8.99","0","40","8","10"
"1984","secondary school degree","Female","7.32","4.33","602","1","2","10","17","36","6.73","7.91","0","51","4","5"
"1984","secondary school degree","Male","10.85","8","617","1","3","16","26","38","10.07","11.63","0","48","6","8"
"1985","college entrance qualification","Female","7.43","4","259","1","2","10","20","34","6.49","8.37","0","35","4","5"
"1985","college entrance qualification","Male","11","7.1","489","1","2","17","26","39","10.09","11.91","0","58","6","9"
"1985","lower secondary degree","Female","9.34","7","1075","1","3","13","20","39","8.84","9.84","0","67","6","7"
"1985","lower secondary degree","Male","12.97","11","1808","1","4","20","29","41","12.49","13.45","0","67","9","10"
"1985","no degree/no degree yet","Female","8.11","6","215","1","4","13","16","22","7.35","8.87","0","29","7","10"
"1985","no degree/no degree yet","Male","9.22","8.35","304","1","4","13","17","23","8.53","9.91","0","38","9","12"
"1985","Other degree","Female","6.55","5","263","1","2","11","15","19","5.84","7.26","0","25","5","8"
"1985","Other degree","Male","8.83","7.69","632","1","4","13","17","25","8.33","9.33","0","41","8","11"
"1985","secondary school degree","Female","6.92","4","577","1","2","10","16","31","6.37","7.47","0","36","4","5"
"1985","secondary school degree","Male","11.05","8","573","1","3","17","26","39","10.25","11.85","0","49","6","9"
"1986","college entrance qualification","Female","1.66","1","54","0","1","1","5","9","0.96","2.36","0","13","1","1"
"1986","college entrance qualification","Male","3.36","1","111","0","0","4","13","31","2.33","4.39","0","31","1","1"
"1986","lower secondary degree","Female","3.45","1","132","0","1","3","11","44","2.48","4.42","0","44","1","1"
"1986","lower secondary degree","Male","4.02","1","287","0","0","4","15","31","3.26","4.78","0","43","1","1"
"1986","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1986","Other degree","Female","","","","","","","","","","","","","",""
"1986","Other degree","Male","2.21","1","44","0","0","1","5","25","0.52","3.9","0","25","0","1"
"1986","secondary school degree","Female","2.48","1","122","0","1","1","6","28","1.66","3.3","0","28","1","1"
"1986","secondary school degree","Male","4.01","1","94","0","1","6","13","28","2.9","5.12","0","28","1","1"
"1987","college entrance qualification","Female","1.56","1","83","0","1","1","4","13","0.95","2.17","0","16","1","1"
