"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1993","middle vocational","10.24","7","4114","1","2","16","25","39","9.96","10.52","0","48","5","6"
"1993","vocational + Abi","6.06","3.96","255","1","1","8","16","39","5.08","7.04","0","41","3","5"
"1994","general elemantary","9.49","5","1134","1","2","15","24","39","8.97","10.01","0","44","4","5"
"1994","higher education","10.01","6","1255","1","2","15","25","37","9.47","10.55","0","45","4","5"
"1994","higher vocational","11.42","8","526","1","3","17","28","42","10.55","12.29","0","50","6","8"
"1994","in school","","","","","","","","","","","","","",""
"1994","inadequately","9.29","6","268","1","2","16","22","30","8.21","10.37","0","47","7","12"
"1994","middle vocational","10.48","7","3973","1","3","16","25","39","10.19","10.77","0","49","5","6"
"1994","vocational + Abi","6.3","4","255","1","1","8","17","39","5.33","7.27","0","42","3","4"
"1995","general elemantary","9.02","5","1154","1","2","15","24","39","8.51","9.53","0","43","4","5"
"1995","higher education","9.54","5","1344","1","2","15","25","38","9.03","10.05","0","51","4","5"
"1995","higher vocational","11.07","8","544","1","3","16","26","39","10.23","11.91","0","45","5","8"
"1995","in school","","","","","","","","","","","","","",""
"1995","inadequately","9.13","5.15","238","1","2","16","24","30","7.97","10.29","0","33","6","10"
"1995","middle vocational","10.23","6","4096","1","2","16","26","40","9.94","10.52","0","50","5","5"
"1995","vocational + Abi","5.89","3","310","1","2","8","14","35","5.08","6.7","0","40","3","4"
"1996","general elemantary","8.86","5","1081","1","2","14","24","38","8.33","9.39","0","44","4","5"
"1996","higher education","9.93","6","1329","1","2","16","26","38","9.43","10.43","0","47","5","5"
"1996","higher vocational","10.24","7","553","1","3","16","25","36","9.47","11.01","0","39","6","7"
"1996","in school","","","","","","","","","","","","","",""
"1996","inadequately","9.22","5","220","1","2","17","25","30","7.93","10.51","0","40","6","10"
"1996","middle vocational","10.43","6","3995","1","3","16","26","40","10.14","10.72","0","51","5","6"
"1996","vocational + Abi","5.81","4","320","1","2","7","13","28","5.09","6.53","0","41","4","5"
"1997","general elemantary","8.68","4","1028","1","2","14","23","39","8.14","9.22","0","44","3","5"
"1997","higher education","10.28","6","1347","1","3","16","26","37","9.78","10.78","0","48","6","6"
"1997","higher vocational","11.24","7","539","1","3","17","25","40","10.44","12.04","0","44","6","8"
"1997","in school","","","","","","","","","","","","","",""
"1997","inadequately","9.76","6","191","1","3","18","26","31","8.43","11.09","0","32","7","11"
"1997","middle vocational","10.43","7","3815","1","3","16","26","40","10.14","10.72","0","49","6","6"
"1997","vocational + Abi","5.9","4","310","1","2","7","14","42","5.1","6.7","0","50","4","5"
"1998","general elemantary","8.65","4","1069","1","2","14","23","36","8.12","9.18","0","44","3","4"
"1998","higher education","10.46","7","1464","1","3","17","26","37","9.98","10.94","0","53","6","7"
"1998","higher vocational","11.08","8","587","1","3","17","26","37","10.32","11.84","0","47","6","8"
"1998","in school","","","","","","","","","","","","","",""
"1998","inadequately","10.02","8","185","1","3","16","25","32","8.67","11.37","0","33","7","11"
"1998","middle vocational","10.49","7","4117","1","3","16","26","39","10.21","10.77","0","50","6","7"
"1998","vocational + Abi","6.82","5","360","1","2","9","15","42","6.04","7.6","0","49","4","6"
"1999","general elemantary","8.21","3","1072","1","1","13","22","34","7.69","8.73","0","57","3","4"
"1999","higher education","10.48","7","1493","1","3","16","26","37","10.01","10.95","0","50","6","7"
"1999","higher vocational","11.17","8","592","1","3","17","26","40","10.38","11.96","0","48","7","8"
"1999","in school","2.05","1","30","0","0","2","2","22","0.52","3.58","0","22","1","1"
"1999","inadequately","9.21","5","182","1","2","13","26","32","7.82","10.6","0","33","6","10"
"1999","middle vocational","10.2","7","4179","1","2","15","26","40","9.92","10.48","0","49","6","7"
"1999","vocational + Abi","6.97","5","363","1","2","9","16","31","6.22","7.72","0","51","5","6"
"2000","general elemantary","7.5","3","1432","1","1","11","21","36","7.04","7.96","0","58","2","3"
"2000","higher education","10.47","8","2786","1","2","16","26","38","10.11","10.83","0","54","7","8"
"2000","higher vocational","11.25","8","1265","1","4","17","26","40","10.71","11.79","0","50","8","9"
"2000","in school","1.56","1","46","0","0","2","3","25","0.45","2.67","0","25","1","1"
"2000","inadequately","8.63","3.91","145","1","1","13","24","34","7.05","10.21","0","35","3","8"
"2000","middle vocational","10.31","7","7299","1","2","15","26","39","10.09","10.53","0","50","7","7"
"2000","vocational + Abi","6.91","5","765","1","2","10","16","35","6.37","7.45","0","53","4","5"
"2001","general elemantary","7.26","3","1285","1","1","11","21","36","6.78","7.74","0","59","3","3"
"2001","higher education","10.6","8","2585","1","3","16","27","40","10.22","10.98","0","54","7","8"
"2001","higher vocational","11.25","8","1126","1","3","16","26","41","10.69","11.81","0","51","8","9"
"2001","in school","1.49","1","80","0","1","2","3","8","1.17","1.81","0","8","1","1"
"2001","inadequately","10.18","6","110","1","1","14","26","36","8.32","12.04","0","36","4","10"
"2001","middle vocational","10.47","7","6664","1","2","16","27","39","10.24","10.7","0","51","7","7"
"2001","vocational + Abi","7.23","5","712","1","2","10","17","33","6.67","7.79","0","48","4","5"
"2002","general elemantary","7.48","3","1193","1","1","11","22","37","6.97","7.99","0","49","3","3"
"2002","higher education","10.77","8","3406","1","3","16","27","40","10.43","11.11","0","58","9","10"
"2002","higher vocational","11.34","9","1201","1","3","17","26","41","10.79","11.89","0","52","8","10"
"2002","in school","1.3","1","70","0","1","2","2","4","1.07","1.53","0","4","1","1"
"2002","inadequately","9.16","5","96","1","2","13","26","36","7.14","11.18","0","37","3","9"
"2002","middle vocational","10.8","8","6536","1","3","16","27","39","10.56","11.04","0","52","7","8"
"2002","vocational + Abi","7.15","5","790","1","2","10","19","34","6.58","7.72","0","51","4","6"
"2003","general elemantary","7.72","3","1106","1","2","11","22","36","7.19","8.25","0","46","3","3"
"2003","higher education","10.95","8","3178","1","3","16","27","40","10.59","11.31","0","57","9","10"
"2003","higher vocational","11.7","9","1120","1","4","17","26","40","11.13","12.27","0","53","9","10"
"2003","in school","1.73","1","58","0","1","3","4","6","1.35","2.11","0","7","1","1"
"2003","inadequately","9.88","5","85","1","3","13","27","41","7.62","12.14","1","41","4","12"
