"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","10.75","8","7092","1","3","16","25","40","10.54","10.96","0","59","7","8"
"1985","10.47","7","6273","1","3","15","25","39","10.25","10.69","0","67","7","8"
"1986","3.34","1","909","0","1","3","11","28","2.98","3.7","0","44","1","1"
"1987","2.65","1","1222","0","1","1","8","26","2.37","2.93","0","41","1","1"
"1988","10.65","8","5801","1","2","16","25","39","10.41","10.89","0","55","7","8"
"1989","","","","","","","","","","","","","",""
"1990","11.1","8","8920","1","2","18","26","40","10.89","11.31","0","54","8","9"
"1991","10.42","7","8642","1","2","17","26","40","10.21","10.63","0","58","6","7"
"1992","10.1","6","8112","1","2","16","25","40","9.89","10.31","0","54","5","6"
"1993","9.84","6","7875","1","2","15","25","39","9.63","10.05","0","48","5","5"
"1994","10.09","6","7566","1","2","16","25","39","9.88","10.3","0","50","5","5"
"1995","9.75","6","7848","1","2","15","25","39","9.55","9.95","0","51","5","5"
"1996","9.81","6","7656","1","2","15","25","39","9.61","10.01","0","51","5","5"
"1997","9.93","6","7399","1","2","15","25","39","9.72","10.14","0","50","6","6"
"1998","10.07","7","8122","1","2","15","26","38","9.87","10.27","0","53","6","6"
"1999","9.82","7","8071","1","2","15","25","38","9.62","10.02","0","57","6","6"
"2000","9.9","7","13751","1","2","15","25","39","9.74","10.06","0","58","6","7"
"2001","9.98","7","12609","1","2","15","26","39","9.81","10.15","0","59","6","7"
"2002","10.17","7","13386","1","2","15","26","39","10","10.34","0","58","7","8"
"2003","10.4","7","12644","1","2","15","26","39","10.23","10.57","0","57","7","8"
"2004","10.58","7","12237","1","3","15","26","40","10.4","10.76","0","56","8","8"
"2005","10.46","7","11590","1","3","15","26","39","10.28","10.64","0","57","8","8"
"2006","10.61","7","12196","1","2","16","26","40","10.43","10.79","0","60","8","8"
"2007","10.61","7","11620","1","2","16","27","39","10.42","10.8","0","59","8","8"
"2008","10.65","7","11071","1","2","17","26","40","10.46","10.84","0","59","8","8"
"2009","10.84","8","10309","1","2","17","27","40","10.64","11.04","0","64","8","9"
"2010","11.08","8","13971","1","2","18","27","40","10.92","11.24","0","61","7","8"
"2011","10.98","8","16847","1","2","17","27","41","10.83","11.13","0","62","8","8"
"2012","11.01","7","16635","1","2","17","27","40","10.86","11.16","0","63","7","8"
"2013","10.83","7","18961","1","2","17","27","41","10.69","10.97","0","64","6","6"
"2014","10.95","7","16702","1","2","17","27","42","10.8","11.1","0","61","6","7"
"2015","10.8","7","16500","1","2","17","27","42","10.64","10.96","0","58","6","6"
"2016","10.8","7","15548","1","2","17","27","42","10.64","10.96","0","62","6","6"
"2017","10.84","7","17759","1","2","17","27","43","10.69","10.99","0","60","6","6"
"2018","10.79","7","17325","1","2","17","28","43","10.63","10.95","0","61","5","6"
"2019","10.95","7","18132","1","2","17","28","44","10.79","11.11","0","68","6","7"
