"transab_cat","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Not Employed","no migration background","100","0.026950710920375","0.0215734445479278","0.0323279772928223","5"
"Complete transfer dependency","1984","Not Employed","direct migration background","58","0.0903171555108138","0.0722323200325565","0.108401990989071","5"
"Complete transfer dependency","1984","Not Employed","indirect migration background","","","","","5"
"Complete transfer dependency","1984","Employed","no migration background","","","","","5"
"Complete transfer dependency","1984","Employed","direct migration background","","","","","5"
"Complete transfer dependency","1984","Employed","indirect migration background","","","","","5"
"High transfer dependency","1984","Not Employed","direct migration background","35","0.0342777213922803","0.0227983916312608","0.0457570511532998","3"
"High transfer dependency","1984","Not Employed","indirect migration background","","","","","3"
"High transfer dependency","1984","Not Employed","no migration background","37","0.0100549230034113","0.00674205644748357","0.013367789559339","3"
"High transfer dependency","1984","Employed","direct migration background","28","","","","3"
"High transfer dependency","1984","Employed","indirect migration background","","","","","3"
"High transfer dependency","1984","Employed","no migration background","33","0.00704729835700403","0.00469256142438714","0.00940203528962093","3"
"Low transfer dependency","1984","Not Employed","no migration background","134","0.0341891356733436","0.0281552215912126","0.0402230497554746","2"
"Low transfer dependency","1984","Not Employed","direct migration background","102","0.0652865129473263","0.0497004859059164","0.0808725399887361","2"
"Low transfer dependency","1984","Not Employed","indirect migration background","5","","","","2"
"Low transfer dependency","1984","Employed","no migration background","135","0.0272977528702506","0.0227108431343494","0.0318846626061518","2"
"Low transfer dependency","1984","Employed","direct migration background","126","0.045785921552772","0.0373422029476065","0.0542296401579374","2"
"Low transfer dependency","1984","Employed","indirect migration background","4","","","","2"
"No transfer dependency","1984","Not Employed","no migration background","1810","0.577658310531073","0.561257077198453","0.594059543863694","0"
"No transfer dependency","1984","Not Employed","direct migration background","208","0.306148027986999","0.277068752556675","0.335227303417323","0"
"No transfer dependency","1984","Not Employed","indirect migration background","17","","","","0"
"No transfer dependency","1984","Employed","no migration background","1983","0.42674743646024","0.412824679287243","0.440670193633237","0"
"No transfer dependency","1984","Employed","direct migration background","691","0.344454662806725","0.325258595583372","0.363650730030078","0"
"No transfer dependency","1984","Employed","indirect migration background","20","","","","0"
"Very high transfer dependency","1984","Employed","no migration background","7","","","","4"
"Very high transfer dependency","1984","Not Employed","no migration background","19","","","","4"
"Very high transfer dependency","1984","Not Employed","direct migration background","19","","","","4"
"Very high transfer dependency","1984","Not Employed","indirect migration background","1","","","","4"
"Very high transfer dependency","1984","Employed","direct migration background","8","","","","4"
