"transab_cat","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","North Rhine-Westphalia","West Germany","58","0.0213925428329472","0.0163445926618883","0.0264404930040062","5"
"Complete transfer dependency","1984","Bremen","East Germany","","","","","5"
"Complete transfer dependency","1984","Bremen","West Germany","4","","","","5"
"Complete transfer dependency","1984","Lower Saxony","West Germany","22","","","","5"
"Complete transfer dependency","1984","Hamburg","East Germany","","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","West Germany","6","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","East Germany","","","","","5"
"Complete transfer dependency","1984","Lower Saxony","East Germany","","","","","5"
"Complete transfer dependency","1984","Hamburg","West Germany","5","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","East Germany","","","","","5"
"Complete transfer dependency","1984","Hesse","West Germany","19","","","","5"
"Complete transfer dependency","1984","Hesse","East Germany","","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","West Germany","9","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","West Germany","11","","","","5"
"Complete transfer dependency","1984","Bavaria","West Germany","19","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","East Germany","","","","","5"
"Complete transfer dependency","1984","Bavaria","East Germany","","","","","5"
"Complete transfer dependency","1984","Berlin","West Germany","5","","","","5"
"Complete transfer dependency","1984","Berlin","East Germany","","","","","5"
"Complete transfer dependency","1984","Brandenburg","West Germany","","","","","5"
"Complete transfer dependency","1984","Brandenburg","East Germany","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","West Germany","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","East Germany","","","","","5"
"Complete transfer dependency","1984","Saxony","West Germany","","","","","5"
"Complete transfer dependency","1984","Saxony","East Germany","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","West Germany","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","East Germany","","","","","5"
"Complete transfer dependency","1984","Thuringia","West Germany","","","","","5"
"Complete transfer dependency","1984","Thuringia","East Germany","","","","","5"
"High transfer dependency","1984","Baden-Württemberg","West Germany","14","","","","3"
"High transfer dependency","1984","Saxony","West Germany","","","","","3"
"High transfer dependency","1984","Hamburg","West Germany","3","","","","3"
"High transfer dependency","1984","Berlin","East Germany","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","East Germany","","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","West Germany","55","0.0142544747202817","0.0101188834495473","0.0183900659910161","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"High transfer dependency","1984","Baden-Württemberg","East Germany","","","","","3"
"High transfer dependency","1984","Hamburg","East Germany","","","","","3"
"High transfer dependency","1984","Bavaria","East Germany","","","","","3"
"High transfer dependency","1984","Berlin","West Germany","3","","","","3"
"High transfer dependency","1984","Brandenburg","West Germany","","","","","3"
"High transfer dependency","1984","Brandenburg","East Germany","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","West Germany","2","","","","3"
"High transfer dependency","1984","Bavaria","West Germany","13","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","West Germany","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","East Germany","","","","","3"
"High transfer dependency","1984","Thuringia","West Germany","","","","","3"
"High transfer dependency","1984","Thuringia","East Germany","","","","","3"
"High transfer dependency","1984","Hesse","East Germany","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","West Germany","5","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","East Germany","","","","","3"
"High transfer dependency","1984","Saxony","East Germany","","","","","3"
"High transfer dependency","1984","Lower Saxony","West Germany","14","","","","3"
"High transfer dependency","1984","Lower Saxony","East Germany","","","","","3"
"High transfer dependency","1984","Bremen","West Germany","3","","","","3"
"High transfer dependency","1984","Bremen","East Germany","","","","","3"
"High transfer dependency","1984","Hesse","West Germany","21","","","","3"
"Low transfer dependency","1984","Schleswig-Holstein","East Germany","","","","","2"
"Low transfer dependency","1984","Hamburg","West Germany","7","","","","2"
"Low transfer dependency","1984","Lower Saxony","West Germany","82","0.0549977749165185","0.0421151532556097","0.0678803965774272","2"
"Low transfer dependency","1984","Lower Saxony","East Germany","","","","","2"
"Low transfer dependency","1984","Bremen","East Germany","","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","West Germany","17","","","","2"
"Low transfer dependency","1984","Hamburg","East Germany","","","","","2"
"Low transfer dependency","1984","North Rhine-Westphalia","West Germany","151","0.0365621388037203","0.0300141603015905","0.0431101173058501","2"
"Low transfer dependency","1984","North Rhine-Westphalia","East Germany","","","","","2"
"Low transfer dependency","1984","Hesse","West Germany","50","0.0255237587560495","0.0165782741909036","0.0344692433211955","2"
"Low transfer dependency","1984","Hesse","East Germany","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","West Germany","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","East Germany","","","","","2"
"Low transfer dependency","1984","Bremen","West Germany","18","","","","2"
"Low transfer dependency","1984","Thuringia","East Germany","","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","West Germany","21","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","West Germany","85","0.0224833608966841","0.016261605210317","0.0287051165830511","2"
"Low transfer dependency","1984","Baden-Württemberg","East Germany","","","","","2"
"Low transfer dependency","1984","Bavaria","West Germany","68","0.0274977019894368","0.0203664476690776","0.034628956309796","2"
