"transab_cat","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Single parent ","Male","1","","","","5"
"Complete transfer dependency","1984","1-pers.-HH","Female","30","0.0295615278948157","0.0176445901228584","0.0414784656667729","5"
"Complete transfer dependency","1984","(Married) couple without C. ","Male","7","","","","5"
"Complete transfer dependency","1984","(Married) couple without C. ","Female","7","","","","5"
"Complete transfer dependency","1984","Single parent ","Female","25","","","","5"
"Complete transfer dependency","1984","Couple + C. LE 16 ","Male","25","","","","5"
"Complete transfer dependency","1984","Couple + C. LE 16 ","Female","25","","","","5"
"Complete transfer dependency","1984","1-pers.-HH","Male","28","","","","5"
"Complete transfer dependency","1984","Couple + C. GT 16 ","Male","1","","","","5"
"Complete transfer dependency","1984","Couple + C. GT 16 ","Female","2","","","","5"
"Complete transfer dependency","1984","Couple + C. LE and GT 16","Male","2","","","","5"
"Complete transfer dependency","1984","Couple + C. LE and GT 16","Female","2","","","","5"
"High transfer dependency","1984","1-pers.-HH","Male","9","","","","3"
"High transfer dependency","1984","Couple + C. GT 16 ","Female","5","","","","3"
"High transfer dependency","1984","Couple + C. GT 16 ","Male","3","","","","3"
"High transfer dependency","1984","Single parent ","Female","14","","","","3"
"High transfer dependency","1984","Couple + C. LE and GT 16","Male","8","","","","3"
"High transfer dependency","1984","Couple + C. LE and GT 16","Female","8","","","","3"
"High transfer dependency","1984","1-pers.-HH","Female","11","","","","3"
"High transfer dependency","1984","(Married) couple without C. ","Male","7","","","","3"
"High transfer dependency","1984","(Married) couple without C. ","Female","7","","","","3"
"High transfer dependency","1984","Single parent ","Male","1","","","","3"
"High transfer dependency","1984","Couple + C. LE 16 ","Male","21","","","","3"
"High transfer dependency","1984","Couple + C. LE 16 ","Female","21","","","","3"
"Low transfer dependency","1984","Couple + C. LE and GT 16","Female","57","0.0382290744643995","0.0244877053355248","0.0519704435932742","2"
"Low transfer dependency","1984","1-pers.-HH","Male","24","","","","2"
"Low transfer dependency","1984","1-pers.-HH","Female","17","","","","2"
"Low transfer dependency","1984","(Married) couple without C. ","Male","35","0.0204156143357893","0.0128494810676008","0.0279817476039779","2"
"Low transfer dependency","1984","(Married) couple without C. ","Female","35","0.020478507441258","0.0128981473399548","0.0280588675425613","2"
"Low transfer dependency","1984","Single parent ","Male","18","","","","2"
"Low transfer dependency","1984","Single parent ","Female","31","0.0824653259082072","0.0543611332308278","0.110569518585587","2"
"Low transfer dependency","1984","Couple + C. LE 16 ","Male","62","0.0372204883421992","0.0276182464878201","0.0468227301965784","2"
"Low transfer dependency","1984","Couple + C. LE 16 ","Female","63","0.0391148001196268","0.0292743360707562","0.0489552641684974","2"
"Low transfer dependency","1984","Couple + C. GT 16 ","Male","32","0.031656275407866","0.0209116152404444","0.0424009355752877","2"
"Low transfer dependency","1984","Couple + C. GT 16 ","Female","22","","","","2"
"Low transfer dependency","1984","Couple + C. LE and GT 16","Male","58","0.0349391958594857","0.0227163500414107","0.0471620416775607","2"
"No transfer dependency","1984","1-pers.-HH","Male","409","0.810057090020138","0.776787548202024","0.843326631838252","0"
"No transfer dependency","1984","1-pers.-HH","Female","630","0.820474525860493","0.793471475747809","0.847477575973177","0"
"No transfer dependency","1984","(Married) couple without C. ","Male","1136","0.872975608345318","0.855159352132149","0.890791864558487","0"
"No transfer dependency","1984","(Married) couple without C. ","Female","1136","0.872251030522819","0.854384791065958","0.890117269979679","0"
"No transfer dependency","1984","Single parent ","Male","67","0.36759031261908","0.299033190855536","0.436147434382624","0"
"No transfer dependency","1984","Single parent ","Female","102","0.300698407365945","0.253847068704701","0.347549746027188","0"
"No transfer dependency","1984","Couple + C. LE 16 ","Male","79","0.0505001254333173","0.0393927392583018","0.0616075116083328","0"
"No transfer dependency","1984","Couple + C. LE 16 ","Female","81","0.0521077404902303","0.0408269410378255","0.063388539942635","0"
"No transfer dependency","1984","Couple + C. GT 16 ","Male","380","0.369767818694079","0.340142512438738","0.399393124949419","0"
"No transfer dependency","1984","Couple + C. GT 16 ","Female","327","0.372733265448416","0.340265417837011","0.405201113059822","0"
"No transfer dependency","1984","Couple + C. LE and GT 16","Male","45","0.0365938770796697","0.0240956774906438","0.0490920766686955","0"
"No transfer dependency","1984","Couple + C. LE and GT 16","Female","35","0.0254366983231239","0.0141534878735187","0.0367199087727291","0"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","Female","5","","","","4"
"Very high transfer dependency","1984","(Married) couple without C. ","Male","4","","","","4"
"Very high transfer dependency","1984","Couple + C. LE 16 ","Male","","","","","4"
"Very high transfer dependency","1984","1-pers.-HH","Male","5","","","","4"
"Very high transfer dependency","1984","Couple + C. LE 16 ","Female","","","","","4"
"Very high transfer dependency","1984","1-pers.-HH","Female","6","","","","4"
"Very high transfer dependency","1984","Couple + C. GT 16 ","Male","9","","","","4"
"Very high transfer dependency","1984","Couple + C. GT 16 ","Female","11","","","","4"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","Male","6","","","","4"
"Very high transfer dependency","1984","(Married) couple without C. ","Female","4","","","","4"
"Very high transfer dependency","1984","Single parent ","Male","1","","","","4"
"Very high transfer dependency","1984","Single parent ","Female","5","","","","4"
"Very low transfer dependency","1984","1-pers.-HH","Female","82","0.111545111396955","0.0893958018916163","0.133694420902293","1"
"Very low transfer dependency","1984","Couple + C. LE 16 ","Male","1306","0.883107850790869","0.86681047304592","0.899405228535818","1"
"Very low transfer dependency","1984","Couple + C. LE 16 ","Female","1301","0.879614802949003","0.863097388046734","0.896132217851273","1"
"Very low transfer dependency","1984","Single parent ","Female","191","0.500992210787658","0.449907218646323","0.552077202928992","1"
"Very low transfer dependency","1984","1-pers.-HH","Male","59","0.0831149020663219","0.059700969222736","0.106528834909908","1"
"Very low transfer dependency","1984","(Married) couple without C. ","Female","152","0.0957689015705599","0.0800187160073305","0.111519087133789","1"
"Very low transfer dependency","1984","Single parent ","Male","102","0.522451976211678","0.451428323389119","0.593475629034238","1"
"Very low transfer dependency","1984","(Married) couple without C. ","Male","153","0.0951569602838106","0.0794577163224272","0.110856204245194","1"
"Very low transfer dependency","1984","Couple + C. GT 16 ","Male","595","0.593102042214851","0.562954253014959","0.623249831414744","1"
"Very low transfer dependency","1984","Couple + C. GT 16 ","Female","485","0.591946582649378","0.558945509547328","0.624947655751428","1"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","Male","748","0.919941131377749","0.901876742037569","0.93800552071793","1"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","Female","641","0.924179192566215","0.905209093984748","0.943149291147681","1"
"Complete transfer dependency","1985","1-pers.-HH","Female","15","","","","5"
"Complete transfer dependency","1985","(Married) couple without C. ","Male","7","","","","5"
"Complete transfer dependency","1985","(Married) couple without C. ","Female","7","","","","5"
"Complete transfer dependency","1985","Single parent ","Male","","","","","5"
"Complete transfer dependency","1985","Single parent ","Female","16","","","","5"
"Complete transfer dependency","1985","Couple + C. LE 16 ","Male","18","","","","5"
"Complete transfer dependency","1985","Couple + C. LE 16 ","Female","18","","","","5"
"Complete transfer dependency","1985","1-pers.-HH","Male","7","","","","5"
"Complete transfer dependency","1985","Couple + C. GT 16 ","Male","2","","","","5"
"Complete transfer dependency","1985","Couple + C. GT 16 ","Female","1","","","","5"
"Complete transfer dependency","1985","Couple + C. LE and GT 16","Male","4","","","","5"
"Complete transfer dependency","1985","Couple + C. LE and GT 16","Female","3","","","","5"
"High transfer dependency","1985","1-pers.-HH","Male","7","","","","3"
"High transfer dependency","1985","Couple + C. GT 16 ","Male","15","","","","3"
"High transfer dependency","1985","Couple + C. GT 16 ","Female","14","","","","3"
"High transfer dependency","1985","Couple + C. LE and GT 16","Male","9","","","","3"
"High transfer dependency","1985","Couple + C. LE and GT 16","Female","11","","","","3"
"High transfer dependency","1985","Single parent ","Female","10","","","","3"
"High transfer dependency","1985","1-pers.-HH","Female","15","","","","3"
"High transfer dependency","1985","(Married) couple without C. ","Male","9","","","","3"
"High transfer dependency","1985","(Married) couple without C. ","Female","9","","","","3"
"High transfer dependency","1985","Single parent ","Male","2","","","","3"
"High transfer dependency","1985","Couple + C. LE 16 ","Male","11","","","","3"
"High transfer dependency","1985","Couple + C. LE 16 ","Female","11","","","","3"
"Low transfer dependency","1985","1-pers.-HH","Male","11","","","","2"
"Low transfer dependency","1985","1-pers.-HH","Female","14","","","","2"
"Low transfer dependency","1985","(Married) couple without C. ","Male","24","","","","2"
"Low transfer dependency","1985","Couple + C. LE and GT 16","Female","28","","","","2"
"Low transfer dependency","1985","(Married) couple without C. ","Female","26","","","","2"
"Low transfer dependency","1985","Single parent ","Male","9","","","","2"
"Low transfer dependency","1985","Single parent ","Female","21","","","","2"
"Low transfer dependency","1985","Couple + C. LE 16 ","Male","52","0.0322513997941516","0.0226515375051531","0.0418512620831501","2"
"Low transfer dependency","1985","Couple + C. LE 16 ","Female","51","0.0328516122088484","0.0231509137965978","0.042552310621099","2"
"Low transfer dependency","1985","Couple + C. GT 16 ","Male","19","","","","2"
"Low transfer dependency","1985","Couple + C. GT 16 ","Female","17","","","","2"
"Low transfer dependency","1985","Couple + C. LE and GT 16","Male","41","0.0329016345740824","0.0203672690768439","0.0454360000713209","2"
"No transfer dependency","1985","1-pers.-HH","Male","356","0.81080305112853","0.775165828339643","0.846440273917418","0"
"No transfer dependency","1985","1-pers.-HH","Female","582","0.841938595726472","0.814875747180159","0.869001444272786","0"
"No transfer dependency","1985","(Married) couple without C. ","Male","1004","0.869845581624122","0.850752395420391","0.888938767827853","0"
"No transfer dependency","1985","(Married) couple without C. ","Female","1004","0.867889597028105","0.848683165707766","0.887096028348444","0"
"No transfer dependency","1985","Single parent ","Male","68","0.363020662001475","0.293158705851265","0.432882618151685","0"
"No transfer dependency","1985","Single parent ","Female","99","0.288534975702699","0.240863415736997","0.336206535668401","0"
"No transfer dependency","1985","Couple + C. LE 16 ","Male","35","0.0286726359373935","0.0196043320600601","0.0377409398147269","0"
"No transfer dependency","1985","Couple + C. LE 16 ","Female","35","0.0286434174849522","0.0195656330985682","0.0377212018713361","0"
"No transfer dependency","1985","Couple + C. GT 16 ","Male","369","0.358121029998568","0.328841037262533","0.387401022734603","0"
"No transfer dependency","1985","Couple + C. GT 16 ","Female","310","0.34795916093312","0.315994131276506","0.379924190589734","0"
"No transfer dependency","1985","Couple + C. LE and GT 16","Male","13","","","","0"
"No transfer dependency","1985","Couple + C. LE and GT 16","Female","9","","","","0"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","Female","","","","","4"
"Very high transfer dependency","1985","1-pers.-HH","Male","14","","","","4"
"Very high transfer dependency","1985","1-pers.-HH","Female","7","","","","4"
"Very high transfer dependency","1985","(Married) couple without C. ","Male","5","","","","4"
"Very high transfer dependency","1985","Couple + C. LE 16 ","Male","7","","","","4"
"Very high transfer dependency","1985","Couple + C. LE 16 ","Female","7","","","","4"
"Very high transfer dependency","1985","Couple + C. GT 16 ","Male","2","","","","4"
"Very high transfer dependency","1985","Couple + C. GT 16 ","Female","1","","","","4"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","Male","","","","","4"
"Very high transfer dependency","1985","(Married) couple without C. ","Female","5","","","","4"
"Very high transfer dependency","1985","Single parent ","Male","1","","","","4"
"Very high transfer dependency","1985","Single parent ","Female","13","","","","4"
"Very low transfer dependency","1985","1-pers.-HH","Male","69","0.104474897412067","0.0766435674986426","0.132306227325492","1"
"Very low transfer dependency","1985","(Married) couple without C. ","Female","143","0.0976762103458016","0.0808370073578551","0.114515413333748","1"
"Very low transfer dependency","1985","Single parent ","Male","102","0.580976140313597","0.509294006964976","0.652658273662218","1"
"Very low transfer dependency","1985","Single parent ","Female","188","0.535938567237687","0.4834664488989","0.588410685576475","1"
"Very low transfer dependency","1985","Couple + C. LE 16 ","Male","1178","0.914915319127828","0.89975439830837","0.930076239947286","1"
"Very low transfer dependency","1985","Couple + C. LE 16 ","Female","1175","0.914346866983138","0.899116680530513","0.929577053435763","1"
"Very low transfer dependency","1985","Couple + C. GT 16 ","Male","623","0.616772359642353","0.587081666083267","0.646463053201439","1"
"Very low transfer dependency","1985","Couple + C. GT 16 ","Female","510","0.622448615414018","0.589916420798494","0.654980810029543","1"
"Very low transfer dependency","1985","1-pers.-HH","Female","65","0.0940164662697484","0.0723652402473107","0.115667692292186","1"
"Very low transfer dependency","1985","(Married) couple without C. ","Male","144","0.0964684153892611","0.0797154338112962","0.113221396967226","1"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","Male","711","0.93829168912435","0.921383423700834","0.955199954547866","1"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","Female","600","0.946893692641303","0.929667818851565","0.96411956643104","1"
"Complete transfer dependency","1986","1-pers.-HH","Female","10","","","","5"
"Complete transfer dependency","1986","(Married) couple without C. ","Male","6","","","","5"
"Complete transfer dependency","1986","(Married) couple without C. ","Female","6","","","","5"
"Complete transfer dependency","1986","Single parent ","Male","","","","","5"
"Complete transfer dependency","1986","Couple + C. LE 16 ","Male","13","","","","5"
"Complete transfer dependency","1986","Couple + C. LE 16 ","Female","14","","","","5"
"Complete transfer dependency","1986","Single parent ","Female","15","","","","5"
"Complete transfer dependency","1986","1-pers.-HH","Male","13","","","","5"
"Complete transfer dependency","1986","Couple + C. GT 16 ","Male","2","","","","5"
"Complete transfer dependency","1986","Couple + C. GT 16 ","Female","2","","","","5"
"Complete transfer dependency","1986","Couple + C. LE and GT 16","Male","2","","","","5"
"Complete transfer dependency","1986","Couple + C. LE and GT 16","Female","4","","","","5"
"High transfer dependency","1986","Couple + C. LE and GT 16","Female","13","","","","3"
"High transfer dependency","1986","Couple + C. GT 16 ","Male","9","","","","3"
"High transfer dependency","1986","Couple + C. GT 16 ","Female","5","","","","3"
"High transfer dependency","1986","1-pers.-HH","Male","10","","","","3"
"High transfer dependency","1986","1-pers.-HH","Female","15","","","","3"
"High transfer dependency","1986","(Married) couple without C. ","Male","13","","","","3"
"High transfer dependency","1986","Single parent ","Female","6","","","","3"
"High transfer dependency","1986","Couple + C. LE 16 ","Female","11","","","","3"
"High transfer dependency","1986","Couple + C. LE and GT 16","Male","7","","","","3"
"High transfer dependency","1986","(Married) couple without C. ","Female","13","","","","3"
"High transfer dependency","1986","Couple + C. LE 16 ","Male","11","","","","3"
"High transfer dependency","1986","Single parent ","Male","","","","","3"
"Low transfer dependency","1986","1-pers.-HH","Female","14","","","","2"
"Low transfer dependency","1986","(Married) couple without C. ","Male","19","","","","2"
"Low transfer dependency","1986","(Married) couple without C. ","Female","19","","","","2"
"Low transfer dependency","1986","Single parent ","Male","12","","","","2"
"Low transfer dependency","1986","Single parent ","Female","27","","","","2"
"Low transfer dependency","1986","Couple + C. GT 16 ","Male","24","","","","2"
"Low transfer dependency","1986","Couple + C. GT 16 ","Female","17","","","","2"
"Low transfer dependency","1986","Couple + C. LE and GT 16","Male","31","0.0278100602859044","0.0158079673547885","0.0398121532170204","2"
"Low transfer dependency","1986","Couple + C. LE and GT 16","Female","26","","","","2"
"Low transfer dependency","1986","1-pers.-HH","Male","14","","","","2"
"Low transfer dependency","1986","Couple + C. LE 16 ","Male","48","0.0362313732374835","0.0255102212489269","0.0469525252260401","2"
"Low transfer dependency","1986","Couple + C. LE 16 ","Female","47","0.0369498454693273","0.0261408352859634","0.0477588556526912","2"
"No transfer dependency","1986","1-pers.-HH","Male","348","0.794964003687333","0.757662132106248","0.832265875268417","0"
"No transfer dependency","1986","1-pers.-HH","Female","546","0.831732606495347","0.803191686330773","0.86027352665992","0"
"No transfer dependency","1986","(Married) couple without C. ","Male","985","0.869267733128228","0.849951460089199","0.888584006167258","0"
"No transfer dependency","1986","(Married) couple without C. ","Female","989","0.868119180767725","0.848780585501082","0.887457776034368","0"
"No transfer dependency","1986","Single parent ","Male","63","0.357606567142719","0.285768717333231","0.429444416952206","0"
