"transab_cat","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"No transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"No transfer dependency","1984","lower secondary degree","(1b) general elementary school","1051","0.550943632983547","0.530092626386287","0.571794639580807"
"No transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","1646","0.491820185113114","0.475685350628885","0.507955019597343"
"No transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"No transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"No transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"No transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"No transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","11","","",""
"No transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","5","","",""
"No transfer dependency","1984","secondary school degree","(0) in school","","","",""
"No transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"No transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"No transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"No transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","122","0.309974404881989","0.267572486222493","0.352376323541486"
"No transfer dependency","1984","secondary school degree","(2a) intermediate vocational","643","0.525819639696544","0.499044296588381","0.552594982804707"
"No transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"No transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"No transfer dependency","1984","secondary school degree","(3a) lower tertiary education","20","","",""
"No transfer dependency","1984","secondary school degree","(3b) higher tertiary education","5","","",""
"No transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"No transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"No transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"No transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"No transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"No transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"No transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","78","0.269738601461447","0.219263106147228","0.320214096775665"
"No transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","160","0.529058728699446","0.474874286247986","0.583243171150906"
"No transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","94","0.550816956290268","0.477744548616002","0.623889363964533"
"No transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","186","0.456619341069912","0.409593270040888","0.503645412098937"
"No transfer dependency","1984","Other degree","(0) in school","","","",""
"No transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"No transfer dependency","1984","Other degree","(1b) general elementary school","180","0.26562202580334","0.233648688639226","0.297595362967454"
"No transfer dependency","1984","Other degree","(1c) basic vocational qualification","120","0.327828801956244","0.283917194658478","0.37174040925401"
