"transab_cat","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","16-34 y.","West Germany","88","0.0233565936406476","0.0188984833827195","0.0278147038985758","5"
"Complete transfer dependency","1984","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1984","35-65 y.","West Germany","65","0.0116195360609735","0.00893089469337395","0.0143081774285731","5"
"Complete transfer dependency","1984","35-65 y.","East Germany","","","","","5"
"Complete transfer dependency","1984","66 and older","West Germany","5","","","","5"
"Complete transfer dependency","1984","66 and older","East Germany","","","","","5"
"High transfer dependency","1984","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1984","35-65 y.","West Germany","61","0.00802920760400901","0.00579016585159748","0.0102682493564205","3"
"High transfer dependency","1984","16-34 y.","West Germany","68","0.0148432754436718","0.0112738724957144","0.0184126783916291","3"
"High transfer dependency","1984","66 and older","West Germany","4","","","","3"
"High transfer dependency","1984","66 and older","East Germany","","","","","3"
"High transfer dependency","1984","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1984","16-34 y.","West Germany","234","0.0487619966056827","0.0424048331540344","0.055119160057331","2"
"Low transfer dependency","1984","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1984","35-65 y.","West Germany","254","0.029073480750241","0.0248582815560741","0.0332886799444079","2"
"Low transfer dependency","1984","35-65 y.","East Germany","","","","","2"
"Low transfer dependency","1984","66 and older","West Germany","18","","","","2"
"Low transfer dependency","1984","66 and older","East Germany","","","","","2"
"No transfer dependency","1984","16-34 y.","West Germany","1242","0.311163271537482","0.297497619640422","0.324828923434542","0"
"No transfer dependency","1984","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1984","35-65 y.","West Germany","2389","0.448199972871231","0.435723173898652","0.46067677184381","0"
"No transfer dependency","1984","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1984","66 and older","West Germany","1098","0.871819191613679","0.853368388977054","0.890269994250305","0"
"No transfer dependency","1984","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1984","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1984","16-34 y.","West Germany","27","","","","4"
"Very high transfer dependency","1984","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1984","35-65 y.","West Germany","28","","","","4"
"Very high transfer dependency","1984","66 and older","West Germany","1","","","","4"
"Very high transfer dependency","1984","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1984","66 and older","West Germany","135","0.107616714384352","0.0905123820705953","0.124721046698109","1"
"Very low transfer dependency","1984","16-34 y.","West Germany","2750","0.597230268688015","0.582753309187238","0.611707228188793","1"
"Very low transfer dependency","1984","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1984","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1984","35-65 y.","West Germany","3306","0.499257296455541","0.486713010911181","0.511801581999901","1"
"Very low transfer dependency","1984","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1985","16-34 y.","West Germany","49","0.0124304376123845","0.00900499934520686","0.0158558758795621","5"
"Complete transfer dependency","1985","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1985","35-65 y.","West Germany","46","0.00833596832881522","0.00593942599672282","0.0107325106609076","5"
"Complete transfer dependency","1985","35-65 y.","East Germany","","","","","5"
"Complete transfer dependency","1985","66 and older","West Germany","5","","","","5"
"Complete transfer dependency","1985","66 and older","East Germany","","","","","5"
"High transfer dependency","1985","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1985","35-65 y.","West Germany","53","0.00856356400094922","0.00613480452679984","0.0109923234750986","3"
"High transfer dependency","1985","66 and older","East Germany","","","","","3"
"High transfer dependency","1985","66 and older","West Germany","10","","","","3"
"High transfer dependency","1985","16-34 y.","West Germany","71","0.0160833202362016","0.0121941576062959","0.0199724828661072","3"
"High transfer dependency","1985","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1985","16-34 y.","West Germany","170","0.0345208719256683","0.0288766847065506","0.040165059144786","2"
"Low transfer dependency","1985","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1985","35-65 y.","West Germany","175","0.0250242352109278","0.0209070337991518","0.0291414366227039","2"
"Low transfer dependency","1985","35-65 y.","East Germany","","","","","2"
