"transab_cat","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1985","(Married) couple without C. ","50","0.0165714274388362","0.0114502095676299","0.0216926453100425"
"Low transfer dependency","1985","Single parent ","30","0.0566143174916499","0.0369205850440512","0.0763080499392485"
"Low transfer dependency","1985","Couple + C. LE 16 ","103","0.0325473023829455","0.0257239015053941","0.0393707032604969"
"Low transfer dependency","1985","Couple + C. GT 16 ","36","0.0156397284462804","0.0100355162133493","0.0212439406792114"
"Low transfer dependency","1985","Couple + C. LE and GT 16","69","0.0293189868748679","0.0205722769565482","0.0380656967931877"
"High transfer dependency","1985","1-pers.-HH","22","","",""
"High transfer dependency","1985","(Married) couple without C. ","18","","",""
"High transfer dependency","1985","Single parent ","12","","",""
"High transfer dependency","1985","Couple + C. LE 16 ","22","","",""
"High transfer dependency","1985","Couple + C. GT 16 ","29","","",""
"High transfer dependency","1985","Couple + C. LE and GT 16","20","","",""
"Very high transfer dependency","1985","1-pers.-HH","21","","",""
"Very high transfer dependency","1985","(Married) couple without C. ","10","","",""
"Very high transfer dependency","1985","Single parent ","14","","",""
"Very high transfer dependency","1985","Couple + C. LE 16 ","14","","",""
"Very high transfer dependency","1985","Couple + C. GT 16 ","3","","",""
"Very high transfer dependency","1985","Couple + C. LE and GT 16","","","",""
"Complete transfer dependency","1985","1-pers.-HH","22","","",""
"Complete transfer dependency","1985","(Married) couple without C. ","14","","",""
"Complete transfer dependency","1985","Single parent ","16","","",""
"Complete transfer dependency","1985","Couple + C. LE 16 ","36","0.0131984937122141","0.00881009979456381","0.0175868876298644"
"Complete transfer dependency","1985","Couple + C. GT 16 ","3","","",""
"Complete transfer dependency","1985","Couple + C. LE and GT 16","7","","",""
"No transfer dependency","1986","1-pers.-HH","894","0.81959019370609","0.79696902448967","0.84221136292251"
"No transfer dependency","1986","(Married) couple without C. ","1974","0.868699846911337","0.855033527218589","0.882366166604084"
"No transfer dependency","1986","Single parent ","150","0.31017549494163","0.269343774212171","0.351007215671089"
"No transfer dependency","1986","Couple + C. LE 16 ","70","0.0230368599597491","0.0169545371601827","0.0291191827593154"
"No transfer dependency","1986","Couple + C. GT 16 ","683","0.358493414934978","0.33696421982643","0.380022610043527"
"No transfer dependency","1986","Couple + C. LE and GT 16","24","","",""
"Very low transfer dependency","1986","1-pers.-HH","117","0.0970558480230069","0.0796406707054112","0.114471025340603"
"Very low transfer dependency","1986","(Married) couple without C. ","284","0.100283458268476","0.0881285526527077","0.112438363884245"
"Very low transfer dependency","1986","Single parent ","275","0.542383478259222","0.498406163778011","0.586360792740433"
"Very low transfer dependency","1986","Couple + C. LE 16 ","2113","0.916287628232295","0.905058928472759","0.927516327991831"
"Very low transfer dependency","1986","Couple + C. GT 16 ","1153","0.611671256098268","0.589791350288298","0.633551161908239"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","1230","0.932697575294184","0.919282859653191","0.946112290935176"
"Low transfer dependency","1986","1-pers.-HH","28","","",""
"Low transfer dependency","1986","(Married) couple without C. ","38","0.0147194944711786","0.00984633661685188","0.0195926523255052"
"Low transfer dependency","1986","Single parent ","39","0.0840636209061135","0.0595695296233246","0.108557712188902"
"Low transfer dependency","1986","Couple + C. LE 16 ","95","0.0365842335647712","0.02897269258338","0.0441957745461625"
"Low transfer dependency","1986","Couple + C. GT 16 ","41","0.0239026242780635","0.0170452791502543","0.0307599694058726"
"Low transfer dependency","1986","Couple + C. LE and GT 16","57","0.0254503699095087","0.0170180956828949","0.0338826441361226"
"High transfer dependency","1986","1-pers.-HH","25","","",""
"High transfer dependency","1986","(Married) couple without C. ","26","","",""
"High transfer dependency","1986","Single parent ","6","","",""
"High transfer dependency","1986","Couple + C. LE 16 ","22","","",""
"High transfer dependency","1986","Couple + C. GT 16 ","14","","",""
"High transfer dependency","1986","Couple + C. LE and GT 16","20","","",""
"Very high transfer dependency","1986","1-pers.-HH","23","","",""
"Very high transfer dependency","1986","(Married) couple without C. ","12","","",""
"Very high transfer dependency","1986","Single parent ","8","","",""
"Very high transfer dependency","1986","Couple + C. LE 16 ","10","","",""
"Very high transfer dependency","1986","Couple + C. GT 16 ","11","","",""
"Very high transfer dependency","1986","Couple + C. LE and GT 16","3","","",""
"Complete transfer dependency","1986","1-pers.-HH","23","","",""
"Complete transfer dependency","1986","(Married) couple without C. ","12","","",""
"Complete transfer dependency","1986","Single parent ","15","","",""
"Complete transfer dependency","1986","Couple + C. LE 16 ","27","","",""
"Complete transfer dependency","1986","Couple + C. GT 16 ","4","","",""
"Complete transfer dependency","1986","Couple + C. LE and GT 16","6","","",""
"No transfer dependency","1987","1-pers.-HH","891","0.824211363792332","0.801778473885247","0.846644253699417"
"No transfer dependency","1987","(Married) couple without C. ","1989","0.878696344910303","0.865405648779781","0.891987041040825"
"No transfer dependency","1987","Single parent ","145","0.325335493360503","0.284311410301996","0.366359576419011"
"No transfer dependency","1987","Couple + C. LE 16 ","52","0.0242531990627445","0.0179717486260315","0.0305346494994575"
"No transfer dependency","1987","Couple + C. GT 16 ","714","0.382339081417556","0.360556790464975","0.404121372370137"
"No transfer dependency","1987","Couple + C. LE and GT 16","26","","",""
"Very low transfer dependency","1987","1-pers.-HH","132","0.105669510010704","0.0875521717492319","0.123786848272177"
"Very low transfer dependency","1987","(Married) couple without C. ","253","0.0955192478287572","0.0835535925552822","0.107484903102232"
"Very low transfer dependency","1987","Single parent ","280","0.521494183202244","0.477752290277005","0.565236076127483"
"Very low transfer dependency","1987","Couple + C. LE 16 ","2092","0.908846247400797","0.897093501706949","0.920598993094645"
"Very low transfer dependency","1987","Couple + C. GT 16 ","1135","0.592686684639959","0.570663453536966","0.614709915742952"
