"transab_cat","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Single parent ","West Germany","26","","","","5"
"Complete transfer dependency","1984","1-pers.-HH","East Germany","","","","","5"
"Complete transfer dependency","1984","(Married) couple without C. ","West Germany","14","","","","5"
"Complete transfer dependency","1984","(Married) couple without C. ","East Germany","","","","","5"
"Complete transfer dependency","1984","Single parent ","East Germany","","","","","5"
"Complete transfer dependency","1984","Couple + C. LE 16 ","West Germany","50","0.0175436214620859","0.0128331438509016","0.0222540990732703","5"
"Complete transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","","","5"
"Complete transfer dependency","1984","1-pers.-HH","West Germany","58","0.0369907026465292","0.0267701595540729","0.0472112457389855","5"
"Complete transfer dependency","1984","Couple + C. GT 16 ","West Germany","3","","","","5"
"Complete transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","","","5"
"Complete transfer dependency","1984","Couple + C. LE and GT 16","West Germany","4","","","","5"
"Complete transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","","","5"
"High transfer dependency","1984","1-pers.-HH","West Germany","20","","","","3"
"High transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","","","3"
"High transfer dependency","1984","Couple + C. GT 16 ","West Germany","8","","","","3"
"High transfer dependency","1984","Single parent ","East Germany","","","","","3"
"High transfer dependency","1984","Couple + C. LE and GT 16","West Germany","16","","","","3"
"High transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","","","3"
"High transfer dependency","1984","1-pers.-HH","East Germany","","","","","3"
"High transfer dependency","1984","(Married) couple without C. ","West Germany","14","","","","3"
"High transfer dependency","1984","(Married) couple without C. ","East Germany","","","","","3"
"High transfer dependency","1984","Single parent ","West Germany","15","","","","3"
"High transfer dependency","1984","Couple + C. LE 16 ","West Germany","42","0.0116235693503106","0.00777783193632688","0.0154693067642944","3"
"High transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","","","3"
"Low transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","","","2"
"Low transfer dependency","1984","1-pers.-HH","West Germany","41","0.021214179220209","0.0134110392971244","0.0290173191432936","2"
"Low transfer dependency","1984","1-pers.-HH","East Germany","","","","","2"
"Low transfer dependency","1984","(Married) couple without C. ","West Germany","70","0.0204468346325378","0.0150917689363373","0.0258019003287382","2"
"Low transfer dependency","1984","(Married) couple without C. ","East Germany","","","","","2"
"Low transfer dependency","1984","Single parent ","West Germany","49","0.085321860452687","0.0621428282002474","0.108500892705127","2"
"Low transfer dependency","1984","Single parent ","East Germany","","","","","2"
"Low transfer dependency","1984","Couple + C. LE 16 ","West Germany","125","0.0381474028727899","0.0312745755813934","0.0450202301641864","2"
"Low transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"Low transfer dependency","1984","Couple + C. GT 16 ","West Germany","54","0.028028453387109","0.0205515544298464","0.0355053523443716","2"
"Low transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","","","2"
"Low transfer dependency","1984","Couple + C. LE and GT 16","West Germany","115","0.0364591932728953","0.0273180522038846","0.0456003343419061","2"
"No transfer dependency","1984","1-pers.-HH","West Germany","1039","0.817124473783157","0.796191335289883","0.83805761227643","0"
"No transfer dependency","1984","1-pers.-HH","East Germany","","","","","0"
"No transfer dependency","1984","(Married) couple without C. ","West Germany","2272","0.872615926080192","0.860000355744856","0.885231496415528","0"
"No transfer dependency","1984","(Married) couple without C. ","East Germany","","","","","0"
"No transfer dependency","1984","Single parent ","West Germany","169","0.323292528214715","0.284483808910332","0.362101247519099","0"
"No transfer dependency","1984","Single parent ","East Germany","","","","","0"
"No transfer dependency","1984","Couple + C. LE 16 ","West Germany","160","0.0512867550544837","0.0433723408697966","0.0592011692391709","0"
"No transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","","","0"
"No transfer dependency","1984","Couple + C. GT 16 ","West Germany","707","0.37110118735988","0.349216934298187","0.392985440421574","0"
"No transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","","","0"
"No transfer dependency","1984","Couple + C. LE and GT 16","West Germany","80","0.031439011235815","0.0229284195748013","0.0399496028968287","0"
"No transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","","","0"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","","","4"
"Very high transfer dependency","1984","(Married) couple without C. ","West Germany","8","","","","4"
"Very high transfer dependency","1984","Couple + C. LE 16 ","West Germany","","","","","4"
"Very high transfer dependency","1984","1-pers.-HH","West Germany","11","","","","4"
"Very high transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","","","4"
"Very high transfer dependency","1984","1-pers.-HH","East Germany","","","","","4"
"Very high transfer dependency","1984","Couple + C. GT 16 ","West Germany","20","","","","4"
"Very high transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","","","4"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","West Germany","11","","","","4"
"Very high transfer dependency","1984","(Married) couple without C. ","East Germany","","","","","4"
"Very high transfer dependency","1984","Single parent ","West Germany","6","","","","4"
"Very high transfer dependency","1984","Single parent ","East Germany","","","","","4"
"Very low transfer dependency","1984","1-pers.-HH","East Germany","","","","","1"
"Very low transfer dependency","1984","Couple + C. LE 16 ","West Germany","2607","0.88139865126033","0.869798071715748","0.892999230804911","1"
"Very low transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","","","1"
"Very low transfer dependency","1984","Single parent ","East Germany","","","","","1"
"Very low transfer dependency","1984","1-pers.-HH","West Germany","141","0.102402489038942","0.0859849325427904","0.118820045535094","1"
"Very low transfer dependency","1984","(Married) couple without C. ","East Germany","","","","","1"
"Very low transfer dependency","1984","Single parent ","West Germany","293","0.508240689232721","0.466760378324802","0.549721000140641","1"
"Very low transfer dependency","1984","(Married) couple without C. ","West Germany","305","0.0954607294874864","0.084341777822323","0.10657968115265","1"
"Very low transfer dependency","1984","Couple + C. GT 16 ","West Germany","1080","0.592582507147513","0.570324339031367","0.614840675263659","1"
"Very low transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","","","1"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","West Germany","1389","0.92189921032775","0.908812476730926","0.934985943924573","1"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","","","1"
"Complete transfer dependency","1985","1-pers.-HH","East Germany","","","","","5"
"Complete transfer dependency","1985","(Married) couple without C. ","West Germany","14","","","","5"
"Complete transfer dependency","1985","(Married) couple without C. ","East Germany","","","","","5"
"Complete transfer dependency","1985","Single parent ","West Germany","16","","","","5"
"Complete transfer dependency","1985","Single parent ","East Germany","","","","","5"
"Complete transfer dependency","1985","Couple + C. LE 16 ","West Germany","36","0.0131984937122141","0.00881009979456381","0.0175868876298644","5"
"Complete transfer dependency","1985","Couple + C. LE 16 ","East Germany","","","","","5"
"Complete transfer dependency","1985","1-pers.-HH","West Germany","22","","","","5"
"Complete transfer dependency","1985","Couple + C. GT 16 ","West Germany","3","","","","5"
"Complete transfer dependency","1985","Couple + C. GT 16 ","East Germany","","","","","5"
"Complete transfer dependency","1985","Couple + C. LE and GT 16","West Germany","7","","","","5"
"Complete transfer dependency","1985","Couple + C. LE and GT 16","East Germany","","","","","5"
"High transfer dependency","1985","1-pers.-HH","West Germany","22","","","","3"
"High transfer dependency","1985","Couple + C. GT 16 ","West Germany","29","","","","3"
"High transfer dependency","1985","Couple + C. GT 16 ","East Germany","","","","","3"
"High transfer dependency","1985","Couple + C. LE and GT 16","West Germany","20","","","","3"
"High transfer dependency","1985","Couple + C. LE and GT 16","East Germany","","","","","3"
"High transfer dependency","1985","Single parent ","East Germany","","","","","3"
"High transfer dependency","1985","1-pers.-HH","East Germany","","","","","3"
"High transfer dependency","1985","(Married) couple without C. ","West Germany","18","","","","3"
"High transfer dependency","1985","(Married) couple without C. ","East Germany","","","","","3"
"High transfer dependency","1985","Single parent ","West Germany","12","","","","3"
"High transfer dependency","1985","Couple + C. LE 16 ","West Germany","22","","","","3"
"High transfer dependency","1985","Couple + C. LE 16 ","East Germany","","","","","3"
"Low transfer dependency","1985","1-pers.-HH","West Germany","25","","","","2"
"Low transfer dependency","1985","1-pers.-HH","East Germany","","","","","2"
"Low transfer dependency","1985","(Married) couple without C. ","West Germany","50","0.0165714274388362","0.0114502095676299","0.0216926453100425","2"
"Low transfer dependency","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"Low transfer dependency","1985","(Married) couple without C. ","East Germany","","","","","2"
"Low transfer dependency","1985","Single parent ","West Germany","30","0.0566143174916499","0.0369205850440512","0.0763080499392485","2"
"Low transfer dependency","1985","Single parent ","East Germany","","","","","2"
"Low transfer dependency","1985","Couple + C. LE 16 ","West Germany","103","0.0325473023829455","0.0257239015053941","0.0393707032604969","2"
"Low transfer dependency","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"Low transfer dependency","1985","Couple + C. GT 16 ","West Germany","36","0.0156397284462804","0.0100355162133493","0.0212439406792114","2"
"Low transfer dependency","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"Low transfer dependency","1985","Couple + C. LE and GT 16","West Germany","69","0.0293189868748679","0.0205722769565482","0.0380656967931877","2"
"No transfer dependency","1985","1-pers.-HH","West Germany","938","0.831858187132975","0.810354767139002","0.853361607126949","0"
"No transfer dependency","1985","1-pers.-HH","East Germany","","","","","0"
"No transfer dependency","1985","(Married) couple without C. ","West Germany","2008","0.868878345198788","0.855337724303222","0.882418966094355","0"
"No transfer dependency","1985","(Married) couple without C. ","East Germany","","","","","0"
