"transab_cat","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Baden-Württemberg","Not Working","354","0.372751279619537","0.337841764987222","0.407660794251852"
"Very low transfer dependency","1984","Bavaria","Full Time","598","0.575277945488756","0.54413915916765","0.606416731809861"
"Very low transfer dependency","1984","Bavaria","Part Time","231","0.642609578471664","0.591893451237735","0.693325705705592"
"Very low transfer dependency","1984","Bavaria","Not Working","307","0.346869456562315","0.31183398233464","0.381904930789989"
"Very low transfer dependency","1984","Berlin","Full Time","105","0.447490388599491","0.37991661100037","0.515064166198611"
"Very low transfer dependency","1984","Berlin","Part Time","38","0.566347425684735","0.447682295646026","0.685012555723443"
"Very low transfer dependency","1984","Berlin","Not Working","45","0.264792992881274","0.188356426615243","0.341229559147305"
"Very low transfer dependency","1984","Brandenburg","Full Time","","","",""
"Very low transfer dependency","1984","Brandenburg","Part Time","","","",""
"Very low transfer dependency","1984","Brandenburg","Not Working","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Full Time","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Part Time","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Not Working","","","",""
"Very low transfer dependency","1984","Saxony","Full Time","","","",""
"Very low transfer dependency","1984","Saxony","Part Time","","","",""
"Very low transfer dependency","1984","Saxony","Not Working","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Full Time","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Part Time","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Not Working","","","",""
"Very low transfer dependency","1984","Thuringia","Full Time","","","",""
"Very low transfer dependency","1984","Thuringia","Part Time","","","",""
"Very low transfer dependency","1984","Thuringia","Not Working","","","",""
"Low transfer dependency","1984","Schleswig-Holstein","Full Time","3","","",""
"Low transfer dependency","1984","Schleswig-Holstein","Part Time","5","","",""
"Low transfer dependency","1984","Schleswig-Holstein","Not Working","9","","",""
"Low transfer dependency","1984","Hamburg","Full Time","3","","",""
"Low transfer dependency","1984","Hamburg","Part Time","2","","",""
"Low transfer dependency","1984","Hamburg","Not Working","2","","",""
"Low transfer dependency","1984","Lower Saxony","Full Time","18","","",""
"Low transfer dependency","1984","Lower Saxony","Part Time","17","","",""
"Low transfer dependency","1984","Lower Saxony","Not Working","47","0.0730430236625447","0.0508061167008723","0.095279930624217"
"Low transfer dependency","1984","Bremen","Full Time","1","","",""
"Low transfer dependency","1984","Bremen","Part Time","6","","",""
"Low transfer dependency","1984","Bremen","Not Working","11","","",""
"Low transfer dependency","1984","North Rhine-Westphalia","Full Time","39","0.0202441436205177","0.0128669240092913","0.0276213632317441"
"Low transfer dependency","1984","North Rhine-Westphalia","Part Time","38","0.0755699674674876","0.051800857114572","0.0993390778204033"
"Low transfer dependency","1984","North Rhine-Westphalia","Not Working","74","0.0380725181454492","0.0275927784943498","0.0485522577965487"
"Low transfer dependency","1984","Hesse","Full Time","11","","",""
"Low transfer dependency","1984","Hesse","Part Time","15","","",""
"Low transfer dependency","1984","Hesse","Not Working","24","","",""
