"transab_cat","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","1-pers.-HH","no migration background","884","0.832950171832345","0.81057867760092","0.855321666063771"
"No transfer dependency","1984","1-pers.-HH","direct migration background","150","0.629463989443224","0.567848096721552","0.691079882164896"
"No transfer dependency","1984","1-pers.-HH","indirect migration background","5","","",""
"No transfer dependency","1984","(Married) couple without C. ","no migration background","1935","0.880923482040996","0.867423416517937","0.894423547564054"
"No transfer dependency","1984","(Married) couple without C. ","direct migration background","329","0.761740981023568","0.72289416414821","0.800587797898925"
"No transfer dependency","1984","(Married) couple without C. ","indirect migration background","8","","",""
"No transfer dependency","1984","Single parent ","no migration background","127","0.316797541866862","0.272927118120823","0.360667965612902"
"No transfer dependency","1984","Single parent ","direct migration background","38","0.362025817988227","0.275313976179509","0.448737659796945"
"No transfer dependency","1984","Single parent ","indirect migration background","4","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","no migration background","89","0.0511562391579282","0.04095848345359","0.0613539948622665"
"No transfer dependency","1984","Couple + C. LE 16 ","direct migration background","68","0.0491900719226024","0.0368139474771264","0.0615661963680784"
"No transfer dependency","1984","Couple + C. LE 16 ","indirect migration background","3","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","no migration background","504","0.372995417574497","0.347396802541964","0.398594032607029"
"No transfer dependency","1984","Couple + C. GT 16 ","direct migration background","191","0.347239211318887","0.303684698722774","0.390793723915"
"No transfer dependency","1984","Couple + C. GT 16 ","indirect migration background","12","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","no migration background","26","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","direct migration background","51","0.0682688034830497","0.0488652082407587","0.0876723987253408"
"No transfer dependency","1984","Couple + C. LE and GT 16","indirect migration background","3","","",""
"Very low transfer dependency","1984","1-pers.-HH","no migration background","97","0.0961399649965144","0.078460666171544","0.113819263821485"
"Very low transfer dependency","1984","1-pers.-HH","direct migration background","44","0.182433077996695","0.133160471332789","0.231705684660601"
"Very low transfer dependency","1984","1-pers.-HH","indirect migration background","","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","no migration background","205","0.0889531617666667","0.0770871502086399","0.100819173324693"
