"transab_cat","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Complete transfer dependency","1985","Rural Area","22","","",""
"Complete transfer dependency","1985","Urban Area","78","0.00867572661813287","0.00669803923309734","0.0106534140031684"
"High transfer dependency","1985","Rural Area","15","","",""
"High transfer dependency","1985","Urban Area","119","0.0133851159992943","0.010934463432105","0.0158357685664836"
"Low transfer dependency","1985","Rural Area","87","0.034486991828829","0.0268619281956184","0.0421120554620397"
"Low transfer dependency","1985","Urban Area","269","0.0225495420131642","0.0193835261686459","0.0257155578576826"
"No transfer dependency","1985","Rural Area","791","0.443235342965343","0.42247713915909","0.463993546771595"
"No transfer dependency","1985","Urban Area","3327","0.499566637253705","0.488903949656319","0.510229324851091"
"Very high transfer dependency","1985","Rural Area","17","","",""
"Very high transfer dependency","1985","Urban Area","54","0.00703378643235343","0.00525157728445803","0.00881599558024884"
"Very low transfer dependency","1985","Rural Area","1268","0.498168679459742","0.477275533324543","0.519061825594941"
"Very low transfer dependency","1985","Urban Area","4600","0.44878919168335","0.438182574343439","0.459395809023262"
"Complete transfer dependency","1986","Rural Area","21","","",""
"Complete transfer dependency","1986","Urban Area","66","0.00881542251780448","0.00677611250475527","0.0108547325308537"
"High transfer dependency","1986","Rural Area","28","","",""
"High transfer dependency","1986","Urban Area","94","0.00998570940825286","0.00781653430608998","0.0121548845104157"
"Low transfer dependency","1986","Rural Area","85","0.0338961231818857","0.0261527128047401","0.0416395335590312"
"Low transfer dependency","1986","Urban Area","244","0.0254150135101341","0.0219814945637283","0.0288485324565399"
"No transfer dependency","1986","Rural Area","769","0.447197631865293","0.425922118700857","0.46847314502973"
"No transfer dependency","1986","Urban Area","3248","0.508236762226408","0.49733000905193","0.519143515400886"
"Very high transfer dependency","1986","Rural Area","6","","",""
"Very high transfer dependency","1986","Urban Area","62","0.00762975620594996","0.00573140477199564","0.00952810763990428"
"Very low transfer dependency","1986","Rural Area","1189","0.490337559275735","0.468946403793259","0.511728714758211"
