"transab_cat","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","no migration background","West Germany","3793","0.495140598016687","0.484405081286469","0.505876114746906"
"No transfer dependency","1984","no migration background","East Germany","","","",""
"No transfer dependency","1984","direct migration background","West Germany","899","0.331482810838429","0.315467651627032","0.347497970049826"
"No transfer dependency","1984","direct migration background","East Germany","","","",""
"No transfer dependency","1984","indirect migration background","West Germany","37","0.501262985226853","0.412539867499919","0.589986102953786"
"No transfer dependency","1984","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1984","no migration background","West Germany","4074","0.450578617061638","0.439895166906292","0.461262067216984"
"Very low transfer dependency","1984","no migration background","East Germany","","","",""
"Very low transfer dependency","1984","direct migration background","West Germany","2044","0.559174372681791","0.542283522434696","0.576065222928887"
"Very low transfer dependency","1984","direct migration background","East Germany","","","",""
"Very low transfer dependency","1984","indirect migration background","West Germany","73","0.439499017248117","0.35142753227747","0.527570502218765"
"Very low transfer dependency","1984","indirect migration background","East Germany","","","",""
"Low transfer dependency","1984","no migration background","West Germany","269","0.0304209436959696","0.0267332790947016","0.0341086082972377"
"Low transfer dependency","1984","no migration background","East Germany","","","",""
"Low transfer dependency","1984","direct migration background","West Germany","228","0.0523894456173325","0.0448092343354964","0.0599696568991685"
"Low transfer dependency","1984","direct migration background","East Germany","","","",""
"Low transfer dependency","1984","indirect migration background","West Germany","9","","",""
"Low transfer dependency","1984","indirect migration background","East Germany","","","",""
"High transfer dependency","1984","no migration background","West Germany","70","0.00841036089049869","0.00644950008180106","0.0103712216991963"
"High transfer dependency","1984","no migration background","East Germany","","","",""
"High transfer dependency","1984","direct migration background","West Germany","63","0.0193747518480891","0.0146853864491499","0.0240641172470283"
"High transfer dependency","1984","direct migration background","East Germany","","","",""
"High transfer dependency","1984","indirect migration background","West Germany","","","",""
"High transfer dependency","1984","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1984","no migration background","West Germany","26","","",""
"Very high transfer dependency","1984","no migration background","East Germany","","","",""
"Very high transfer dependency","1984","direct migration background","West Germany","27","","",""
"Very high transfer dependency","1984","direct migration background","East Germany","","","",""
"Very high transfer dependency","1984","indirect migration background","West Germany","3","","",""
"Very high transfer dependency","1984","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1984","no migration background","West Germany","100","0.0122141253066572","0.00985562437733015","0.0145726262359842"
"Complete transfer dependency","1984","no migration background","East Germany","","","",""
"Complete transfer dependency","1984","direct migration background","West Germany","58","0.0305842780760415","0.0247262882771928","0.0364422678748902"
"Complete transfer dependency","1984","direct migration background","East Germany","","","",""
"Complete transfer dependency","1984","indirect migration background","West Germany","","","",""
"Complete transfer dependency","1984","indirect migration background","East Germany","","","",""
"No transfer dependency","1985","no migration background","West Germany","3396","0.500930669219699","0.489754044836153","0.512107293603245"
"No transfer dependency","1985","no migration background","East Germany","","","",""
"No transfer dependency","1985","direct migration background","West Germany","689","0.349251669859086","0.331646896259665","0.366856443458506"
"No transfer dependency","1985","direct migration background","East Germany","","","",""
"No transfer dependency","1985","indirect migration background","West Germany","33","0.43536383331913","0.353815622065231","0.516912044573029"
"No transfer dependency","1985","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1985","no migration background","West Germany","3905","0.449750886251479","0.438630827201202","0.460870945301755"
"Very low transfer dependency","1985","no migration background","East Germany","","","",""
"Very low transfer dependency","1985","direct migration background","West Germany","1864","0.560341553758284","0.542012552842028","0.57867055467454"
"Very low transfer dependency","1985","direct migration background","East Germany","","","",""
"Very low transfer dependency","1985","indirect migration background","West Germany","99","0.49955070354072","0.417312474805214","0.581788932276226"
"Very low transfer dependency","1985","indirect migration background","East Germany","","","",""
"Low transfer dependency","1985","no migration background","West Germany","198","0.023467090780152","0.0200832145310449","0.0268509670292591"
"Low transfer dependency","1985","no migration background","East Germany","","","",""
"Low transfer dependency","1985","direct migration background","West Germany","151","0.0430994872293276","0.0356001287699773","0.0505988456886779"
"Low transfer dependency","1985","direct migration background","East Germany","","","",""
"Low transfer dependency","1985","indirect migration background","West Germany","7","","",""
"Low transfer dependency","1985","indirect migration background","East Germany","","","",""
"High transfer dependency","1985","no migration background","West Germany","73","0.0104150225993656","0.00814569048590595","0.0126843547128253"
"High transfer dependency","1985","no migration background","East Germany","","","",""
"High transfer dependency","1985","direct migration background","West Germany","59","0.0224260552848503","0.0169583396378113","0.0278937709318894"
"High transfer dependency","1985","direct migration background","East Germany","","","",""
"High transfer dependency","1985","indirect migration background","West Germany","2","","",""
"High transfer dependency","1985","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1985","no migration background","West Germany","54","0.00742120783545133","0.00550271051598757","0.00933970515491509"
"Very high transfer dependency","1985","no migration background","East Germany","","","",""
"Very high transfer dependency","1985","direct migration background","West Germany","16","","",""
"Very high transfer dependency","1985","direct migration background","East Germany","","","",""
"Very high transfer dependency","1985","indirect migration background","West Germany","1","","",""
"Very high transfer dependency","1985","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1985","no migration background","West Germany","62","0.0080151233138536","0.00602193178154978","0.0100083148461574"
"Complete transfer dependency","1985","no migration background","East Germany","","","",""
"Complete transfer dependency","1985","direct migration background","West Germany","38","0.0181639419580014","0.0132324400096147","0.0230954439063882"
"Complete transfer dependency","1985","direct migration background","East Germany","","","",""
"Complete transfer dependency","1985","indirect migration background","West Germany","","","",""
"Complete transfer dependency","1985","indirect migration background","East Germany","","","",""
"No transfer dependency","1986","no migration background","West Germany","3266","0.508738904000787","0.49726533199171","0.520212476009864"
"No transfer dependency","1986","no migration background","East Germany","","","",""
"No transfer dependency","1986","direct migration background","West Germany","707","0.361321742469239","0.34329182927073","0.379351655667747"
"No transfer dependency","1986","direct migration background","East Germany","","","",""
"No transfer dependency","1986","indirect migration background","West Germany","44","0.520999858122644","0.440787445288684","0.601212270956604"
"No transfer dependency","1986","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1986","no migration background","West Germany","3678","0.440536608377448","0.429142723604344","0.451930493150552"
"Very low transfer dependency","1986","no migration background","East Germany","","","",""
"Very low transfer dependency","1986","direct migration background","West Germany","1770","0.552338925302103","0.533675858359558","0.571001992244648"
"Very low transfer dependency","1986","direct migration background","East Germany","","","",""
"Very low transfer dependency","1986","indirect migration background","West Germany","98","0.425337911098588","0.345954770384728","0.504721051812448"
"Very low transfer dependency","1986","indirect migration background","East Germany","","","",""
"Low transfer dependency","1986","no migration background","West Germany","184","0.0254330415766278","0.0218197752279791","0.0290463079252764"
"Low transfer dependency","1986","no migration background","East Germany","","","",""
"Low transfer dependency","1986","direct migration background","West Germany","140","0.0449154279202409","0.037141791798461","0.0526890640420207"
"Low transfer dependency","1986","direct migration background","East Germany","","","",""
"Low transfer dependency","1986","indirect migration background","West Germany","5","","",""
"Low transfer dependency","1986","indirect migration background","East Germany","","","",""
