"transab_cat","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","(0) in school","West Germany","15","","",""
"No transfer dependency","1984","(0) in school","East Germany","","","",""
"No transfer dependency","1984","(1a) inadequately completed","West Germany","286","0.29921847906769","0.271857761597382","0.326579196537999"
"No transfer dependency","1984","(1a) inadequately completed","East Germany","","","",""
"No transfer dependency","1984","(1b) general elementary school","West Germany","1231","0.533879706438089","0.515782907732504","0.551976505143675"
"No transfer dependency","1984","(1b) general elementary school","East Germany","","","",""
"No transfer dependency","1984","(1c) basic vocational qualification","West Germany","1766","0.487954120424257","0.472703946761612","0.503204294086901"
"No transfer dependency","1984","(1c) basic vocational qualification","East Germany","","","",""
"No transfer dependency","1984","(2b) intermediate general qualification","West Germany","122","0.309974404881989","0.267572486222493","0.352376323541486"
"No transfer dependency","1984","(2b) intermediate general qualification","East Germany","","","",""
"No transfer dependency","1984","(2a) intermediate vocational","West Germany","643","0.525819639696544","0.499044296588381","0.552594982804707"
"No transfer dependency","1984","(2a) intermediate vocational","East Germany","","","",""
"No transfer dependency","1984","(2c_gen) general maturity certificate","West Germany","99","0.264790477852647","0.221278754307076","0.308302201398218"
"No transfer dependency","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","West Germany","194","0.515927692602624","0.469126106160828","0.562729279044419"
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","West Germany","126","0.530966911381192","0.469106392800367","0.592827429962016"
"No transfer dependency","1984","(3a) lower tertiary education","East Germany","","","",""
"No transfer dependency","1984","(3b) higher tertiary education","West Germany","222","0.465546518899644","0.422041546364245","0.509051491435042"
"No transfer dependency","1984","(3b) higher tertiary education","East Germany","","","",""
"Very low transfer dependency","1984","(0) in school","West Germany","147","0.809496607001214","0.752128474518652","0.866864739483776"
"Very low transfer dependency","1984","(0) in school","East Germany","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","West Germany","644","0.528494902232726","0.498668178412043","0.558321626053408"
"Very low transfer dependency","1984","(1a) inadequately completed","East Germany","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","West Germany","1447","0.396582541511941","0.378836284170444","0.414328798853438"
"Very low transfer dependency","1984","(1b) general elementary school","East Germany","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","West Germany","2124","0.460586206690322","0.445379073688489","0.475793339692156"
"Very low transfer dependency","1984","(1c) basic vocational qualification","East Germany","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","West Germany","312","0.647195349275855","0.603385189647126","0.691005508904583"
"Very low transfer dependency","1984","(2b) intermediate general qualification","East Germany","","","",""
"Very low transfer dependency","1984","(2a) intermediate vocational","West Germany","640","0.436282311097691","0.409689791017555","0.462874831177827"
"Very low transfer dependency","1984","(2a) intermediate vocational","East Germany","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","West Germany","245","0.624331918916588","0.576572453077029","0.672091384756147"
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","West Germany","202","0.400340090626998","0.354454314200351","0.446225867053644"
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","West Germany","113","0.421309188272358","0.360102082298797","0.48251629424592"
"Very low transfer dependency","1984","(3a) lower tertiary education","East Germany","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","West Germany","264","0.500596529771315","0.456987934510838","0.544205125031791"
"Very low transfer dependency","1984","(3b) higher tertiary education","East Germany","","","",""
"Low transfer dependency","1984","(0) in school","West Germany","15","","",""
"Low transfer dependency","1984","(0) in school","East Germany","","","",""
"Low transfer dependency","1984","(1a) inadequately completed","West Germany","94","0.108454631219184","0.0898749725801732","0.127034289858195"
"Low transfer dependency","1984","(1a) inadequately completed","East Germany","","","",""
"Low transfer dependency","1984","(1b) general elementary school","West Germany","135","0.0340952989971246","0.0275119718815173","0.0406786261127319"
"Low transfer dependency","1984","(1b) general elementary school","East Germany","","","",""
"Low transfer dependency","1984","(1c) basic vocational qualification","West Germany","151","0.0302230302289118","0.0249998406093549","0.0354462198484688"
"Low transfer dependency","1984","(1c) basic vocational qualification","East Germany","","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","West Germany","15","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","East Germany","","","",""
