"transab_cat","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","West Germany","Male","64","0.01185131837084","0.00905930795472389","0.0146433287869561","5"
"Complete transfer dependency","1984","West Germany","Female","94","0.0157530699400756","0.0126028945780585","0.0189032453020926","5"
"Complete transfer dependency","1984","East Germany","Male","","","","","5"
"Complete transfer dependency","1984","East Germany","Female","","","","","5"
"High transfer dependency","1984","West Germany","Male","60","0.00789411668052428","0.00561086736020465","0.0101773660008439","3"
"High transfer dependency","1984","West Germany","Female","73","0.0107789378541067","0.00816656743880899","0.0133913082694044","3"
"High transfer dependency","1984","East Germany","Female","","","","","3"
"High transfer dependency","1984","East Germany","Male","","","","","3"
"Low transfer dependency","1984","West Germany","Male","253","0.0338519512278828","0.0291860424078696","0.0385178600478959","2"
"Low transfer dependency","1984","West Germany","Female","253","0.0315367694546021","0.0271154665922221","0.0359580723169821","2"
"Low transfer dependency","1984","East Germany","Male","","","","","2"
"Low transfer dependency","1984","East Germany","Female","","","","","2"
"No transfer dependency","1984","West Germany","Male","2235","0.452229712730151","0.439388639104395","0.465070786355908","0"
"No transfer dependency","1984","West Germany","Female","2494","0.503636915259119","0.490987844834471","0.516285985683768","0"
"No transfer dependency","1984","East Germany","Male","","","","","0"
"No transfer dependency","1984","East Germany","Female","","","","","0"
"Very high transfer dependency","1984","West Germany","Male","25","","","","4"
"Very high transfer dependency","1984","West Germany","Female","31","0.00423528076988062","0.00259234885523392","0.00587821268452732","4"
"Very high transfer dependency","1984","East Germany","Male","","","","","4"
"Very high transfer dependency","1984","East Germany","Female","","","","","4"
"Very low transfer dependency","1984","West Germany","Male","3134","0.491281369588022","0.478383246331986","0.504179492844059","1"
"Very low transfer dependency","1984","West Germany","Female","3057","0.434059026722216","0.421520108779324","0.446597944665107","1"
"Very low transfer dependency","1984","East Germany","Female","","","","","1"
"Very low transfer dependency","1984","East Germany","Male","","","","","1"
"Complete transfer dependency","1985","West Germany","Male","38","0.00601737623167281","0.00392238250261683","0.00811236996072879","5"
"Complete transfer dependency","1985","West Germany","Female","62","0.0115155694658814","0.00867309335513517","0.0143580455766275","5"
"Complete transfer dependency","1985","East Germany","Male","","","","","5"
"Complete transfer dependency","1985","East Germany","Female","","","","","5"
"High transfer dependency","1985","West Germany","Male","59","0.00967266445546571","0.00702140523063096","0.0123239236803005","3"
"High transfer dependency","1985","West Germany","Female","75","0.0131821923141582","0.0101435365213205","0.0162208481069959","3"
"High transfer dependency","1985","East Germany","Male","","","","","3"
"High transfer dependency","1985","East Germany","Female","","","","","3"
"Low transfer dependency","1985","West Germany","Female","181","0.0263367900952079","0.0220704546584444","0.0306031255319714","2"
"Low transfer dependency","1985","West Germany","Male","175","0.0242945108176675","0.0201238660414276","0.0284651555939075","2"
"Low transfer dependency","1985","East Germany","Female","","","","","2"
"Low transfer dependency","1985","East Germany","Male","","","","","2"
"No transfer dependency","1985","West Germany","Male","1943","0.459182038468746","0.445682847310786","0.472681229626706","0"
"No transfer dependency","1985","West Germany","Female","2175","0.510236127615875","0.496917846637951","0.523554408593798","0"
"No transfer dependency","1985","East Germany","Male","","","","","0"
"No transfer dependency","1985","East Germany","Female","","","","","0"
"Very high transfer dependency","1985","West Germany","Female","39","0.00740702540203277","0.00512260141044231","0.00969144939362323","4"
"Very high transfer dependency","1985","West Germany","Male","32","0.00750322620299573","0.00516558249090751","0.00984086991508395","4"
"Very high transfer dependency","1985","East Germany","Male","","","","","4"
"Very high transfer dependency","1985","East Germany","Female","","","","","4"
"Very low transfer dependency","1985","West Germany","Female","2880","0.431322295106845","0.418127481738842","0.444517108474848","1"
"Very low transfer dependency","1985","West Germany","Male","2988","0.493330183823452","0.479786989546061","0.506873378100844","1"
"Very low transfer dependency","1985","East Germany","Female","","","","","1"
"Very low transfer dependency","1985","East Germany","Male","","","","","1"
"Complete transfer dependency","1986","West Germany","Male","36","0.00795638191871669","0.00549652931665411","0.0104162345207793","5"
"Complete transfer dependency","1986","West Germany","Female","51","0.00988455175715838","0.00718476893133902","0.0125843345829777","5"
"Complete transfer dependency","1986","East Germany","Male","","","","","5"
"Complete transfer dependency","1986","East Germany","Female","","","","","5"
"High transfer dependency","1986","West Germany","Male","53","0.00930115494859524","0.00664333744221367","0.0119589724549768","3"
"High transfer dependency","1986","West Germany","Female","69","0.01299689221852","0.00990598164009119","0.0160878027969489","3"
"High transfer dependency","1986","East Germany","Male","","","","","3"
"High transfer dependency","1986","East Germany","Female","","","","","3"
"Low transfer dependency","1986","West Germany","Male","166","0.0292261088561885","0.0245624107223561","0.0338898069900209","2"
"Low transfer dependency","1986","West Germany","Female","163","0.025766727787837","0.0214428985330299","0.030090557042644","2"
"Low transfer dependency","1986","East Germany","Male","","","","","2"
"Low transfer dependency","1986","East Germany","Female","","","","","2"
"No transfer dependency","1986","West Germany","Male","1915","0.465397820335961","0.451587192421067","0.479208448250856","0"
"No transfer dependency","1986","West Germany","Female","2102","0.51943003116133","0.505795215725586","0.533064846597073","0"
"No transfer dependency","1986","East Germany","Male","","","","","0"
"No transfer dependency","1986","East Germany","Female","","","","","0"
"Very high transfer dependency","1986","West Germany","Male","27","","","","4"
"Very high transfer dependency","1986","West Germany","Female","41","0.00817229947955598","0.00571534180263394","0.010629257156478","4"
"Very high transfer dependency","1986","East Germany","Male","","","","","4"
