"transab_cat","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1985","Couple + C. LE 16 ","Urban Area","16","","",""
"High transfer dependency","1985","Couple + C. LE 16 ","Rural Area","6","","",""
"High transfer dependency","1985","Couple + C. GT 16 ","Urban Area","25","","",""
"High transfer dependency","1985","Couple + C. GT 16 ","Rural Area","4","","",""
"High transfer dependency","1985","Couple + C. LE and GT 16","Urban Area","20","","",""
"High transfer dependency","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"Very high transfer dependency","1985","1-pers.-HH","Urban Area","19","","",""
"Very high transfer dependency","1985","1-pers.-HH","Rural Area","2","","",""
"Very high transfer dependency","1985","(Married) couple without C. ","Urban Area","6","","",""
"Very high transfer dependency","1985","(Married) couple without C. ","Rural Area","4","","",""
"Very high transfer dependency","1985","Single parent ","Urban Area","14","","",""
"Very high transfer dependency","1985","Single parent ","Rural Area","","","",""
"Very high transfer dependency","1985","Couple + C. LE 16 ","Urban Area","10","","",""
"Very high transfer dependency","1985","Couple + C. LE 16 ","Rural Area","4","","",""
"Very high transfer dependency","1985","Couple + C. GT 16 ","Urban Area","3","","",""
"Very high transfer dependency","1985","Couple + C. GT 16 ","Rural Area","","","",""
"Very high transfer dependency","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"Very high transfer dependency","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"Complete transfer dependency","1985","1-pers.-HH","Urban Area","20","","",""
"Complete transfer dependency","1985","1-pers.-HH","Rural Area","2","","",""
"Complete transfer dependency","1985","(Married) couple without C. ","Urban Area","10","","",""
"Complete transfer dependency","1985","(Married) couple without C. ","Rural Area","4","","",""
"Complete transfer dependency","1985","Single parent ","Urban Area","14","","",""
"Complete transfer dependency","1985","Single parent ","Rural Area","2","","",""
"Complete transfer dependency","1985","Couple + C. LE 16 ","Urban Area","22","","",""
"Complete transfer dependency","1985","Couple + C. LE 16 ","Rural Area","14","","",""
"Complete transfer dependency","1985","Couple + C. GT 16 ","Urban Area","3","","",""
"Complete transfer dependency","1985","Couple + C. GT 16 ","Rural Area","","","",""
"Complete transfer dependency","1985","Couple + C. LE and GT 16","Urban Area","7","","",""
"Complete transfer dependency","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"No transfer dependency","1986","1-pers.-HH","Urban Area","768","0.828317243830914","0.804235699786163","0.852398787875665"
"No transfer dependency","1986","1-pers.-HH","Rural Area","126","0.778354938232984","0.715547464908568","0.8411624115574"
"No transfer dependency","1986","(Married) couple without C. ","Urban Area","1614","0.870746350563528","0.855712928705191","0.885779772421864"
"No transfer dependency","1986","(Married) couple without C. ","Rural Area","360","0.860943522416087","0.828353317863036","0.893533726969137"
"No transfer dependency","1986","Single parent ","Urban Area","115","0.307145449647046","0.260885038409607","0.353405860884485"
"No transfer dependency","1986","Single parent ","Rural Area","35","0.318793724773002","0.232101369191981","0.405486080354023"
"No transfer dependency","1986","Couple + C. LE 16 ","Urban Area","60","0.0247767947401478","0.0177049343255427","0.031848655154753"
"No transfer dependency","1986","Couple + C. LE 16 ","Rural Area","10","","",""
"No transfer dependency","1986","Couple + C. GT 16 ","Urban Area","523","0.341176760863345","0.317311143891724","0.365042377834966"
