"transab_cat","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Full Time","Male","","","","","5"
"Complete transfer dependency","1984","Full Time","Female","","","","","5"
"Complete transfer dependency","1984","Part Time","Male","","","","","5"
"Complete transfer dependency","1984","Part Time","Female","","","","","5"
"Complete transfer dependency","1984","Not Working","Male","64","0.0434126019269296","0.0322269002048018","0.0545983036490575","5"
"Complete transfer dependency","1984","Not Working","Female","94","0.0266152624307112","0.0210644765823617","0.0321660482790607","5"
"High transfer dependency","1984","Full Time","Female","5","","","","3"
"High transfer dependency","1984","Part Time","Male","27","","","","3"
"High transfer dependency","1984","Full Time","Male","4","","","","3"
"High transfer dependency","1984","Not Working","Male","29","","","","3"
"High transfer dependency","1984","Not Working","Female","43","0.0113999370178454","0.00773886415150319","0.0150610098841877","3"
"High transfer dependency","1984","Part Time","Female","25","","","","3"
"Low transfer dependency","1984","Full Time","Male","92","0.0173000868388538","0.0131942386911256","0.0214059349865819","2"
"Low transfer dependency","1984","Full Time","Female","35","0.0163217404875119","0.0100739088454267","0.0225695721295971","2"
"Low transfer dependency","1984","Part Time","Male","81","0.109673920633685","0.0851167046119529","0.134231136655417","2"
"Low transfer dependency","1984","Part Time","Female","57","0.0400762613212549","0.0289417303115542","0.0512107923309556","2"
"Low transfer dependency","1984","Not Working","Male","80","0.0411478672115334","0.0302449558152609","0.052050778607806","2"
"Low transfer dependency","1984","Not Working","Female","161","0.0345298497179634","0.0282331410586687","0.040826558377258","2"
"No transfer dependency","1984","Full Time","Male","1416","0.405604313861361","0.390142608612519","0.421066019110203","0"
"No transfer dependency","1984","Full Time","Female","801","0.595535697549884","0.57133579897923","0.619735596120538","0"
"No transfer dependency","1984","Part Time","Male","162","0.32438539342548","0.28759511631567","0.36117567053529","0"
"No transfer dependency","1984","Part Time","Female","315","0.289357923566835","0.263615281866863","0.315100565266807","0"
"No transfer dependency","1984","Not Working","Male","657","0.608739462855008","0.581951372790253","0.635527552919764","0"
"No transfer dependency","1984","Not Working","Female","1378","0.536915129276939","0.519719029870382","0.554111228683495","0"
"Very high transfer dependency","1984","Part Time","Female","6","","","","4"
"Very high transfer dependency","1984","Full Time","Male","1","","","","4"
"Very high transfer dependency","1984","Full Time","Female","1","","","","4"
"Very high transfer dependency","1984","Part Time","Male","9","","","","4"
"Very high transfer dependency","1984","Not Working","Male","15","","","","4"
"Very high transfer dependency","1984","Not Working","Female","24","","","","4"
"Very low transfer dependency","1984","Not Working","Male","430","0.2884302089498","0.263563281798793","0.313297136100806","1"
"Very low transfer dependency","1984","Full Time","Male","2361","0.576162423592467","0.560601317020144","0.591723530164791","1"
"Very low transfer dependency","1984","Part Time","Female","789","0.64836599265425","0.621259987774125","0.675471997534374","1"
"Very low transfer dependency","1984","Full Time","Female","738","0.385823467357034","0.361820746387211","0.409826188326856","1"
"Very low transfer dependency","1984","Part Time","Male","343","0.517910912925229","0.478642433913474","0.557179391936984","1"
"Very low transfer dependency","1984","Not Working","Female","1530","0.384447242998246","0.367670878800469","0.401223607196023","1"
"Complete transfer dependency","1985","Full Time","Male","","","","","5"
"Complete transfer dependency","1985","Full Time","Female","","","","","5"
"Complete transfer dependency","1985","Part Time","Male","","","","","5"
"Complete transfer dependency","1985","Part Time","Female","","","","","5"
"Complete transfer dependency","1985","Not Working","Male","38","0.0212223675695483","0.0130780591550077","0.0293666759840888","5"
"Complete transfer dependency","1985","Not Working","Female","62","0.0196712525365939","0.0146214209015283","0.0247210841716594","5"
"High transfer dependency","1985","Full Time","Female","6","","","","3"
"High transfer dependency","1985","Part Time","Male","21","","","","3"
"High transfer dependency","1985","Not Working","Female","45","0.0137111010658951","0.00948233889066897","0.0179398632411212","3"
"High transfer dependency","1985","Not Working","Male","34","0.0192055967829706","0.0114499473484488","0.0269612462174925","3"
"High transfer dependency","1985","Full Time","Male","4","","","","3"
"High transfer dependency","1985","Part Time","Female","24","","","","3"
"Low transfer dependency","1985","Full Time","Male","53","0.0109447968667516","0.00743983842197568","0.0144497553115275","2"
"Low transfer dependency","1985","Full Time","Female","29","","","","2"
"Low transfer dependency","1985","Part Time","Male","53","0.0644097107797992","0.0454943565863751","0.0833250649732232","2"
"Low transfer dependency","1985","Part Time","Female","44","0.0392243394325475","0.0279603020192727","0.0504883768458223","2"
"Low transfer dependency","1985","Not Working","Male","69","0.0355854990091909","0.0251170179070835","0.0460539801112982","2"
"Low transfer dependency","1985","Not Working","Female","108","0.0256037966364114","0.0198600536457597","0.0313475396270631","2"
"No transfer dependency","1985","Full Time","Male","1183","0.414826679074173","0.398229115026318","0.431424243122028","0"
"No transfer dependency","1985","Full Time","Female","681","0.593869571829996","0.567825970252382","0.619913173407611","0"
"No transfer dependency","1985","Part Time","Male","155","0.294443589006635","0.259322912465932","0.329564265547338","0"
"No transfer dependency","1985","Part Time","Female","288","0.297983212979453","0.271444801914634","0.324521624044273","0"
"No transfer dependency","1985","Not Working","Male","605","0.621791622345913","0.594388295995215","0.649194948696611","0"
"No transfer dependency","1985","Not Working","Female","1206","0.550756659018664","0.532668443445505","0.568844874591822","0"
"Very high transfer dependency","1985","Full Time","Male","","","","","4"
"Very high transfer dependency","1985","Part Time","Female","2","","","","4"
"Very high transfer dependency","1985","Full Time","Female","","","","","4"
"Very high transfer dependency","1985","Part Time","Male","8","","","","4"
"Very high transfer dependency","1985","Not Working","Male","24","","","","4"
"Very high transfer dependency","1985","Not Working","Female","37","0.0118902418020427","0.00794863807357774","0.0158318455305077","4"
"Very low transfer dependency","1985","Not Working","Male","433","0.281461212039279","0.256048579153046","0.306873844925511","1"
"Very low transfer dependency","1985","Full Time","Male","2145","0.573633261704555","0.556973162776985","0.590293360632125","1"
"Very low transfer dependency","1985","Part Time","Female","783","0.637307058438627","0.609410592708997","0.665203524168256","1"
"Very low transfer dependency","1985","Full Time","Female","650","0.386891175438146","0.36106346332706","0.412718887549231","1"
"Very low transfer dependency","1985","Part Time","Male","410","0.594968409947887","0.557142676937049","0.632794142958726","1"
"Very low transfer dependency","1985","Not Working","Female","1447","0.378366948940393","0.360731006706039","0.396002891174747","1"
"Complete transfer dependency","1986","Full Time","Female","","","","","5"
"Complete transfer dependency","1986","Full Time","Male","","","","","5"
"Complete transfer dependency","1986","Part Time","Male","","","","","5"
"Complete transfer dependency","1986","Part Time","Female","","","","","5"
"Complete transfer dependency","1986","Not Working","Male","36","0.0283677104769164","0.0187303350420433","0.0380050859117896","5"
"Complete transfer dependency","1986","Not Working","Female","51","0.0172053042350465","0.0122757097871949","0.0221348986828982","5"
"High transfer dependency","1986","Full Time","Male","4","","","","3"
"High transfer dependency","1986","Full Time","Female","2","","","","3"
"High transfer dependency","1986","Not Working","Female","47","0.0156479732122911","0.0109430463303942","0.0203529000941881","3"
"High transfer dependency","1986","Not Working","Male","24","","","","3"
"High transfer dependency","1986","Part Time","Male","25","","","","3"
"High transfer dependency","1986","Part Time","Female","20","","","","3"
"Low transfer dependency","1986","Full Time","Female","26","","","","2"
"Low transfer dependency","1986","Part Time","Male","66","0.113648633633271","0.0881893608662353","0.139107906400307","2"
"Low transfer dependency","1986","Not Working","Female","95","0.0250588723408363","0.0191334601157495","0.030984284565923","2"
"Low transfer dependency","1986","Not Working","Male","54","0.03520859546669","0.0245097545862073","0.0459074363471728","2"
"Low transfer dependency","1986","Full Time","Male","46","0.0100998465391771","0.00667483659491212","0.0135248564834421","2"
"Low transfer dependency","1986","Part Time","Female","42","0.0357680529832654","0.0250346464408487","0.046501459525682","2"
"No transfer dependency","1986","Full Time","Male","1184","0.42724864484975","0.41030401199991","0.44419327769959","0"
"No transfer dependency","1986","Full Time","Female","705","0.617241599907526","0.591168214900208","0.643314984914844","0"
"No transfer dependency","1986","Part Time","Male","163","0.293021061936332","0.256510914873691","0.329531208998974","0"
"No transfer dependency","1986","Part Time","Female","296","0.297692835212527","0.271265893215439","0.324119777209615","0"
"No transfer dependency","1986","Not Working","Male","568","0.619114620230731","0.590925706103476","0.647303534357985","0"
"No transfer dependency","1986","Not Working","Female","1101","0.558382518025881","0.539557402648534","0.577207633403228","0"
"Very high transfer dependency","1986","Part Time","Female","8","","","","4"
"Very high transfer dependency","1986","Full Time","Male","2","","","","4"
"Very high transfer dependency","1986","Full Time","Female","","","","","4"
"Very high transfer dependency","1986","Part Time","Male","3","","","","4"
"Very high transfer dependency","1986","Not Working","Male","22","","","","4"
"Very high transfer dependency","1986","Not Working","Female","33","0.0121091767955907","0.00796287989334998","0.0162554736978314","4"
"Very low transfer dependency","1986","Full Time","Male","2038","0.561145905682383","0.544147557140108","0.578144254224659","1"
"Very low transfer dependency","1986","Not Working","Male","436","0.290086237902398","0.263743432367382","0.316429043437414","1"
"Very low transfer dependency","1986","Part Time","Female","784","0.641836468131568","0.614125477754201","0.669547458508935","1"
"Very low transfer dependency","1986","Full Time","Female","602","0.362857110737087","0.337064595394832","0.388649626079342","1"
"Very low transfer dependency","1986","Part Time","Male","340","0.543619334146279","0.50366425535602","0.583574412936538","1"
"Very low transfer dependency","1986","Not Working","Female","1346","0.371596155390354","0.353277076439167","0.389915234341542","1"
"Complete transfer dependency","1987","Full Time","Male","","","","","5"
"Complete transfer dependency","1987","Full Time","Female","","","","","5"
"Complete transfer dependency","1987","Part Time","Male","","","","","5"
"Complete transfer dependency","1987","Part Time","Female","","","","","5"
"Complete transfer dependency","1987","Not Working","Male","31","0.0253243830890532","0.0160315869679342","0.0346171792101722","5"
"Complete transfer dependency","1987","Not Working","Female","43","0.0146711586901102","0.0100254603871739","0.0193168569930465","5"
"High transfer dependency","1987","Full Time","Female","4","","","","3"
"High transfer dependency","1987","Full Time","Male","6","","","","3"
"High transfer dependency","1987","Not Working","Male","26","","","","3"
"High transfer dependency","1987","Not Working","Female","38","0.00920977256057567","0.00551877712875386","0.0129007679923975","3"
"High transfer dependency","1987","Part Time","Male","24","","","","3"
"High transfer dependency","1987","Part Time","Female","15","","","","3"
"Low transfer dependency","1987","Full Time","Male","50","0.011941585260429","0.00821170531327202","0.015671465207586","2"
"Low transfer dependency","1987","Full Time","Female","21","","","","2"
