"transab_cat","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1985","no migration background","Urban Area","48","0.00806853338929182","0.00577211007365243","0.0103649567049312","5"
"Complete transfer dependency","1985","no migration background","Rural Area","14","","","","5"
"Complete transfer dependency","1985","direct migration background","Urban Area","30","0.0142257637961476","0.00957632430105368","0.0188752032912416","5"
"Complete transfer dependency","1985","direct migration background","Rural Area","8","","","","5"
"Complete transfer dependency","1985","indirect migration background","Urban Area","","","","","5"
"Complete transfer dependency","1985","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","1985","direct migration background","Urban Area","53","0.0247791441485525","0.0186757879962946","0.0308825003008104","3"
"High transfer dependency","1985","indirect migration background","Urban Area","2","","","","3"
"High transfer dependency","1985","no migration background","Rural Area","9","","","","3"
"High transfer dependency","1985","indirect migration background","Rural Area","","","","","3"
"High transfer dependency","1985","no migration background","Urban Area","64","0.0120500720478379","0.00924931071224757","0.0148508333834282","3"
"High transfer dependency","1985","direct migration background","Rural Area","6","","","","3"
"Low transfer dependency","1985","no migration background","Urban Area","129","0.0197139813136342","0.0161455496181195","0.0232824130091489","2"
"Low transfer dependency","1985","no migration background","Rural Area","69","0.0348747279745672","0.0265326836227992","0.0432167723263351","2"
"Low transfer dependency","1985","direct migration background","Urban Area","133","0.0451766952577414","0.0370222803253558","0.0533311101901271","2"
"Low transfer dependency","1985","direct migration background","Rural Area","18","","","","2"
"Low transfer dependency","1985","indirect migration background","Urban Area","7","","","","2"
"Low transfer dependency","1985","indirect migration background","Rural Area","","","","","2"
"No transfer dependency","1985","no migration background","Urban Area","2674","0.517528624306067","0.504701869953533","0.5303553786586","0"
"No transfer dependency","1985","no migration background","Rural Area","722","0.450480915093513","0.427857673959439","0.473104156227586","0"
"No transfer dependency","1985","direct migration background","Urban Area","627","0.35562935811359","0.33683442659517","0.37442428963201","0"
"No transfer dependency","1985","direct migration background","Rural Area","62","0.309759179947717","0.259488029608338","0.360030330287095","0"
"No transfer dependency","1985","indirect migration background","Urban Area","26","","","","0"
"No transfer dependency","1985","indirect migration background","Rural Area","7","","","","0"
"Very high transfer dependency","1985","no migration background","Urban Area","37","0.00678492525052502","0.00467771437718443","0.00889213612386561","4"
"Very high transfer dependency","1985","direct migration background","Rural Area","","","","","4"
"Very high transfer dependency","1985","no migration background","Rural Area","17","","","","4"
"Very high transfer dependency","1985","direct migration background","Urban Area","16","","","","4"
"Very high transfer dependency","1985","indirect migration background","Urban Area","1","","","","4"
"Very high transfer dependency","1985","indirect migration background","Rural Area","","","","","4"
"Very low transfer dependency","1985","indirect migration background","Urban Area","89","0.518717159968464","0.431126342233951","0.606307977702976","1"
"Very low transfer dependency","1985","no migration background","Urban Area","2878","0.435853863692644","0.423125280283284","0.448582447102005","1"
"Very low transfer dependency","1985","direct migration background","Rural Area","231","0.609598677064121","0.556561053229586","0.662636300898656","1"
"Very low transfer dependency","1985","direct migration background","Urban Area","1633","0.552386963468755","0.532863936885817","0.571909990051693","1"
"Very low transfer dependency","1985","no migration background","Rural Area","1027","0.491991112082375","0.469259014059319","0.514723210105431","1"
"Very low transfer dependency","1985","indirect migration background","Rural Area","10","","","","1"
"Complete transfer dependency","1986","no migration background","Rural Area","11","","","","5"
"Complete transfer dependency","1986","no migration background","Urban Area","45","0.00864586567829238","0.0062128144574195","0.0110789168991653","5"
"Complete transfer dependency","1986","direct migration background","Urban Area","21","","","","5"
"Complete transfer dependency","1986","direct migration background","Rural Area","10","","","","5"
"Complete transfer dependency","1986","indirect migration background","Urban Area","","","","","5"
"Complete transfer dependency","1986","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","1986","no migration background","Urban Area","44","0.00930929075331194","0.00678546166686072","0.0118331198397632","3"
"High transfer dependency","1986","no migration background","Rural Area","26","","","","3"
"High transfer dependency","1986","indirect migration background","Rural Area","","","","","3"
"High transfer dependency","1986","indirect migration background","Urban Area","1","","","","3"
"High transfer dependency","1986","direct migration background","Urban Area","49","0.015709005750393","0.0107122631831474","0.0207057483176386","3"
"High transfer dependency","1986","direct migration background","Rural Area","2","","","","3"
"Low transfer dependency","1986","indirect migration background","Urban Area","5","","","","2"
