"transab_cat","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Full Time","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1984","Full Time","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1984","Full Time","1-pers.-HH","","","","","5"
"Complete transfer dependency","1984","Full Time","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1984","Full Time","Single parent ","","","","","5"
"Complete transfer dependency","1984","Full Time","Couple + C. LE and GT 16","","","","","5"
"Complete transfer dependency","1984","Part Time","1-pers.-HH","","","","","5"
"Complete transfer dependency","1984","Part Time","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1984","Part Time","Single parent ","","","","","5"
"Complete transfer dependency","1984","Part Time","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1984","Part Time","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1984","Part Time","Couple + C. LE and GT 16","","","","","5"
"Complete transfer dependency","1984","Not Working","1-pers.-HH","58","0.062224827758386","0.0434215016162707","0.0810281539005013","5"
"Complete transfer dependency","1984","Not Working","(Married) couple without C. ","14","","","","5"
"Complete transfer dependency","1984","Not Working","Single parent ","26","","","","5"
"Complete transfer dependency","1984","Not Working","Couple + C. LE 16 ","50","0.0608508459340909","0.0449199341360423","0.0767817577321396","5"
"Complete transfer dependency","1984","Not Working","Couple + C. GT 16 ","3","","","","5"
"Complete transfer dependency","1984","Not Working","Couple + C. LE and GT 16","4","","","","5"
"High transfer dependency","1984","Full Time","(Married) couple without C. ","1","","","","3"
"High transfer dependency","1984","Full Time","1-pers.-HH","","","","","3"
"High transfer dependency","1984","Full Time","Single parent ","3","","","","3"
"High transfer dependency","1984","Part Time","(Married) couple without C. ","6","","","","3"
"High transfer dependency","1984","Part Time","Single parent ","3","","","","3"
"High transfer dependency","1984","Part Time","Couple + C. LE 16 ","17","","","","3"
"High transfer dependency","1984","Part Time","Couple + C. GT 16 ","4","","","","3"
"High transfer dependency","1984","Part Time","Couple + C. LE and GT 16","6","","","","3"
"High transfer dependency","1984","Not Working","1-pers.-HH","7","","","","3"
"High transfer dependency","1984","Not Working","(Married) couple without C. ","7","","","","3"
"High transfer dependency","1984","Not Working","Single parent ","9","","","","3"
"High transfer dependency","1984","Not Working","Couple + C. LE 16 ","23","","","","3"
