"transab_cat","year","education","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","lower secondary degree","2717","0.514606476984453","0.501869823630789","0.527343130338116"
"No transfer dependency","1984","secondary school degree","792","0.472196323194982","0.449508693497781","0.494883952892183"
"No transfer dependency","1984","college entrance qualification","518","0.447449257205825","0.419684062945933","0.475214451465716"
"No transfer dependency","1984","Other degree","376","0.298707994005489","0.274894135976756","0.322521852034221"
"No transfer dependency","1984","no degree/no degree yet","301","0.218399002632457","0.19555888533211","0.241239119932805"
"Very low transfer dependency","1984","lower secondary degree","2833","0.429331810765815","0.416717629056682","0.441945992474947"
"Very low transfer dependency","1984","secondary school degree","989","0.489356728456908","0.466639088732095","0.512074368181722"
"Very low transfer dependency","1984","college entrance qualification","632","0.486636031018175","0.458726177330781","0.51454588470557"
"Very low transfer dependency","1984","Other degree","892","0.579552611262621","0.553868818528153","0.605236403997089"
"Very low transfer dependency","1984","no degree/no degree yet","792","0.63820736051421","0.611643498230246","0.664771222798174"
"Low transfer dependency","1984","lower secondary degree","207","0.0298056468144882","0.0254720414190279","0.0341392522099485"
"Low transfer dependency","1984","secondary school degree","48","0.0231256692950502","0.0162950807855929","0.0299562578045075"
"Low transfer dependency","1984","college entrance qualification","34","0.0269960402866565","0.0179460091223382","0.0360460714509748"
"Low transfer dependency","1984","Other degree","101","0.077888676790563","0.0639447294571974","0.0918326241239287"
"Low transfer dependency","1984","no degree/no degree yet","109","0.101237417939523","0.084562124932742","0.117912710946304"
"High transfer dependency","1984","lower secondary degree","54","0.00903852670785465","0.0066266898682989","0.0114503635474104"
"High transfer dependency","1984","secondary school degree","12","","",""
"High transfer dependency","1984","college entrance qualification","17","","",""
"High transfer dependency","1984","Other degree","30","0.0189934450149971","0.0118912152211308","0.0260956748088634"
"High transfer dependency","1984","no degree/no degree yet","18","","",""
"Very high transfer dependency","1984","lower secondary degree","24","","",""
"Very high transfer dependency","1984","secondary school degree","4","","",""
"Very high transfer dependency","1984","college entrance qualification","8","","",""
"Very high transfer dependency","1984","Other degree","6","","",""
"Very high transfer dependency","1984","no degree/no degree yet","14","","",""
"Complete transfer dependency","1984","lower secondary degree","80","0.0137316289189678","0.0107659147042594","0.0166973431336763"
"Complete transfer dependency","1984","secondary school degree","15","","",""
"Complete transfer dependency","1984","college entrance qualification","23","","",""
"Complete transfer dependency","1984","Other degree","14","","",""
"Complete transfer dependency","1984","no degree/no degree yet","23","","",""
"No transfer dependency","1985","lower secondary degree","2372","0.522537131437942","0.50913013788583","0.535944124990054"
"No transfer dependency","1985","secondary school degree","728","0.469787887935706","0.446647984365849","0.492927791505562"
"No transfer dependency","1985","college entrance qualification","506","0.493468156215125","0.464697349510307","0.522238962919943"
"No transfer dependency","1985","Other degree","279","0.28100619762167","0.255261359458458","0.306751035784883"
"No transfer dependency","1985","no degree/no degree yet","207","0.198772390980308","0.174691206481514","0.222853575479103"
