"transab_cat","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1985","Rural Area","Female","12","","","","5"
"Complete transfer dependency","1985","Rural Area","Male","10","","","","5"
"Complete transfer dependency","1985","Urban Area","Female","50","0.0118199648471084","0.00858630030983953","0.0150536293843772","5"
"Complete transfer dependency","1985","Urban Area","Male","28","","","","5"
"High transfer dependency","1985","Rural Area","Female","8","","","","3"
"High transfer dependency","1985","Rural Area","Male","7","","","","3"
"High transfer dependency","1985","Urban Area","Male","52","0.0109217344791798","0.00776184816514475","0.0140816207932148","3"
"High transfer dependency","1985","Urban Area","Female","67","0.0155626150098027","0.0118591847583397","0.0192660452612657","3"
"Low transfer dependency","1985","Rural Area","Female","47","0.0368716402609897","0.0258401649028132","0.0479031156191662","2"
"Low transfer dependency","1985","Rural Area","Male","40","0.0318375484745471","0.0213618908507465","0.0423132060983476","2"
"Low transfer dependency","1985","Urban Area","Male","135","0.0219316141284421","0.0174788444628977","0.0263843837939865","2"
"Low transfer dependency","1985","Urban Area","Female","134","0.0230957575898263","0.0186014691891827","0.0275900459904699","2"
"No transfer dependency","1985","Rural Area","Female","419","0.465262855989249","0.436064079616134","0.494461632362363","0"
"No transfer dependency","1985","Rural Area","Male","372","0.418761862008794","0.389324561510089","0.448199162507499","0"
"No transfer dependency","1985","Urban Area","Female","1756","0.524072094233482","0.509129192642326","0.539014995824638","0"
"No transfer dependency","1985","Urban Area","Male","1571","0.471843873856512","0.456666709305876","0.487021038407148","0"
"Very high transfer dependency","1985","Rural Area","Male","8","","","","4"
"Very high transfer dependency","1985","Rural Area","Female","9","","","","4"
"Very high transfer dependency","1985","Urban Area","Female","30","0.00700182738987932","0.00450695257743748","0.00949670220232116","4"
"Very high transfer dependency","1985","Urban Area","Male","24","","","","4"
"Very low transfer dependency","1985","Rural Area","Female","626","0.473170532969357","0.443943201884181","0.502397864054533","1"
"Very low transfer dependency","1985","Rural Area","Male","642","0.525942657457961","0.496149124486192","0.55573619042973","1"
"Very low transfer dependency","1985","Urban Area","Female","2254","0.418447740929901","0.403687827131822","0.43320765472798","1"
"Very low transfer dependency","1985","Urban Area","Male","2346","0.483114152897483","0.467921538254273","0.498306767540693","1"
"Complete transfer dependency","1986","Rural Area","Female","11","","","","5"
"Complete transfer dependency","1986","Rural Area","Male","10","","","","5"
"Complete transfer dependency","1986","Urban Area","Female","40","0.0103954982346736","0.0072855554761124","0.0135054409932347","5"
"Complete transfer dependency","1986","Urban Area","Male","26","","","","5"
"High transfer dependency","1986","Rural Area","Female","16","","","","3"
"High transfer dependency","1986","Rural Area","Male","12","","","","3"
"High transfer dependency","1986","Urban Area","Male","41","0.00823522627714012","0.00542930142398493","0.0110411511302953","3"
"High transfer dependency","1986","Urban Area","Female","53","0.0115437987779594","0.00826849188646235","0.0148191056694564","3"
"Low transfer dependency","1986","Rural Area","Male","41","0.0347853405781959","0.023573304278064","0.0459973768783279","2"
"Low transfer dependency","1986","Rural Area","Female","44","0.0331026420707591","0.0223930676232823","0.0438122165182358","2"
"Low transfer dependency","1986","Urban Area","Female","119","0.0235331712700137","0.0188851523743439","0.0281811901656835","2"
"Low transfer dependency","1986","Urban Area","Male","125","0.0275292267002072","0.0224491623550921","0.0326092910453224","2"
"No transfer dependency","1986","Rural Area","Female","406","0.46889220337988","0.439019223765448","0.498765182994313","0"
"No transfer dependency","1986","Rural Area","Male","363","0.422885534039957","0.392657019539961","0.453114048539952","0"
"No transfer dependency","1986","Urban Area","Female","1696","0.534817219490488","0.51952348959174","0.550110949389236","0"
"No transfer dependency","1986","Urban Area","Male","1552","0.478374134983916","0.462864651591675","0.493883618376157","0"
"Very high transfer dependency","1986","Rural Area","Female","4","","","","4"
"Very high transfer dependency","1986","Rural Area","Male","2","","","","4"
"Very high transfer dependency","1986","Urban Area","Female","37","0.00915691931864182","0.00623629266568217","0.0120775459716015","4"
"Very high transfer dependency","1986","Urban Area","Male","25","","","","4"
"Very low transfer dependency","1986","Rural Area","Female","591","0.467090909412389","0.437224846869845","0.496956971954933","1"
