"transab_cat","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","66 and older","indirect migration background","","","","","5"
"Complete transfer dependency","1984","66 and older","direct migration background","3","","","","5"
"Complete transfer dependency","1984","66 and older","no migration background","2","","","","5"
"Complete transfer dependency","1984","35-65 y.","indirect migration background","","","","","5"
"Complete transfer dependency","1984","35-65 y.","direct migration background","27","","","","5"
"Complete transfer dependency","1984","35-65 y.","no migration background","38","0.0095786972765632","0.00661567487555893","0.0125417196775675","5"
"Complete transfer dependency","1984","16-34 y.","no migration background","60","0.0225059044340682","0.0171626292411512","0.0278491796269852","5"
"Complete transfer dependency","1984","16-34 y.","direct migration background","28","","","","5"
"Complete transfer dependency","1984","16-34 y.","indirect migration background","","","","","5"
"High transfer dependency","1984","16-34 y.","no migration background","40","0.0138366699497447","0.00962850794245111","0.0180448319570382","3"
"High transfer dependency","1984","35-65 y.","no migration background","26","","","","3"
"High transfer dependency","1984","35-65 y.","direct migration background","35","0.0177051665338239","0.0118261713833496","0.0235841616842982","3"
"High transfer dependency","1984","35-65 y.","indirect migration background","","","","","3"
"High transfer dependency","1984","66 and older","no migration background","4","","","","3"
"High transfer dependency","1984","66 and older","direct migration background","","","","","3"
"High transfer dependency","1984","66 and older","indirect migration background","","","","","3"
"High transfer dependency","1984","16-34 y.","indirect migration background","","","","","3"
"High transfer dependency","1984","16-34 y.","direct migration background","28","","","","3"
"Low transfer dependency","1984","35-65 y.","indirect migration background","","","","","2"
"Low transfer dependency","1984","66 and older","no migration background","17","","","","2"
"Low transfer dependency","1984","66 and older","direct migration background","1","","","","2"
"Low transfer dependency","1984","66 and older","indirect migration background","","","","","2"
"Low transfer dependency","1984","35-65 y.","no migration background","109","0.0258432995529466","0.0210164905274297","0.0306701085784636","2"
"Low transfer dependency","1984","35-65 y.","direct migration background","145","0.054501361727817","0.0443816930318791","0.0646210304237548","2"
"Low transfer dependency","1984","16-34 y.","indirect migration background","9","","","","2"
"Low transfer dependency","1984","16-34 y.","no migration background","143","0.0477644448457805","0.0400815162063143","0.0554473734852467","2"
"Low transfer dependency","1984","16-34 y.","direct migration background","82","0.0539580226054749","0.0419103367991023","0.0660057084118475","2"
"No transfer dependency","1984","16-34 y.","no migration background","917","0.316424197261934","0.29966973785698","0.333178656666888","0"
"No transfer dependency","1984","16-34 y.","direct migration background","300","0.26358276746116","0.24008963677325","0.28707589814907","0"
"No transfer dependency","1984","16-34 y.","indirect migration background","25","","","","0"
"No transfer dependency","1984","35-65 y.","no migration background","1808","0.461544487458671","0.446379103084089","0.476709871833254","0"
