"transab_cat","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","16-34 y.","(0) in school","15","","",""
"No transfer dependency","1984","16-34 y.","(1a) inadequately completed","57","0.241751697511425","0.194768427628448","0.288734967394402"
"No transfer dependency","1984","16-34 y.","(1b) general elementary school","173","0.192706782104819","0.166938172379863","0.218475391829775"
"No transfer dependency","1984","16-34 y.","(1c) basic vocational qualification","396","0.338927414025935","0.312560112139757","0.365294715912112"
"No transfer dependency","1984","16-34 y.","(2b) intermediate general qualification","61","0.182510526744906","0.141927586106108","0.223093467383704"
"No transfer dependency","1984","16-34 y.","(2a) intermediate vocational","262","0.44399203592098","0.40469208557713","0.483291986264829"
"No transfer dependency","1984","16-34 y.","(2c_gen) general maturity certificate","78","0.241661089521064","0.195887656376216","0.287434522665912"
"No transfer dependency","1984","16-34 y.","(2c_voc) vocational maturity certificate","77","0.414565941104125","0.347454166859715","0.481677715348536"
"No transfer dependency","1984","16-34 y.","(3a) lower tertiary education","35","0.479078603030255","0.36120595743389","0.596951248626621"
"No transfer dependency","1984","16-34 y.","(3b) higher tertiary education","83","0.506733198433227","0.431798897815691","0.581667499050763"
"No transfer dependency","1984","35-65 y.","(0) in school","","","",""
"No transfer dependency","1984","35-65 y.","(1a) inadequately completed","219","0.296750311295957","0.26381390300201","0.329686719589904"
"No transfer dependency","1984","35-65 y.","(1b) general elementary school","670","0.51108185009793","0.486115730905496","0.536047969290363"
"No transfer dependency","1984","35-65 y.","(1c) basic vocational qualification","934","0.428466041818648","0.408709142202495","0.448222941434801"
"No transfer dependency","1984","35-65 y.","(2b) intermediate general qualification","36","0.487790962846727","0.377567249308745","0.598014676384708"
"No transfer dependency","1984","35-65 y.","(2a) intermediate vocational","247","0.460881361638724","0.420279536633652","0.501483186643796"
"No transfer dependency","1984","35-65 y.","(2c_gen) general maturity certificate","15","","",""
"No transfer dependency","1984","35-65 y.","(2c_voc) vocational maturity certificate","78","0.468001550273227","0.397237898510143","0.538765202036312"
"No transfer dependency","1984","35-65 y.","(3a) lower tertiary education","69","0.472700842446226","0.394853951130682","0.550547733761771"
"No transfer dependency","1984","35-65 y.","(3b) higher tertiary education","102","0.352234377413591","0.297633547509941","0.406835207317241"
"No transfer dependency","1984","66 and older","(0) in school","","","",""
"No transfer dependency","1984","66 and older","(1a) inadequately completed","10","","",""
"No transfer dependency","1984","66 and older","(1b) general elementary school","388","0.815120406956986","0.780355929525598","0.849884884388374"
"No transfer dependency","1984","66 and older","(1c) basic vocational qualification","436","0.904929143380944","0.878662091896421","0.931196194865467"
"No transfer dependency","1984","66 and older","(2b) intermediate general qualification","25","","",""
"No transfer dependency","1984","66 and older","(2a) intermediate vocational","134","0.942148905384633","0.903884441172969","0.980413369596298"
"No transfer dependency","1984","66 and older","(2c_gen) general maturity certificate","6","","",""
"No transfer dependency","1984","66 and older","(2c_voc) vocational maturity certificate","39","0.977806200534633","0.932154147027688","1.02345825404158"
"No transfer dependency","1984","66 and older","(3a) lower tertiary education","22","","",""
