"transab_cat","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Female","94","0.0157530699400756","0.0126028945780585","0.0189032453020926","5"
"Complete transfer dependency","1984","Male","64","0.01185131837084","0.00905930795472389","0.0146433287869561","5"
"High transfer dependency","1984","Female","73","0.0107789378541067","0.00816656743880899","0.0133913082694044","3"
"High transfer dependency","1984","Male","60","0.00789411668052428","0.00561086736020465","0.0101773660008439","3"
"Low transfer dependency","1984","Female","253","0.0315367694546021","0.0271154665922221","0.0359580723169821","2"
"Low transfer dependency","1984","Male","253","0.0338519512278828","0.0291860424078696","0.0385178600478959","2"
"No transfer dependency","1984","Female","2494","0.503636915259119","0.490987844834471","0.516285985683768","0"
"No transfer dependency","1984","Male","2235","0.452229712730151","0.439388639104395","0.465070786355908","0"
"Very high transfer dependency","1984","Female","31","0.00423528076988062","0.00259234885523392","0.00587821268452732","4"
"Very high transfer dependency","1984","Male","25","","","","4"
"Very low transfer dependency","1984","Female","3057","0.434059026722216","0.421520108779324","0.446597944665107","1"
"Very low transfer dependency","1984","Male","3134","0.491281369588022","0.478383246331986","0.504179492844059","1"
"Complete transfer dependency","1985","Female","62","0.0115155694658814","0.00867309335513517","0.0143580455766275","5"
"Complete transfer dependency","1985","Male","38","0.00601737623167281","0.00392238250261683","0.00811236996072879","5"
"High transfer dependency","1985","Female","75","0.0131821923141582","0.0101435365213205","0.0162208481069959","3"
"High transfer dependency","1985","Male","59","0.00967266445546571","0.00702140523063096","0.0123239236803005","3"
"Low transfer dependency","1985","Female","181","0.0263367900952079","0.0220704546584444","0.0306031255319714","2"
"Low transfer dependency","1985","Male","175","0.0242945108176675","0.0201238660414276","0.0284651555939075","2"
"No transfer dependency","1985","Female","2175","0.510236127615875","0.496917846637951","0.523554408593798","0"
"No transfer dependency","1985","Male","1943","0.459182038468746","0.445682847310786","0.472681229626706","0"
"Very high transfer dependency","1985","Female","39","0.00740702540203277","0.00512260141044231","0.00969144939362323","4"
"Very high transfer dependency","1985","Male","32","0.00750322620299573","0.00516558249090751","0.00984086991508395","4"
"Very low transfer dependency","1985","Female","2880","0.431322295106845","0.418127481738842","0.444517108474848","1"
"Very low transfer dependency","1985","Male","2988","0.493330183823452","0.479786989546061","0.506873378100844","1"
"Complete transfer dependency","1986","Female","51","0.00988455175715838","0.00718476893133902","0.0125843345829777","5"
"Complete transfer dependency","1986","Male","36","0.00795638191871669","0.00549652931665411","0.0104162345207793","5"
"High transfer dependency","1986","Female","69","0.01299689221852","0.00990598164009119","0.0160878027969489","3"
"High transfer dependency","1986","Male","53","0.00930115494859524","0.00664333744221367","0.0119589724549768","3"
"Low transfer dependency","1986","Female","163","0.025766727787837","0.0214428985330299","0.030090557042644","2"
"Low transfer dependency","1986","Male","166","0.0292261088561885","0.0245624107223561","0.0338898069900209","2"
"No transfer dependency","1986","Male","1915","0.465397820335961","0.451587192421067","0.479208448250856","0"
"No transfer dependency","1986","Female","2102","0.51943003116133","0.505795215725586","0.533064846597073","0"
"Very high transfer dependency","1986","Female","41","0.00817229947955598","0.00571534180263394","0.010629257156478","4"
"Very high transfer dependency","1986","Male","27","","","","4"
"Very low transfer dependency","1986","Female","2732","0.423749497595599","0.410263978175126","0.437235017016072","1"
"Very low transfer dependency","1986","Male","2814","0.483075624092301","0.469239738650077","0.496911509534526","1"
"Complete transfer dependency","1987","Female","43","0.0081812916751156","0.00570370515869811","0.0106588781915331","5"
"Complete transfer dependency","1987","Male","31","0.00691949658921884","0.00460413648064544","0.00923485669779224","5"
"High transfer dependency","1987","Female","57","0.00892466773306553","0.00633793770729317","0.0115113977588379","3"
"High transfer dependency","1987","Male","56","0.00973993648380403","0.0069968357041633","0.0124830372634448","3"
"Low transfer dependency","1987","Female","184","0.0325065028949476","0.0276288499626304","0.0373841558272647","2"
"Low transfer dependency","1987","Male","158","0.0274870070387594","0.0229203278650685","0.0320536862124502","2"
"No transfer dependency","1987","Female","2100","0.53133995472441","0.517614809605627","0.545065099843194","0"
"No transfer dependency","1987","Male","1924","0.486094435571808","0.472134254422968","0.500054616720648","0"
"Very high transfer dependency","1987","Female","36","0.00780768563790719","0.00538687493086562","0.0102284963449488","4"
"Very high transfer dependency","1987","Male","28","","","","4"
"Very low transfer dependency","1987","Female","2658","0.411239897334554","0.397706134864189","0.424773659804918","1"
"Very low transfer dependency","1987","Male","2727","0.462900416955706","0.448973330791757","0.476827503119655","1"
"Complete transfer dependency","1988","Female","42","0.00799373563548192","0.00547900272251351","0.0105084685484503","5"
"Complete transfer dependency","1988","Male","25","","","","5"
"High transfer dependency","1988","Female","46","0.00890284185660493","0.00625017804432919","0.0115555056688807","3"
"High transfer dependency","1988","Male","39","0.00676604650782413","0.00441185593127115","0.0091202370843771","3"
"Low transfer dependency","1988","Female","159","0.0282765214705754","0.0235954625561002","0.0329575803850506","2"
"Low transfer dependency","1988","Male","144","0.0238660661717557","0.0194828440987565","0.0282492882447549","2"
"No transfer dependency","1988","Female","2015","0.542614936746459","0.528546474513198","0.55668339897972","0"
"No transfer dependency","1988","Male","1892","0.512187112820417","0.497832571918222","0.526541653722612","0"
"Very high transfer dependency","1988","Female","43","0.0102044577821462","0.00736635917037405","0.0130425563939184","4"
"Very high transfer dependency","1988","Male","33","0.00800350188488432","0.00544466003957645","0.0105623437301922","4"
"Very low transfer dependency","1988","Female","2512","0.402007506508732","0.388161494136844","0.415853518880621","1"
"Very low transfer dependency","1988","Male","2525","0.443586772837295","0.429319651148147","0.457853894526443","1"
"Complete transfer dependency","1989","Female","45","0.0108569291033629","0.00788825975829745","0.0138255984484284","5"
"Complete transfer dependency","1989","Male","36","0.00822684549016505","0.00558798500938425","0.0108657059709459","5"
"High transfer dependency","1989","Female","58","0.0129399103010228","0.00970236242420365","0.0161774581778421","3"
"High transfer dependency","1989","Male","44","0.0096819220367432","0.00682129177458364","0.0125425522989028","3"
"Low transfer dependency","1989","Female","150","0.0252535327598855","0.0207589883514986","0.0297480771682724","2"
"Low transfer dependency","1989","Male","140","0.0223055390310815","0.0179913266255344","0.0266197514366286","2"
"No transfer dependency","1989","Female","2002","0.548199220219455","0.533942439651259","0.562456000787651","0"
"No transfer dependency","1989","Male","1867","0.51384190028541","0.499240412650975","0.528443387919845","0"
"Very high transfer dependency","1989","Female","33","0.0074825145536925","0.00501379567110131","0.00995123343628368","4"
"Very high transfer dependency","1989","Male","23","","","","4"
