"transab_cat","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Not Employed","Couple + C. GT 16 ","3","","","","5"
"Complete transfer dependency","1984","Not Employed","(Married) couple without C. ","14","","","","5"
"Complete transfer dependency","1984","Not Employed","Single parent ","26","","","","5"
"Complete transfer dependency","1984","Not Employed","Couple + C. LE 16 ","50","0.0608508459340909","0.0449199341360423","0.0767817577321396","5"
"Complete transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","4","","","","5"
"Complete transfer dependency","1984","Employed","1-pers.-HH","","","","","5"
"Complete transfer dependency","1984","Employed","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1984","Not Employed","1-pers.-HH","58","0.062224827758386","0.0434215016162707","0.0810281539005013","5"
"Complete transfer dependency","1984","Employed","Single parent ","","","","","5"
"Complete transfer dependency","1984","Employed","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1984","Employed","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1984","Employed","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","1984","Not Employed","1-pers.-HH","7","","","","3"
"High transfer dependency","1984","Employed","Couple + C. LE 16 ","19","","","","3"
"High transfer dependency","1984","Employed","Single parent ","6","","","","3"
"High transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","9","","","","3"
"High transfer dependency","1984","Employed","Couple + C. GT 16 ","4","","","","3"
"High transfer dependency","1984","Employed","Couple + C. LE and GT 16","7","","","","3"
"High transfer dependency","1984","Not Employed","(Married) couple without C. ","7","","","","3"
"High transfer dependency","1984","Not Employed","Single parent ","9","","","","3"
"High transfer dependency","1984","Not Employed","Couple + C. LE 16 ","23","","","","3"
"High transfer dependency","1984","Not Employed","Couple + C. GT 16 ","4","","","","3"
"High transfer dependency","1984","Employed","1-pers.-HH","13","","","","3"
"High transfer dependency","1984","Employed","(Married) couple without C. ","7","","","","3"
"Low transfer dependency","1984","Employed","Couple + C. LE and GT 16","54","0.0287221378106543","0.0185318049942646","0.0389124706270439","2"
"Low transfer dependency","1984","Not Employed","1-pers.-HH","10","","","","2"
"Low transfer dependency","1984","Not Employed","(Married) couple without C. ","30","0.0166899089573529","0.00944473497039925","0.0239350829443066","2"
"Low transfer dependency","1984","Not Employed","Single parent ","29","","","","2"
"Low transfer dependency","1984","Not Employed","Couple + C. LE 16 ","51","0.0566986987562865","0.0412869542760518","0.0721104432365211","2"
"Low transfer dependency","1984","Not Employed","Couple + C. GT 16 ","30","0.0442474389094387","0.0284504468035117","0.0600444310153657","2"
"Low transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","61","0.0502574822655022","0.0325230570171114","0.0679919075138929","2"
"Low transfer dependency","1984","Employed","1-pers.-HH","31","0.0345872081668559","0.0208122901930579","0.0483621261406538","2"
"Low transfer dependency","1984","Employed","(Married) couple without C. ","40","0.0245102096561184","0.0166377785906786","0.0323826407215582","2"
"Low transfer dependency","1984","Employed","Single parent ","20","","","","2"
"Low transfer dependency","1984","Employed","Couple + C. LE 16 ","74","0.0306323308131246","0.0232953581685444","0.0379693034577048","2"
"Low transfer dependency","1984","Employed","Couple + C. GT 16 ","24","","","","2"
"No transfer dependency","1984","Not Employed","1-pers.-HH","481","0.788810182829914","0.757039525284772","0.820580840375055","0"
"No transfer dependency","1984","Not Employed","(Married) couple without C. ","1066","0.904225317848693","0.887581985775828","0.920868649921558","0"
"No transfer dependency","1984","Not Employed","Single parent ","62","0.322812331263025","0.261029710133673","0.384594952392377","0"
"No transfer dependency","1984","Not Employed","Couple + C. LE 16 ","40","0.0470759796713393","0.0329613704808678","0.0611905888618109","0"
"No transfer dependency","1984","Not Employed","Couple + C. GT 16 ","216","0.337154445576162","0.30084010051745","0.373468790634874","0"
"No transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","27","","","","0"
"No transfer dependency","1984","Employed","1-pers.-HH","558","0.858630391371185","0.832366691970351","0.884894090772019","0"
"No transfer dependency","1984","Employed","(Married) couple without C. ","1206","0.838428182130113","0.819689470461819","0.857166893798407","0"
"No transfer dependency","1984","Employed","Single parent ","107","0.323652215916751","0.273773637291261","0.373530794542241","0"
"No transfer dependency","1984","Employed","Couple + C. LE 16 ","120","0.0529925270194248","0.0434543224938757","0.0625307315449738","0"
"No transfer dependency","1984","Employed","Couple + C. GT 16 ","491","0.390787421750541","0.363419300948811","0.418155542552271","0"
"No transfer dependency","1984","Employed","Couple + C. LE and GT 16","53","0.0307173322085429","0.0201898331031401","0.0412448313139456","0"
"Very high transfer dependency","1984","Employed","Couple + C. LE and GT 16","3","","","","4"
"Very high transfer dependency","1984","Not Employed","Single parent ","4","","","","4"
"Very high transfer dependency","1984","Employed","1-pers.-HH","3","","","","4"
"Very high transfer dependency","1984","Not Employed","1-pers.-HH","8","","","","4"
"Very high transfer dependency","1984","Employed","(Married) couple without C. ","4","","","","4"
"Very high transfer dependency","1984","Not Employed","(Married) couple without C. ","4","","","","4"
"Very high transfer dependency","1984","Employed","Single parent ","2","","","","4"
"Very high transfer dependency","1984","Employed","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1984","Employed","Couple + C. GT 16 ","5","","","","4"
"Very high transfer dependency","1984","Not Employed","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1984","Not Employed","Couple + C. GT 16 ","15","","","","4"
"Very high transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","8","","","","4"
"Very low transfer dependency","1984","Not Employed","(Married) couple without C. ","80","0.063659211779477","0.0498514213476912","0.0774670022112628","1"
