"transab_cat","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1985","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1985","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1985","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1985","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1985","Not Working","Urban Area","78","0.0198274898413737","0.0150116422992218","0.0246433373835256","5"
"Complete transfer dependency","1985","Not Working","Rural Area","22","","","","5"
"High transfer dependency","1985","Part Time","Urban Area","39","0.028559509674935","0.0198777679778182","0.0372412513720519","3"
"High transfer dependency","1985","Not Working","Urban Area","71","0.0186938741734241","0.0140150199401333","0.0233727284067149","3"
"High transfer dependency","1985","Full Time","Rural Area","1","","","","3"
"High transfer dependency","1985","Not Working","Rural Area","8","","","","3"
"High transfer dependency","1985","Full Time","Urban Area","9","","","","3"
"High transfer dependency","1985","Part Time","Rural Area","6","","","","3"
"Low transfer dependency","1985","Full Time","Urban Area","64","0.0110621608862139","0.00774274071248994","0.0143815810599379","2"
"Low transfer dependency","1985","Full Time","Rural Area","18","","","","2"
"Low transfer dependency","1985","Part Time","Urban Area","67","0.0398268771953746","0.029634246562122","0.0500195078286273","2"
"Low transfer dependency","1985","Part Time","Rural Area","30","0.0747025125369076","0.0480572142811396","0.101347810792676","2"
"Low transfer dependency","1985","Not Working","Urban Area","138","0.0267317792136817","0.0211596932626593","0.0323038651647041","2"
"Low transfer dependency","1985","Not Working","Rural Area","39","0.0343184166051027","0.0223516228522874","0.0462852103579179","2"
"No transfer dependency","1985","Full Time","Urban Area","1547","0.48905184774997","0.473187449076262","0.504916246423678","0"
"No transfer dependency","1985","Full Time","Rural Area","317","0.390994504652996","0.359749957964736","0.422239051341257","0"
"No transfer dependency","1985","Part Time","Urban Area","377","0.322755471690091","0.298386738915116","0.347124204465065","0"
"No transfer dependency","1985","Part Time","Rural Area","66","0.211864150355662","0.170450685327591","0.253277615383734","0"
"No transfer dependency","1985","Not Working","Urban Area","1403","0.574269023460073","0.557188037979866","0.59135000894028","0"
"No transfer dependency","1985","Not Working","Rural Area","408","0.565549936160892","0.532966069334735","0.598133802987048","0"
"Very high transfer dependency","1985","Full Time","Urban Area","","","","","4"
"Very high transfer dependency","1985","Part Time","Rural Area","2","","","","4"
"Very high transfer dependency","1985","Full Time","Rural Area","","","","","4"
"Very high transfer dependency","1985","Part Time","Urban Area","8","","","","4"
"Very high transfer dependency","1985","Not Working","Urban Area","46","0.0139675822801043","0.00991348823928183","0.0180216763209268","4"
