"transab_cat","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","lower secondary degree","West Germany","2717","0.514606476984453","0.501869823630789","0.527343130338116"
"No transfer dependency","1984","lower secondary degree","East Germany","","","",""
"No transfer dependency","1984","secondary school degree","West Germany","792","0.472196323194982","0.449508693497781","0.494883952892183"
"No transfer dependency","1984","secondary school degree","East Germany","","","",""
"No transfer dependency","1984","college entrance qualification","West Germany","518","0.447449257205825","0.419684062945933","0.475214451465716"
"No transfer dependency","1984","college entrance qualification","East Germany","","","",""
"No transfer dependency","1984","Other degree","West Germany","376","0.298707994005489","0.274894135976756","0.322521852034221"
"No transfer dependency","1984","Other degree","East Germany","","","",""
"No transfer dependency","1984","no degree/no degree yet","West Germany","301","0.218399002632457","0.19555888533211","0.241239119932805"
"No transfer dependency","1984","no degree/no degree yet","East Germany","","","",""
"Very low transfer dependency","1984","lower secondary degree","West Germany","2833","0.429331810765815","0.416717629056682","0.441945992474947"
"Very low transfer dependency","1984","lower secondary degree","East Germany","","","",""
"Very low transfer dependency","1984","secondary school degree","West Germany","989","0.489356728456908","0.466639088732095","0.512074368181722"
"Very low transfer dependency","1984","secondary school degree","East Germany","","","",""
"Very low transfer dependency","1984","college entrance qualification","West Germany","632","0.486636031018175","0.458726177330781","0.51454588470557"
"Very low transfer dependency","1984","college entrance qualification","East Germany","","","",""
"Very low transfer dependency","1984","Other degree","West Germany","892","0.579552611262621","0.553868818528153","0.605236403997089"
"Very low transfer dependency","1984","Other degree","East Germany","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","West Germany","792","0.63820736051421","0.611643498230246","0.664771222798174"
"Very low transfer dependency","1984","no degree/no degree yet","East Germany","","","",""
"Low transfer dependency","1984","lower secondary degree","West Germany","207","0.0298056468144882","0.0254720414190279","0.0341392522099485"
"Low transfer dependency","1984","lower secondary degree","East Germany","","","",""
"Low transfer dependency","1984","secondary school degree","West Germany","48","0.0231256692950502","0.0162950807855929","0.0299562578045075"
"Low transfer dependency","1984","secondary school degree","East Germany","","","",""
"Low transfer dependency","1984","college entrance qualification","West Germany","34","0.0269960402866565","0.0179460091223382","0.0360460714509748"
"Low transfer dependency","1984","college entrance qualification","East Germany","","","",""
"Low transfer dependency","1984","Other degree","West Germany","101","0.077888676790563","0.0639447294571974","0.0918326241239287"
"Low transfer dependency","1984","Other degree","East Germany","","","",""
"Low transfer dependency","1984","no degree/no degree yet","West Germany","109","0.101237417939523","0.084562124932742","0.117912710946304"
"Low transfer dependency","1984","no degree/no degree yet","East Germany","","","",""
"High transfer dependency","1984","lower secondary degree","West Germany","54","0.00903852670785465","0.0066266898682989","0.0114503635474104"
"High transfer dependency","1984","lower secondary degree","East Germany","","","",""
"High transfer dependency","1984","secondary school degree","West Germany","12","","",""
"High transfer dependency","1984","secondary school degree","East Germany","","","",""
"High transfer dependency","1984","college entrance qualification","West Germany","17","","",""
"High transfer dependency","1984","college entrance qualification","East Germany","","","",""
"High transfer dependency","1984","Other degree","West Germany","30","0.0189934450149971","0.0118912152211308","0.0260956748088634"
"High transfer dependency","1984","Other degree","East Germany","","","",""
"High transfer dependency","1984","no degree/no degree yet","West Germany","18","","",""
"High transfer dependency","1984","no degree/no degree yet","East Germany","","","",""
"Very high transfer dependency","1984","lower secondary degree","West Germany","24","","",""
"Very high transfer dependency","1984","lower secondary degree","East Germany","","","",""
"Very high transfer dependency","1984","secondary school degree","West Germany","4","","",""
"Very high transfer dependency","1984","secondary school degree","East Germany","","","",""
"Very high transfer dependency","1984","college entrance qualification","West Germany","8","","",""
"Very high transfer dependency","1984","college entrance qualification","East Germany","","","",""
"Very high transfer dependency","1984","Other degree","West Germany","6","","",""
"Very high transfer dependency","1984","Other degree","East Germany","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","West Germany","14","","",""
"Very high transfer dependency","1984","no degree/no degree yet","East Germany","","","",""
"Complete transfer dependency","1984","lower secondary degree","West Germany","80","0.0137316289189678","0.0107659147042594","0.0166973431336763"
"Complete transfer dependency","1984","lower secondary degree","East Germany","","","",""
"Complete transfer dependency","1984","secondary school degree","West Germany","15","","",""
"Complete transfer dependency","1984","secondary school degree","East Germany","","","",""
"Complete transfer dependency","1984","college entrance qualification","West Germany","23","","",""
"Complete transfer dependency","1984","college entrance qualification","East Germany","","","",""
"Complete transfer dependency","1984","Other degree","West Germany","14","","",""
"Complete transfer dependency","1984","Other degree","East Germany","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","West Germany","23","","",""
"Complete transfer dependency","1984","no degree/no degree yet","East Germany","","","",""
"No transfer dependency","1985","lower secondary degree","West Germany","2372","0.522537131437942","0.50913013788583","0.535944124990054"
"No transfer dependency","1985","lower secondary degree","East Germany","","","",""
"No transfer dependency","1985","secondary school degree","West Germany","728","0.469787887935706","0.446647984365849","0.492927791505562"
"No transfer dependency","1985","secondary school degree","East Germany","","","",""
"No transfer dependency","1985","college entrance qualification","West Germany","506","0.493468156215125","0.464697349510307","0.522238962919943"
"No transfer dependency","1985","college entrance qualification","East Germany","","","",""
"No transfer dependency","1985","Other degree","West Germany","279","0.28100619762167","0.255261359458458","0.306751035784883"
"No transfer dependency","1985","Other degree","East Germany","","","",""
"No transfer dependency","1985","no degree/no degree yet","West Germany","207","0.198772390980308","0.174691206481514","0.222853575479103"
"No transfer dependency","1985","no degree/no degree yet","East Germany","","","",""
"Very low transfer dependency","1985","lower secondary degree","West Germany","2660","0.423519434350968","0.410256731846973","0.436782136854962"
"Very low transfer dependency","1985","lower secondary degree","East Germany","","","",""
"Very low transfer dependency","1985","secondary school degree","West Germany","989","0.497752948844844","0.474570920455336","0.520934977234352"
"Very low transfer dependency","1985","secondary school degree","East Germany","","","",""
"Very low transfer dependency","1985","college entrance qualification","West Germany","584","0.452688473285093","0.424044311900922","0.481332634669265"
"Very low transfer dependency","1985","college entrance qualification","East Germany","","","",""
"Very low transfer dependency","1985","Other degree","West Germany","790","0.623475883599402","0.595725060295056","0.651226706903749"
"Very low transfer dependency","1985","Other degree","East Germany","","","",""
"Very low transfer dependency","1985","no degree/no degree yet","West Germany","744","0.691206798616997","0.663328919743614","0.719084677490381"
"Very low transfer dependency","1985","no degree/no degree yet","East Germany","","","",""
"Low transfer dependency","1985","lower secondary degree","West Germany","159","0.0265898952852169","0.0222716305934082","0.0309081599770256"
"Low transfer dependency","1985","lower secondary degree","East Germany","","","",""
"Low transfer dependency","1985","secondary school degree","West Germany","34","0.0130821743937576","0.00781392557428761","0.0183504232132276"
"Low transfer dependency","1985","secondary school degree","East Germany","","","",""
"Low transfer dependency","1985","college entrance qualification","West Germany","30","0.0200060526469171","0.0119483451726709","0.0280637601211634"
"Low transfer dependency","1985","college entrance qualification","East Germany","","","",""
"Low transfer dependency","1985","Other degree","West Germany","61","0.050631920458878","0.0380745369973586","0.0631893039203974"
"Low transfer dependency","1985","Other degree","East Germany","","","",""
"Low transfer dependency","1985","no degree/no degree yet","West Germany","62","0.0594869421858734","0.045213947677911","0.0737599366938359"
