"transab_cat","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Full Time","West Germany","2217","0.46028609467287","0.447058336231523","0.473513853114216"
"No transfer dependency","1984","Full Time","East Germany","","","",""
"No transfer dependency","1984","Part Time","West Germany","477","0.301266114285314","0.280152601514169","0.322379627056459"
"No transfer dependency","1984","Part Time","East Germany","","","",""
"No transfer dependency","1984","Not Working","West Germany","2035","0.557738562307814","0.543235638463254","0.572241486152374"
"No transfer dependency","1984","Not Working","East Germany","","","",""
"Very low transfer dependency","1984","Full Time","West Germany","3099","0.521363301495689","0.508105736944201","0.534620866047178"
"Very low transfer dependency","1984","Full Time","East Germany","","","",""
"Very low transfer dependency","1984","Part Time","West Germany","1132","0.604015544966285","0.581509842334201","0.626521247598368"
"Very low transfer dependency","1984","Part Time","East Germany","","","",""
"Very low transfer dependency","1984","Not Working","West Germany","1960","0.356609821072739","0.342622499589663","0.370597142555814"
"Very low transfer dependency","1984","Not Working","East Germany","","","",""
"Low transfer dependency","1984","Full Time","West Germany","127","0.0170184181661843","0.0135858212355587","0.02045101509681"
"Low transfer dependency","1984","Full Time","East Germany","","","",""
"Low transfer dependency","1984","Part Time","West Germany","138","0.0637371824210876","0.0524956693876709","0.0749786954545043"
"Low transfer dependency","1984","Part Time","East Germany","","","",""
"Low transfer dependency","1984","Not Working","West Germany","241","0.0364485566130956","0.0309761505695987","0.0419209626565924"
"Low transfer dependency","1984","Not Working","East Germany","","","",""
"High transfer dependency","1984","Full Time","West Germany","9","","",""
"High transfer dependency","1984","Full Time","East Germany","","","",""
"High transfer dependency","1984","Part Time","West Germany","52","0.0245986370217769","0.0174704899657766","0.0317267840777772"
"High transfer dependency","1984","Part Time","East Germany","","","",""
"High transfer dependency","1984","Not Working","West Germany","72","0.011789319516821","0.0086374383577146","0.0149412006759275"
"High transfer dependency","1984","Not Working","East Germany","","","",""
"Very high transfer dependency","1984","Full Time","West Germany","2","","",""
"Very high transfer dependency","1984","Full Time","East Germany","","","",""
"Very high transfer dependency","1984","Part Time","West Germany","15","","",""
"Very high transfer dependency","1984","Part Time","East Germany","","","",""
"Very high transfer dependency","1984","Not Working","West Germany","39","0.00592856480419551","0.00368682978439327","0.00817029982399774"
"Very high transfer dependency","1984","Not Working","East Germany","","","",""
"Complete transfer dependency","1984","Full Time","West Germany","","","",""
"Complete transfer dependency","1984","Full Time","East Germany","","","",""
"Complete transfer dependency","1984","Part Time","West Germany","","","",""
"Complete transfer dependency","1984","Part Time","East Germany","","","",""
"Complete transfer dependency","1984","Not Working","West Germany","158","0.0314851756853353","0.0263859188101568","0.0365844325605138"
"Complete transfer dependency","1984","Not Working","East Germany","","","",""
"No transfer dependency","1985","Full Time","West Germany","1864","0.466852920842463","0.452666621058488","0.481039220626439"
"No transfer dependency","1985","Full Time","East Germany","","","",""
"No transfer dependency","1985","Part Time","West Germany","443","0.296749015960577","0.275574467799128","0.317923564122026"
"No transfer dependency","1985","Part Time","East Germany","","","",""
"No transfer dependency","1985","Not Working","West Germany","1811","0.572115992461114","0.556986026713108","0.587245958209121"
"No transfer dependency","1985","Not Working","East Germany","","","",""
"Very low transfer dependency","1985","Full Time","West Germany","2795","0.519369790092415","0.505162885938042","0.533576694246787"
"Very low transfer dependency","1985","Full Time","East Germany","","","",""
"Very low transfer dependency","1985","Part Time","West Germany","1193","0.622544407334496","0.600075475118642","0.64501333955035"
"Very low transfer dependency","1985","Part Time","East Germany","","","",""
"Very low transfer dependency","1985","Not Working","West Germany","1880","0.349228594389243","0.334650458216732","0.363806730561755"
"Very low transfer dependency","1985","Not Working","East Germany","","","",""
"Low transfer dependency","1985","Full Time","West Germany","82","0.0125892857123011","0.00941895156494901","0.0157596198596533"
"Low transfer dependency","1985","Full Time","East Germany","","","",""
"Low transfer dependency","1985","Part Time","West Germany","97","0.0480059813455806","0.0380969975163257","0.0579149651748355"
"Low transfer dependency","1985","Part Time","East Germany","","","",""
"Low transfer dependency","1985","Not Working","West Germany","177","0.028605170879702","0.0235077201061594","0.0337026216532446"
"Low transfer dependency","1985","Not Working","East Germany","","","",""
"High transfer dependency","1985","Full Time","West Germany","10","","",""
"High transfer dependency","1985","Full Time","East Germany","","","",""
