"transab_cat","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","1","","","","5"
"Complete transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","32","0.0229686340047712","0.0153262870705013","0.030610980939041","5"
"Complete transfer dependency","1984","16-34 y.","1-pers.-HH","33","0.10096059049647","0.0689837016516561","0.132937479341283","5"
"Complete transfer dependency","1984","16-34 y.","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","1984","16-34 y.","Single parent ","16","","","","5"
"Complete transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1984","35-65 y.","1-pers.-HH","22","","","","5"
"Complete transfer dependency","1984","35-65 y.","(Married) couple without C. ","10","","","","5"
"Complete transfer dependency","1984","35-65 y.","Single parent ","10","","","","5"
"Complete transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","18","","","","5"
"Complete transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1984","66 and older","1-pers.-HH","3","","","","5"
"Complete transfer dependency","1984","66 and older","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","1984","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","1984","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1984","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","1984","16-34 y.","(Married) couple without C. ","5","","","","3"
"High transfer dependency","1984","16-34 y.","1-pers.-HH","8","","","","3"
"High transfer dependency","1984","16-34 y.","Single parent ","9","","","","3"
"High transfer dependency","1984","35-65 y.","(Married) couple without C. ","9","","","","3"
"High transfer dependency","1984","35-65 y.","Single parent ","6","","","","3"
"High transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","18","","","","3"
"High transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","4","","","","3"
"High transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","10","","","","3"
"High transfer dependency","1984","66 and older","1-pers.-HH","3","","","","3"
"High transfer dependency","1984","66 and older","(Married) couple without C. ","","","","","3"
"High transfer dependency","1984","66 and older","Single parent ","","","","","3"
"High transfer dependency","1984","66 and older","Couple + C. LE 16 ","","","","","3"
