"transab_cat","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","no migration background","Male","1728","0.466561259920703","0.451003532543341","0.482118987298065"
"No transfer dependency","1984","no migration background","Female","2065","0.520002901837837","0.505210656748947","0.534795146926728"
"No transfer dependency","1984","direct migration background","Male","492","0.332075130575149","0.310091272176727","0.35405898897357"
"No transfer dependency","1984","direct migration background","Female","407","0.330856713527337","0.307477880298946","0.354235546755728"
"No transfer dependency","1984","indirect migration background","Male","15","","",""
"No transfer dependency","1984","indirect migration background","Female","22","","",""
"Very low transfer dependency","1984","no migration background","Male","2021","0.483489957857474","0.467905824457686","0.499074091257262"
"Very low transfer dependency","1984","no migration background","Female","2053","0.421947731654868","0.407325125342865","0.43657033796687"
"Very low transfer dependency","1984","direct migration background","Male","1074","0.557104685691727","0.533917882098101","0.580291489285352"
"Very low transfer dependency","1984","direct migration background","Female","970","0.561362085464174","0.536706352531096","0.586017818397251"
"Very low transfer dependency","1984","indirect migration background","Male","39","0.505739575101648","0.377070113712491","0.634409036490805"
"Very low transfer dependency","1984","indirect migration background","Female","34","0.397079219880168","0.277204719468179","0.516953720292157"
"Low transfer dependency","1984","no migration background","Male","129","0.0311727225967183","0.0257532117533408","0.0365922334400959"
"Low transfer dependency","1984","no migration background","Female","140","0.0297669413053624","0.0247352146069559","0.034798668003769"
"Low transfer dependency","1984","direct migration background","Male","120","0.0545602157038035","0.0439584815210394","0.0651619498865677"
"Low transfer dependency","1984","direct migration background","Female","108","0.0500948853825801","0.0392561128678462","0.060933657897314"
"Low transfer dependency","1984","indirect migration background","Male","4","","",""
"Low transfer dependency","1984","indirect migration background","Female","5","","",""
"High transfer dependency","1984","no migration background","Male","24","","",""
"High transfer dependency","1984","no migration background","Female","46","0.0103843969453277","0.00738291447111006","0.0133858794195453"
"High transfer dependency","1984","direct migration background","Male","36","0.0230791475122856","0.0160700596153932","0.030088235409178"
"High transfer dependency","1984","direct migration background","Female","27","","",""
"High transfer dependency","1984","indirect migration background","Male","","","",""
"High transfer dependency","1984","indirect migration background","Female","","","",""
"Very high transfer dependency","1984","no migration background","Male","10","","",""
