"transab_cat","year","n","percent","lower_confidence","upper_confidence"
"Complete transfer dependency","1984","158","0.0139209561836346","0.0118045700037491","0.01603734236352"
"High transfer dependency","1984","133","0.00942433583416619","0.00767902122880587","0.0111696504395265"
"Low transfer dependency","1984","506","0.0326238905334872","0.0294148879001069","0.0358328931668674"
"No transfer dependency","1984","4729","0.479498053196222","0.470473844668854","0.488522261723591"
"Very high transfer dependency","1984","56","0.00360430730646141","0.00252179872999911","0.00468681588292371"
"Very low transfer dependency","1984","6191","0.460928456946028","0.451924270419497","0.46993264347256"
"Complete transfer dependency","1985","100","0.00892996037721208","0.00714301448015757","0.0107169062742666"
"High transfer dependency","1985","134","0.0115317833994778","0.00950380158155744","0.0135597652173981"
"Low transfer dependency","1985","356","0.0253763771674201","0.0223891535029439","0.0283636008318963"
"No transfer dependency","1985","4118","0.486227164800374","0.476733374335462","0.495720955265287"
"Very high transfer dependency","1985","71","0.00745226529352285","0.00581863296691275","0.00908589762013295"
"Very low transfer dependency","1985","5868","0.460482448961993","0.45101476410273","0.469950133821255"
"Complete transfer dependency","1986","87","0.00897624566381242","0.00714309413842463","0.0108093971892002"
"High transfer dependency","1986","122","0.0112559352681762","0.00920552057399524","0.0133063499623571"
"Low transfer dependency","1986","329","0.0273963440389286","0.0242236863128247","0.0305690017650325"
"No transfer dependency","1986","4017","0.493976989965903","0.484259648592524","0.503694331339282"
"Very high transfer dependency","1986","68","0.00669813282996353","0.0051127780326468","0.00828348762728025"
"Very low transfer dependency","1986","5546","0.451696352233216","0.442023761180981","0.461368943285451"
"Complete transfer dependency","1987","74","0.00758778569855246","0.00588716193006521","0.0092884094670397"
"High transfer dependency","1987","113","0.00930814273742774","0.00742620400834324","0.0111900814665122"
"Low transfer dependency","1987","342","0.0301455008405891","0.0267945410996717","0.0334964605815066"
"No transfer dependency","1987","4024","0.510057984038428","0.50026112671231","0.519854841364545"
"Very high transfer dependency","1987","64","0.00736131816870077","0.00568607421946305","0.00903656211793849"
"Very low transfer dependency","1987","5385","0.435539268516302","0.425822201639637","0.445256335392967"
"Complete transfer dependency","1988","67","0.00686187120690655","0.00519966618243041","0.00852407623138268"
"High transfer dependency","1988","85","0.00789646429331916","0.00611427710076263","0.00967865148587569"
"Low transfer dependency","1988","303","0.0261993065144779","0.0229831407889409","0.029415472240015"
"No transfer dependency","1988","3907","0.528284187048669","0.518232649372876","0.538335724724463"
"Very high transfer dependency","1988","76","0.00916786219331282","0.0072487844784048","0.0110869399082208"
"Very low transfer dependency","1988","5037","0.421590308743314","0.411647214136057","0.431533403350572"
"Complete transfer dependency","1989","81","0.00961488149460568","0.00761891398415476","0.0116108490050566"
"High transfer dependency","1989","102","0.0114013369595892","0.00922979939333548","0.013572874525843"
"Low transfer dependency","1989","290","0.0238613532325433","0.0207397138187778","0.0269829926463087"
"No transfer dependency","1989","3869","0.531974098381788","0.521768002719412","0.542180194044163"
"Very high transfer dependency","1989","56","0.00640259220030626","0.00477118418273943","0.00803400021787309"
"Very low transfer dependency","1989","4784","0.416745737731168","0.406661478745201","0.426829996717134"
"Complete transfer dependency","1990","53","0.00642143749627926","0.00476131100060235","0.00808156399195617"
"High transfer dependency","1990","99","0.0107573780922118","0.00861335938021625","0.0129013968042074"
"Low transfer dependency","1990","247","0.0227858468271728","0.0196844923645791","0.0258872012897664"
"No transfer dependency","1990","3977","0.549039303512354","0.538697530327497","0.55938107669721"
"Very high transfer dependency","1990","47","0.00501982260533784","0.0035509797196067","0.00648866549106899"
"Very low transfer dependency","1990","4470","0.405976211466645","0.39576972752222","0.416182695411069"
"Complete transfer dependency","1991","58","0.00643589008234506","0.00476457967663366","0.00810720048805646"
"High transfer dependency","1991","91","0.00986259016861843","0.00779721910318703","0.0119279612340498"
"Low transfer dependency","1991","280","0.0261920776699742","0.0228541533404322","0.0295300019995162"
"No transfer dependency","1991","4081","0.562220638854123","0.551851662260877","0.57258961544737"
"Very high transfer dependency","1991","41","0.00501732150999991","0.00354060004973147","0.00649404297026835"
"Very low transfer dependency","1991","4243","0.390271481714939","0.380076028802658","0.40046693462722"
"Complete transfer dependency","1992","54","0.00531234208664148","0.0040381211838816","0.00658656298940135"
"High transfer dependency","1992","168","0.0122234616047755","0.0102973351180554","0.0141495880914957"
"Low transfer dependency","1992","642","0.0345546077506925","0.0313529479398383","0.0377562675615466"
"No transfer dependency","1992","5159","0.52153500534764","0.512778614058664","0.530291396636616"
"Very high transfer dependency","1992","80","0.00712960793710829","0.00565479327051796","0.00860442260369862"
"Very low transfer dependency","1992","6399","0.419244975273142","0.410595519848581","0.427894430697703"
"Complete transfer dependency","1993","57","0.00537507750234087","0.0041003100998675","0.00664984490481424"
"High transfer dependency","1993","212","0.0140330474770576","0.011982281555096","0.0160838133990192"
