"transab_cat","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Full Time","(0) in school","1","","",""
"No transfer dependency","1984","Full Time","(1a) inadequately completed","182","0.358256850711306","0.319065336687288","0.397448364735323"
"No transfer dependency","1984","Full Time","(1b) general elementary school","360","0.452156531186127","0.421339778096883","0.48297328427537"
"No transfer dependency","1984","Full Time","(1c) basic vocational qualification","893","0.431715521354556","0.411134600047213","0.4522964426619"
"No transfer dependency","1984","Full Time","(2b) intermediate general qualification","52","0.417435563891578","0.332665380549657","0.502205747233499"
"No transfer dependency","1984","Full Time","(2a) intermediate vocational","382","0.553633491495814","0.517246555141961","0.590020427849668"
"No transfer dependency","1984","Full Time","(2c_gen) general maturity certificate","29","","",""
"No transfer dependency","1984","Full Time","(2c_voc) vocational maturity certificate","111","0.540595913398339","0.47767813550555","0.603513691291128"
"No transfer dependency","1984","Full Time","(3a) lower tertiary education","75","0.503340255522755","0.424372818339358","0.582307692706151"
"No transfer dependency","1984","Full Time","(3b) higher tertiary education","119","0.414395509269564","0.357502151425578","0.47128886711355"
"No transfer dependency","1984","Part Time","(0) in school","2","","",""
"No transfer dependency","1984","Part Time","(1a) inadequately completed","21","","",""
"No transfer dependency","1984","Part Time","(1b) general elementary school","112","0.296729858166975","0.253702383557174","0.339757332776775"
"No transfer dependency","1984","Part Time","(1c) basic vocational qualification","148","0.298837585821576","0.261932920255507","0.335742251387646"
"No transfer dependency","1984","Part Time","(2b) intermediate general qualification","15","","",""
"No transfer dependency","1984","Part Time","(2a) intermediate vocational","54","0.259281198925892","0.201891191751952","0.316671206099832"
"No transfer dependency","1984","Part Time","(2c_gen) general maturity certificate","26","","",""
"No transfer dependency","1984","Part Time","(2c_voc) vocational maturity certificate","28","","",""
"No transfer dependency","1984","Part Time","(3a) lower tertiary education","18","","",""
"No transfer dependency","1984","Part Time","(3b) higher tertiary education","51","0.461168296020418","0.371978789692711","0.550357802348125"
"No transfer dependency","1984","Not Working","(0) in school","12","","",""
"No transfer dependency","1984","Not Working","(1a) inadequately completed","83","0.282968710179028","0.23761981117681","0.328317609181246"
"No transfer dependency","1984","Not Working","(1b) general elementary school","759","0.617546462894842","0.592820381147155","0.64227254464253"
"No transfer dependency","1984","Not Working","(1c) basic vocational qualification","725","0.631323092603529","0.605207760639767","0.657438424567292"
"No transfer dependency","1984","Not Working","(2b) intermediate general qualification","55","0.3139671556566","0.253725731415892","0.374208579897307"
"No transfer dependency","1984","Not Working","(2a) intermediate vocational","207","0.60511984070854","0.556913640932775","0.653326040484305"
"No transfer dependency","1984","Not Working","(2c_gen) general maturity certificate","44","0.206528722920127","0.152543232574237","0.260514213266016"
"No transfer dependency","1984","Not Working","(2c_voc) vocational maturity certificate","55","0.510982112188885","0.423699438806789","0.598264785570981"
