"transab_cat","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","16-34 y.","Male","651","0.328481312967269","0.30871148740233","0.348251138532207"
"No transfer dependency","1984","16-34 y.","Female","591","0.293648285969859","0.274792206514901","0.312504365424816"
"No transfer dependency","1984","35-65 y.","Male","1124","0.411433824658417","0.394111152330871","0.428756496985963"
"No transfer dependency","1984","35-65 y.","Female","1265","0.483130598705305","0.46525777760457","0.501003419806041"
"No transfer dependency","1984","66 and older","Male","460","0.917623167049857","0.893596206858229","0.941650127241485"
"No transfer dependency","1984","66 and older","Female","638","0.845987520297067","0.820291052898706","0.871683987695429"
"Very low transfer dependency","1984","16-34 y.","Male","1327","0.5903605750047","0.569660210180525","0.611060939828875"
"Very low transfer dependency","1984","16-34 y.","Female","1423","0.60417808586498","0.583931138001284","0.624425033728677"
"Very low transfer dependency","1984","35-65 y.","Male","1772","0.537047546638858","0.519494932428837","0.554600160848878"
"Very low transfer dependency","1984","35-65 y.","Female","1534","0.463353696173872","0.445518790694219","0.481188601653526"
"Very low transfer dependency","1984","66 and older","Male","35","0.0700706267361887","0.0477628092613711","0.0923784442110063"
"Very low transfer dependency","1984","66 and older","Female","100","0.128791256247065","0.104945132648531","0.152637379845599"
"Low transfer dependency","1984","16-34 y.","Male","117","0.0492508422369041","0.0401421032458028","0.0583595812280055"
"Low transfer dependency","1984","16-34 y.","Female","117","0.0482675917267965","0.0393937351108114","0.0571414483427817"
"Low transfer dependency","1984","35-65 y.","Male","130","0.0296548547220379","0.0236834258559827","0.035626283588093"
"Low transfer dependency","1984","35-65 y.","Female","124","0.0285211314380161","0.0225676571939783","0.0344746056820539"
"Low transfer dependency","1984","66 and older","Male","6","","",""
"Low transfer dependency","1984","66 and older","Female","12","","",""
"High transfer dependency","1984","16-34 y.","Male","28","","",""
"High transfer dependency","1984","16-34 y.","Female","40","0.0192310745484099","0.0135450034330721","0.0249171456637477"
"High transfer dependency","1984","35-65 y.","Male","31","0.0078278246790048","0.00472554240838538","0.0109301069496242"
"High transfer dependency","1984","35-65 y.","Female","30","0.00822053663749863","0.00499109035424811","0.0114499829207492"
"High transfer dependency","1984","66 and older","Male","1","","",""
"High transfer dependency","1984","66 and older","Female","3","","",""
"Very high transfer dependency","1984","16-34 y.","Male","13","","",""
"Very high transfer dependency","1984","16-34 y.","Female","14","","",""
"Very high transfer dependency","1984","35-65 y.","Male","12","","",""
"Very high transfer dependency","1984","35-65 y.","Female","16","","",""
"Very high transfer dependency","1984","66 and older","Male","","","",""
"Very high transfer dependency","1984","66 and older","Female","1","","",""
"Complete transfer dependency","1984","16-34 y.","Male","32","0.0172142336678612","0.0117391378000158","0.0226893295357065"
"Complete transfer dependency","1984","16-34 y.","Female","56","0.029568805726563","0.0225554409333954","0.0365821705197305"
"Complete transfer dependency","1984","35-65 y.","Male","31","0.0112522038312885","0.00753917087721377","0.0149652367853632"
"Complete transfer dependency","1984","35-65 y.","Female","34","0.0119685295045525","0.00807918680840867","0.0158578722006964"
"Complete transfer dependency","1984","66 and older","Male","1","","",""
"Complete transfer dependency","1984","66 and older","Female","4","","",""
"No transfer dependency","1985","16-34 y.","Male","581","0.329283834540255","0.308789821961878","0.349777847118633"
"No transfer dependency","1985","16-34 y.","Female","508","0.302344411912925","0.282211193468332","0.322477630357518"
"No transfer dependency","1985","35-65 y.","Male","953","0.42113628569692","0.40276599232538","0.43950657906846"
"No transfer dependency","1985","35-65 y.","Female","1106","0.482607224949642","0.463944579191921","0.501269870707363"
"No transfer dependency","1985","66 and older","Male","409","0.937662083091787","0.915071831233254","0.960252334950319"
"No transfer dependency","1985","66 and older","Female","561","0.865047935789969","0.838961470473784","0.891134401106153"
"Very low transfer dependency","1985","16-34 y.","Male","1293","0.60977101513976","0.588498660888148","0.631043369391372"
"Very low transfer dependency","1985","16-34 y.","Female","1309","0.608213894879882","0.586814850596714","0.62961293916305"
"Very low transfer dependency","1985","35-65 y.","Male","1670","0.531349628372614","0.512783075839076","0.549916180906151"
"Very low transfer dependency","1985","35-65 y.","Female","1494","0.467238854842112","0.448605035940132","0.485872673744092"
"Very low transfer dependency","1985","66 and older","Male","25","","",""
"Very low transfer dependency","1985","66 and older","Female","77","0.102385103214009","0.0792394844394657","0.125530721988553"
"Low transfer dependency","1985","16-34 y.","Male","84","0.031621564559395","0.0239904734605","0.03925265565829"
"Low transfer dependency","1985","16-34 y.","Female","86","0.0375319856644466","0.0292002474159356","0.0458637239129576"
"Low transfer dependency","1985","35-65 y.","Male","88","0.0239666553319084","0.0182761263456041","0.0296571843182126"
"Low transfer dependency","1985","35-65 y.","Female","87","0.0260173294223826","0.0200720387053188","0.0319626201394463"
"Low transfer dependency","1985","66 and older","Male","3","","",""
"Low transfer dependency","1985","66 and older","Female","8","","",""
"High transfer dependency","1985","16-34 y.","Male","31","0.0129821250997274","0.00804575389698075","0.0179184963024741"
"High transfer dependency","1985","16-34 y.","Female","40","0.0193041071699004","0.0132724905089365","0.0253357238308643"
"High transfer dependency","1985","35-65 y.","Male","26","","",""
"High transfer dependency","1985","35-65 y.","Female","27","","",""
"High transfer dependency","1985","66 and older","Male","2","","",""
"High transfer dependency","1985","66 and older","Female","8","","",""
"Very high transfer dependency","1985","16-34 y.","Male","14","","",""
"Very high transfer dependency","1985","16-34 y.","Female","24","","",""
"Very high transfer dependency","1985","35-65 y.","Male","18","","",""
"Very high transfer dependency","1985","35-65 y.","Female","14","","",""
"Very high transfer dependency","1985","66 and older","Male","","","",""
"Very high transfer dependency","1985","66 and older","Female","1","","",""
"Complete transfer dependency","1985","16-34 y.","Male","17","","",""
"Complete transfer dependency","1985","16-34 y.","Female","32","0.0184604982045529","0.0125596112627159","0.0243613851463899"
"Complete transfer dependency","1985","35-65 y.","Male","20","","",""
"Complete transfer dependency","1985","35-65 y.","Female","26","","",""
"Complete transfer dependency","1985","66 and older","Male","1","","",""
"Complete transfer dependency","1985","66 and older","Female","4","","",""
"No transfer dependency","1986","16-34 y.","Male","617","0.353945532183403","0.332818508050333","0.375072556316473"
"No transfer dependency","1986","16-34 y.","Female","544","0.330712326709784","0.309744594530924","0.351680058888645"
"No transfer dependency","1986","35-65 y.","Male","914","0.417055726943066","0.398182667316333","0.435928786569799"
"No transfer dependency","1986","35-65 y.","Female","1030","0.478118484590823","0.458962025818738","0.497274943362908"
"No transfer dependency","1986","66 and older","Male","384","0.92460364601883","0.899382778764122","0.949824513273539"
"No transfer dependency","1986","66 and older","Female","528","0.873179859534815","0.846815431749901","0.89954428731973"
"Very low transfer dependency","1986","16-34 y.","Male","1221","0.58215573729022","0.560365480081881","0.603945994498559"
"Very low transfer dependency","1986","16-34 y.","Female","1224","0.581376385224365","0.559389666955465","0.603363103493265"
"Very low transfer dependency","1986","35-65 y.","Male","1560","0.528194330204855","0.509086551950063","0.547302108459647"
"Very low transfer dependency","1986","35-65 y.","Female","1438","0.470023912597293","0.45088357389354","0.489164251301046"
