"transab_cat","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","indirect migration background","","","","","5"
"Complete transfer dependency","1984","no migration background","100","0.0122141253066572","0.00985562437733015","0.0145726262359842","5"
"Complete transfer dependency","1984","direct migration background","58","0.0305842780760415","0.0247262882771928","0.0364422678748902","5"
"High transfer dependency","1984","no migration background","70","0.00841036089049869","0.00644950008180106","0.0103712216991963","3"
"High transfer dependency","1984","indirect migration background","","","","","3"
"High transfer dependency","1984","direct migration background","63","0.0193747518480891","0.0146853864491499","0.0240641172470283","3"
"Low transfer dependency","1984","indirect migration background","9","","","","2"
"Low transfer dependency","1984","no migration background","269","0.0304209436959696","0.0267332790947016","0.0341086082972377","2"
"Low transfer dependency","1984","direct migration background","228","0.0523894456173324","0.0448092343354964","0.0599696568991685","2"
"No transfer dependency","1984","no migration background","3793","0.495140598016687","0.484405081286469","0.505876114746906","0"
"No transfer dependency","1984","direct migration background","899","0.331482810838429","0.315467651627031","0.347497970049826","0"
"No transfer dependency","1984","indirect migration background","37","0.501262985226853","0.412539867499919","0.589986102953786","0"
"Very high transfer dependency","1984","indirect migration background","3","","","","4"
"Very high transfer dependency","1984","no migration background","26","","","","4"
"Very high transfer dependency","1984","direct migration background","27","","","","4"
"Very low transfer dependency","1984","direct migration background","2044","0.559174372681791","0.542283522434696","0.576065222928887","1"
"Very low transfer dependency","1984","indirect migration background","73","0.439499017248117","0.35142753227747","0.527570502218765","1"
"Very low transfer dependency","1984","no migration background","4074","0.450578617061638","0.439895166906292","0.461262067216984","1"
"Complete transfer dependency","1985","indirect migration background","","","","","5"
"Complete transfer dependency","1985","no migration background","62","0.0080151233138536","0.00602193178154978","0.0100083148461574","5"
"Complete transfer dependency","1985","direct migration background","38","0.0181639419580014","0.0132324400096147","0.0230954439063882","5"
"High transfer dependency","1985","no migration background","73","0.0104150225993656","0.00814569048590595","0.0126843547128253","3"
"High transfer dependency","1985","indirect migration background","2","","","","3"
"High transfer dependency","1985","direct migration background","59","0.0224260552848503","0.0169583396378113","0.0278937709318894","3"
"Low transfer dependency","1985","indirect migration background","7","","","","2"
"Low transfer dependency","1985","no migration background","198","0.023467090780152","0.0200832145310449","0.0268509670292591","2"
"Low transfer dependency","1985","direct migration background","151","0.0430994872293276","0.0356001287699773","0.0505988456886779","2"
"No transfer dependency","1985","no migration background","3396","0.500930669219699","0.489754044836153","0.512107293603245","0"
"No transfer dependency","1985","direct migration background","689","0.349251669859086","0.331646896259665","0.366856443458506","0"
"No transfer dependency","1985","indirect migration background","33","0.43536383331913","0.353815622065231","0.516912044573029","0"
"Very high transfer dependency","1985","indirect migration background","1","","","","4"
"Very high transfer dependency","1985","no migration background","54","0.00742120783545133","0.00550271051598757","0.00933970515491509","4"
"Very high transfer dependency","1985","direct migration background","16","","","","4"
"Very low transfer dependency","1985","direct migration background","1864","0.560341553758284","0.542012552842028","0.57867055467454","1"
"Very low transfer dependency","1985","indirect migration background","99","0.49955070354072","0.417312474805214","0.581788932276226","1"
"Very low transfer dependency","1985","no migration background","3905","0.449750886251479","0.438630827201202","0.460870945301755","1"
"Complete transfer dependency","1986","indirect migration background","","","","","5"
"Complete transfer dependency","1986","no migration background","56","0.00821268124746981","0.00614136341879315","0.0102839990761465","5"
"Complete transfer dependency","1986","direct migration background","31","0.0162948779483251","0.0115430189611857","0.0210467369354645","5"
"High transfer dependency","1986","indirect migration background","1","","","","3"
"High transfer dependency","1986","no migration background","70","0.011049901259431","0.00865072932752524","0.0134490731913367","3"
"High transfer dependency","1986","direct migration background","51","0.0135678048878361","0.0092257637279394","0.0179098460477329","3"
"Low transfer dependency","1986","indirect migration background","5","","","","2"
"Low transfer dependency","1986","no migration background","184","0.0254330415766278","0.0218197752279791","0.0290463079252764","2"
"Low transfer dependency","1986","direct migration background","140","0.0449154279202409","0.037141791798461","0.0526890640420207","2"
"No transfer dependency","1986","no migration background","3266","0.508738904000787","0.49726533199171","0.520212476009864","0"
"No transfer dependency","1986","direct migration background","707","0.361321742469239","0.34329182927073","0.379351655667747","0"
"No transfer dependency","1986","indirect migration background","44","0.520999858122644","0.440787445288684","0.601212270956604","0"
"Very high transfer dependency","1986","indirect migration background","1","","","","4"
"Very high transfer dependency","1986","direct migration background","28","","","","4"
"Very high transfer dependency","1986","no migration background","39","0.00602886353823607","0.00425222287541237","0.00780550420105977","4"
"Very low transfer dependency","1986","no migration background","3678","0.440536608377448","0.429142723604344","0.451930493150552","1"
"Very low transfer dependency","1986","direct migration background","1770","0.552338925302103","0.533675858359558","0.571001992244648","1"
"Very low transfer dependency","1986","indirect migration background","98","0.425337911098588","0.345954770384728","0.504721051812448","1"
"Complete transfer dependency","1987","indirect migration background","","","","","5"
"Complete transfer dependency","1987","no migration background","43","0.00689614694934017","0.00497336202496232","0.00881893187371802","5"
"Complete transfer dependency","1987","direct migration background","31","0.0138996422793659","0.009497484120033","0.0183018004386988","5"
"High transfer dependency","1987","no migration background","60","0.00859030531676476","0.00644612649602262","0.0107344841375069","3"
"High transfer dependency","1987","indirect migration background","","","","","3"
"High transfer dependency","1987","direct migration background","53","0.0159489342791661","0.0112383158800917","0.0206595526782404","3"
"Low transfer dependency","1987","indirect migration background","10","","","","2"
"Low transfer dependency","1987","no migration background","214","0.0291530749833302","0.0252442368557584","0.0330619131109019","2"
"Low transfer dependency","1987","direct migration background","118","0.0373523703707061","0.0302222636818003","0.0444824770596119","2"
"No transfer dependency","1987","no migration background","3300","0.52768570038095","0.516086358977154","0.539285041784746","0"
"No transfer dependency","1987","direct migration background","675","0.360194396541289","0.342143625082133","0.378245168000445","0"
"No transfer dependency","1987","indirect migration background","49","0.527917364339926","0.452651730136741","0.603182998543111","0"
"Very high transfer dependency","1987","indirect migration background","2","","","","4"
"Very high transfer dependency","1987","direct migration background","15","","","","4"
"Very high transfer dependency","1987","no migration background","47","0.00736543853645406","0.00537877590748981","0.0093521011654183","4"
"Very low transfer dependency","1987","no migration background","3452","0.420309333833161","0.408840670807422","0.431777996858899","1"
"Very low transfer dependency","1987","direct migration background","1825","0.56512472334932","0.546484213599436","0.583765233099203","1"
"Very low transfer dependency","1987","indirect migration background","108","0.418405554974161","0.344032848761487","0.492778261186835","1"
"Complete transfer dependency","1988","indirect migration background","3","","","","5"
"Complete transfer dependency","1988","direct migration background","33","0.0147718844220645","0.0101095979200532","0.0194341709240757","5"
"Complete transfer dependency","1988","no migration background","31","0.00594817333252841","0.00410570981272733","0.00779063685232949","5"
"High transfer dependency","1988","no migration background","53","0.00769816496860795","0.0056039653308683","0.00979236460634759","3"
"High transfer dependency","1988","indirect migration background","4","","","","3"
"High transfer dependency","1988","direct migration background","28","","","","3"
"Low transfer dependency","1988","indirect migration background","10","","","","2"
"Low transfer dependency","1988","no migration background","157","0.024142992375262","0.0204651660484851","0.027820818702039","2"
"Low transfer dependency","1988","direct migration background","136","0.0441968191385594","0.0362536766779204","0.0521399615991985","2"
"No transfer dependency","1988","no migration background","3181","0.545343350990258","0.53341228189917","0.557274420081345","0"
"No transfer dependency","1988","direct migration background","670","0.390369062636773","0.371515917798727","0.40922220747482","0"
"No transfer dependency","1988","indirect migration background","56","0.38884650288758","0.323225266334071","0.454467739441089","0"
"Very high transfer dependency","1988","indirect migration background","3","","","","4"
"Very high transfer dependency","1988","no migration background","54","0.00902827559603619","0.00676188055416495","0.0112946706379074","4"
"Very high transfer dependency","1988","direct migration background","19","","","","4"
"Very low transfer dependency","1988","no migration background","3215","0.407839042737308","0.396063881561418","0.419614203913198","1"
"Very low transfer dependency","1988","direct migration background","1686","0.532585395554244","0.513303116025339","0.551867675083149","1"
"Very low transfer dependency","1988","indirect migration background","136","0.536304449868891","0.46917666366831","0.603432236069473","1"
"Complete transfer dependency","1989","indirect migration background","2","","","","5"
"Complete transfer dependency","1989","direct migration background","35","0.0186436829580053","0.0133520410656462","0.0239353248503644","5"
"Complete transfer dependency","1989","no migration background","44","0.0085277001177966","0.0062788050453247","0.0107765951902685","5"
"High transfer dependency","1989","no migration background","58","0.011149282260084","0.00858124238962922","0.0137173221305387","3"
"High transfer dependency","1989","indirect migration background","2","","","","3"
"High transfer dependency","1989","direct migration background","42","0.0138175523313956","0.00925082140453144","0.0183842832582598","3"
"Low transfer dependency","1989","indirect migration background","12","","","","2"
"Low transfer dependency","1989","direct migration background","129","0.0434016599636619","0.0354303589051989","0.051372961022125","2"
"Low transfer dependency","1989","no migration background","149","0.02101706555851","0.0175088478170095","0.0245252833000106","2"
"No transfer dependency","1989","no migration background","3105","0.550477389282971","0.538311091175391","0.56264368739055","0"
"No transfer dependency","1989","direct migration background","696","0.398507323325149","0.379353981666709","0.417660664983589","0"
"No transfer dependency","1989","indirect migration background","68","0.361660287356488","0.30210032287558","0.421220251837397","0"
"Very high transfer dependency","1989","indirect migration background","2","","","","4"
"Very high transfer dependency","1989","no migration background","38","0.00670271449249787","0.00470709413735906","0.00869833484763667","4"
"Very high transfer dependency","1989","direct migration background","16","","","","4"
"Very low transfer dependency","1989","no migration background","3028","0.402125848288141","0.390133649353246","0.414118047223035","1"
"Very low transfer dependency","1989","direct migration background","1592","0.521636512265282","0.502094277180664","0.5411787473499","1"
"Very low transfer dependency","1989","indirect migration background","164","0.557916975216145","0.496354681307275","0.619479269125016","1"
"Complete transfer dependency","1990","indirect migration background","1","","","","5"
"Complete transfer dependency","1990","no migration background","28","","","","5"
"Complete transfer dependency","1990","direct migration background","24","","","","5"
"High transfer dependency","1990","no migration background","55","0.0102001720436334","0.00770008785451223","0.0127002562327546","3"
"High transfer dependency","1990","indirect migration background","","","","","3"
"High transfer dependency","1990","direct migration background","44","0.0158921188449412","0.0109023355232508","0.0208819021666315","3"
"Low transfer dependency","1990","indirect migration background","13","","","","2"
"Low transfer dependency","1990","direct migration background","99","0.0347603576819194","0.0274518430054721","0.0420688723583666","2"
"Low transfer dependency","1990","no migration background","135","0.0210201774024653","0.0174508839360924","0.0245894708688382","2"
"No transfer dependency","1990","no migration background","3200","0.569593146825597","0.557273474275626","0.581912819375569","0"
"No transfer dependency","1990","indirect migration background","71","0.329891229326311","0.2743213082648","0.385461150387823","0"
"No transfer dependency","1990","direct migration background","706","0.414701812658469","0.39504441666741","0.434359208649527","0"
"Very high transfer dependency","1990","indirect migration background","2","","","","4"
"Very high transfer dependency","1990","no migration background","21","","","","4"
"Very high transfer dependency","1990","direct migration background","24","","","","4"
"Very low transfer dependency","1990","no migration background","2766","0.389334966217843","0.377202741957113","0.401467190478573","1"
"Very low transfer dependency","1990","direct migration background","1516","0.510844085295332","0.490898937015902","0.530789233574762","1"
"Very low transfer dependency","1990","indirect migration background","188","0.62699988846152","0.569842818599412","0.684156958323627","1"
"Complete transfer dependency","1991","indirect migration background","4","","","","5"
"Complete transfer dependency","1991","no migration background","27","","","","5"
"Complete transfer dependency","1991","direct migration background","27","","","","5"
"High transfer dependency","1991","no migration background","56","0.00956787945945352","0.00713117623051591","0.0120045826883911","3"
"High transfer dependency","1991","indirect migration background","2","","","","3"
"High transfer dependency","1991","direct migration background","33","0.0126120584600044","0.0080925464711951","0.0171315704488138","3"
"Low transfer dependency","1991","indirect migration background","16","","","","2"
"Low transfer dependency","1991","no migration background","146","0.0226558895683497","0.0189311428806046","0.0263806362560947","2"
"Low transfer dependency","1991","direct migration background","118","0.0482860338131242","0.0396040567528382","0.0569680108734101","2"
"No transfer dependency","1991","no migration background","3256","0.582409895428859","0.570065440879559","0.594754349978158","0"
"No transfer dependency","1991","direct migration background","725","0.436170590209126","0.416086290304712","0.45625489011354","0"
"No transfer dependency","1991","indirect migration background","100","0.396154125035259","0.342649574763456","0.449658675307062","0"
"Very high transfer dependency","1991","indirect migration background","4","","","","4"
"Very high transfer dependency","1991","no migration background","24","","","","4"
"Very high transfer dependency","1991","direct migration background","13","","","","4"
