"transab_cat","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Not Working","indirect migration background","","","","","5"
"Complete transfer dependency","1984","Not Working","direct migration background","58","0.0903171555108138","0.0722323200325565","0.108401990989071","5"
"Complete transfer dependency","1984","Not Working","no migration background","100","0.026950710920375","0.0215734445479278","0.0323279772928223","5"
"Complete transfer dependency","1984","Part Time","indirect migration background","","","","","5"
"Complete transfer dependency","1984","Part Time","direct migration background","","","","","5"
"Complete transfer dependency","1984","Part Time","no migration background","","","","","5"
"Complete transfer dependency","1984","Full Time","no migration background","","","","","5"
"Complete transfer dependency","1984","Full Time","direct migration background","","","","","5"
"Complete transfer dependency","1984","Full Time","indirect migration background","","","","","5"
"High transfer dependency","1984","Full Time","no migration background","4","","","","3"
"High transfer dependency","1984","Part Time","no migration background","29","","","","3"
"High transfer dependency","1984","Part Time","direct migration background","23","","","","3"
"High transfer dependency","1984","Part Time","indirect migration background","","","","","3"
"High transfer dependency","1984","Not Working","no migration background","37","0.0100549230034113","0.00674205644748357","0.013367789559339","3"
"High transfer dependency","1984","Not Working","direct migration background","35","0.0342777213922803","0.0227983916312608","0.0457570511532998","3"
"High transfer dependency","1984","Not Working","indirect migration background","","","","","3"
"High transfer dependency","1984","Full Time","indirect migration background","","","","","3"
"High transfer dependency","1984","Full Time","direct migration background","5","","","","3"
"Low transfer dependency","1984","Part Time","indirect migration background","","","","","2"
"Low transfer dependency","1984","Not Working","no migration background","134","0.0341891356733436","0.0281552215912126","0.0402230497554746","2"
"Low transfer dependency","1984","Not Working","direct migration background","102","0.0652865129473263","0.0497004859059164","0.0808725399887361","2"
"Low transfer dependency","1984","Not Working","indirect migration background","5","","","","2"
"Low transfer dependency","1984","Part Time","no migration background","82","0.0611094242580992","0.0481680102091296","0.0740508383070689","2"
"Low transfer dependency","1984","Part Time","direct migration background","56","0.0881371503687105","0.0628285087800012","0.11344579195742","2"
"Low transfer dependency","1984","Full Time","indirect migration background","4","","","","2"
"Low transfer dependency","1984","Full Time","no migration background","53","0.0147145788790889","0.0107436446794309","0.0186855130787468","2"
"Low transfer dependency","1984","Full Time","direct migration background","70","0.031423200601415","0.0235202838199663","0.0393261173828636","2"
"No transfer dependency","1984","Full Time","no migration background","1605","0.471418890872772","0.454956342905375","0.487881438840168","0"
"No transfer dependency","1984","Full Time","direct migration background","594","0.376781097593552","0.35482980842429","0.398732386762815","0"
"No transfer dependency","1984","Full Time","indirect migration background","18","","","","0"
"No transfer dependency","1984","Part Time","no migration background","378","0.306712814188094","0.281798858175544","0.331626770200644","0"
"No transfer dependency","1984","Part Time","direct migration background","97","0.24913398916159","0.21052199020431","0.287745988118871","0"
"No transfer dependency","1984","Part Time","indirect migration background","2","","","","0"
"No transfer dependency","1984","Not Working","no migration background","1810","0.577658310531073","0.561257077198453","0.594059543863694","0"
"No transfer dependency","1984","Not Working","direct migration background","208","0.306148027986999","0.277068752556675","0.335227303417323","0"
"No transfer dependency","1984","Not Working","indirect migration background","17","","","","0"
