study,dataset,version,variable,value,label,label_de
soep-core,p_data,v36,age_gr,1,16-34 y.,16-34 y.
soep-core,p_data,v36,age_gr,2,35-65 y.,35-65 y.
soep-core,p_data,v36,age_gr,3,66 and older,66 and older
soep-core,p_data,v36,bula_h,1,Schleswig-Holstein,Schleswig-Holstein
soep-core,p_data,v36,bula_h,2,Hamburg,Hamburg
soep-core,p_data,v36,bula_h,3,Lower Saxony,Lower Saxony
soep-core,p_data,v36,bula_h,4,Bremen,Bremen
soep-core,p_data,v36,bula_h,5,North Rhine-Westphalia,North Rhine-Westphalia
soep-core,p_data,v36,bula_h,6,Hesse,Hesse
soep-core,p_data,v36,bula_h,7,"Rhineland-Palatinate,Saarland","Rhineland-Palatinate,Saarland"
soep-core,p_data,v36,bula_h,8,Baden-Württemberg,Baden-Württemberg
soep-core,p_data,v36,bula_h,9,Bavaria,Bavaria
soep-core,p_data,v36,bula_h,11,Berlin,Berlin
soep-core,p_data,v36,bula_h,12,Brandenburg,Brandenburg
soep-core,p_data,v36,bula_h,13,Mecklenburg-Western Pomerania,Mecklenburg-Western Pomerania
soep-core,p_data,v36,bula_h,14,Saxony,Saxony
soep-core,p_data,v36,bula_h,15,Saxony-Anhalt,Saxony-Anhalt
soep-core,p_data,v36,bula_h,16,Thuringia,Thuringia
soep-core,p_data,v36,e11102,0,Not Employed,Not Employed
soep-core,p_data,v36,e11102,1,Employed,Employed
soep-core,p_data,v36,e11103,1,Full Time,Full Time
soep-core,p_data,v36,e11103,2,Part Time,Part Time
soep-core,p_data,v36,e11103,3,Not Working,Not Working
soep-core,p_data,v36,education,1,lower secondary degree,lower secondary degree
soep-core,p_data,v36,education,2,secondary school degree,secondary school degree
soep-core,p_data,v36,education,4,college entrance qualification,college entrance qualification
soep-core,p_data,v36,education,5,Other degree,Other degree
soep-core,p_data,v36,education,6,no degree/no degree yet,no degree/no degree yet
soep-core,p_data,v36,erwst,1,Full-time,Full-time
soep-core,p_data,v36,erwst,2,Part-time,Part-time
soep-core,p_data,v36,erwst,5,Non-working,Non-working
soep-core,p_data,v36,erwst,6,Other,Other
soep-core,p_data,v36,germborn,1,Born in Germany,Born in Germany
soep-core,p_data,v36,germborn,2,Not Born in Germany,Not Born in Germany
soep-core,p_data,v36,hgtyp1hh,1,1-pers.-HH,1-pers.-HH
soep-core,p_data,v36,hgtyp1hh,2,(Married) couple without C. ,(Married) couple without C. 
soep-core,p_data,v36,hgtyp1hh,3,Single parent ,Single parent 
soep-core,p_data,v36,hgtyp1hh,4,Couple + C. LE 16 ,Couple + C. LE 16 
soep-core,p_data,v36,hgtyp1hh,5,Couple + C. GT 16 ,Couple + C. GT 16 
soep-core,p_data,v36,hgtyp1hh,6,Couple + C. LE and GT 16,Couple + C. LE and GT 16
soep-core,p_data,v36,hlf0001_h,1,Main Tenant,Main Tenant
soep-core,p_data,v36,hlf0001_h,2,Sub-Tenant,Sub-Tenant
soep-core,p_data,v36,hlf0001_h,3,Owner,Owner
soep-core,p_data,v36,hlf0001_h,4,Nursing Home/Retirement Community,Nursing Home/Retirement Community
soep-core,p_data,v36,hlf0001_h,5,Tenant,Tenant
soep-core,p_data,v36,hlf0071_h,1,Much too small,Much too small
soep-core,p_data,v36,hlf0071_h,2,A little too small,A little too small
soep-core,p_data,v36,hlf0071_h,3,Just right,Just right
soep-core,p_data,v36,hlf0071_h,4,A little too big,A little too big
soep-core,p_data,v36,hlf0071_h,5,Much too big,Much too big
soep-core,p_data,v36,hlf0094,1,Very Inexpensive,Very Inexpensive
soep-core,p_data,v36,hlf0094,2,Inexpensive,Inexpensive
soep-core,p_data,v36,hlf0094,3,Reasonable,Reasonable
soep-core,p_data,v36,hlf0094,4,Slightly Expensive,Slightly Expensive
soep-core,p_data,v36,hlf0094,5,Too Expensive,Too Expensive
