"plh0191","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","1-pers.-HH","45","0.159230957550708","0.120166189486062","0.198295725615354"
"True entirely","1990","(Married) couple without C. ","103","0.110034790675666","0.0901039954526597","0.129965585898671"
"True entirely","1990","Single parent ","12","","",""
"True entirely","1990","Couple + C. LE 16 ","74","0.0494562877987171","0.0383951012597493","0.060517474337685"
"True entirely","1990","Couple + C. GT 16 ","62","0.0780984293193332","0.0597440399858134","0.0964528186528529"
"True entirely","1990","Couple + C. LE and GT 16","25","","",""
"Tends to agree","1990","1-pers.-HH","69","0.190367756027423","0.148452344559514","0.232283167495332"
"Tends to agree","1990","(Married) couple without C. ","200","0.216535697947846","0.19030272810066","0.242768667795031"
"Tends to agree","1990","Single parent ","38","0.222566592095804","0.163574609109647","0.28155857508196"
"Tends to agree","1990","Couple + C. LE 16 ","269","0.178794801501894","0.159246537258681","0.198343065745107"
"Tends to agree","1990","Couple + C. GT 16 ","186","0.227664050768366","0.1989808992608","0.256347202275932"
"Tends to agree","1990","Couple + C. LE and GT 16","54","0.170037163541127","0.128812796285123","0.211261530797132"
"Rather not true","1990","1-pers.-HH","99","0.302335382763934","0.253300970101726","0.351369795426141"
"Rather not true","1990","(Married) couple without C. ","326","0.346186053082136","0.315885191643682","0.376486914520591"
"Rather not true","1990","Single parent ","68","0.349652038469193","0.282024694460027","0.417279382478358"
"Rather not true","1990","Couple + C. LE 16 ","569","0.383230886054585","0.358428328128751","0.408033443980418"
"Rather not true","1990","Couple + C. GT 16 ","283","0.352308885001753","0.319633382120754","0.384984387882752"
"Rather not true","1990","Couple + C. LE and GT 16","122","0.375606245448663","0.322462956681767","0.428749534215558"
"Totally disagree","1990","1-pers.-HH","124","0.348065903657935","0.297207148108142","0.398924659207729"
"Totally disagree","1990","(Married) couple without C. ","318","0.327243458294352","0.297359539125832","0.357127377462873"
"Totally disagree","1990","Single parent ","73","0.351005653400623","0.283318083894841","0.418693222906406"
"Totally disagree","1990","Couple + C. LE 16 ","564","0.388518024644804","0.363652230829756","0.413383818459852"
"Totally disagree","1990","Couple + C. GT 16 ","290","0.341928634910547","0.30948117194077","0.374376097880324"
"Totally disagree","1990","Couple + C. LE and GT 16","118","0.382184179091997","0.328860683117626","0.435507675066368"
"True entirely","1991","1-pers.-HH","50","0.161443227218151","0.119876962997526","0.203009491438777"
"True entirely","1991","(Married) couple without C. ","99","0.106199039746313","0.0860032874670158","0.126394792025611"
"True entirely","1991","Single parent ","13","","",""
"True entirely","1991","Couple + C. LE 16 ","68","0.0506589223822419","0.038977980342818","0.0623398644216658"
"True entirely","1991","Couple + C. GT 16 ","59","0.067331842981772","0.050137846349509","0.084525839614035"
"True entirely","1991","Couple + C. LE and GT 16","24","","",""
"Tends to agree","1991","1-pers.-HH","75","0.266362243252583","0.216422993653099","0.316301492852067"
"Tends to agree","1991","(Married) couple without C. ","237","0.266160827818726","0.237190604285151","0.295131051352301"
"Tends to agree","1991","Single parent ","39","0.269213658641044","0.202926771709439","0.335500545572649"
"Tends to agree","1991","Couple + C. LE 16 ","257","0.192085540746136","0.171102482484156","0.213068599008116"
"Tends to agree","1991","Couple + C. GT 16 ","202","0.252945687427745","0.223119843572429","0.28277153128306"
"Tends to agree","1991","Couple + C. LE and GT 16","69","0.198406436821664","0.154982361895791","0.241830511747537"
"Rather not true","1991","1-pers.-HH","104","0.3447681941132","0.29107417345983","0.39846221476657"
"Rather not true","1991","(Married) couple without C. ","328","0.364547931977179","0.332998027420489","0.396097836533869"
"Rather not true","1991","Single parent ","63","0.324045138430402","0.254101942840294","0.393988334020509"
"Rather not true","1991","Couple + C. LE 16 ","562","0.41318593543981","0.386958140408945","0.439413730470675"
"Rather not true","1991","Couple + C. GT 16 ","340","0.414101531141997","0.380305351390297","0.447897710893696"
"Rather not true","1991","Couple + C. LE and GT 16","153","0.498912176706585","0.444468861544071","0.553355491869099"
"Totally disagree","1991","1-pers.-HH","72","0.227426335416065","0.180072498959806","0.274780171872325"
"Totally disagree","1991","(Married) couple without C. ","230","0.263092200457782","0.234229305097328","0.291955095818235"
"Totally disagree","1991","Single parent ","57","0.325591752660139","0.255562095265888","0.395621410054391"
"Totally disagree","1991","Couple + C. LE 16 ","467","0.344069601431812","0.318765507548464","0.36937369531516"
"Totally disagree","1991","Couple + C. GT 16 ","215","0.265620938448487","0.235317332645478","0.295924544251496"
"Totally disagree","1991","Couple + C. LE and GT 16","78","0.235947076959794","0.189714871936036","0.282179281983553"
"True entirely","1992","1-pers.-HH","100","0.0846436618068345","0.0689405119887151","0.100346811624954"
"True entirely","1992","(Married) couple without C. ","185","0.0610001035925975","0.0523665821317878","0.0696336250534071"
"True entirely","1992","Single parent ","23","","",""
"True entirely","1992","Couple + C. LE 16 ","93","0.0381718478901891","0.0309736403346853","0.0453700554456928"
"True entirely","1992","Couple + C. GT 16 ","107","0.0479596690893316","0.0389959758502697","0.0569233623283934"
"True entirely","1992","Couple + C. LE and GT 16","21","","",""
"Tends to agree","1992","1-pers.-HH","213","0.177486266177427","0.155931247094641","0.199041285260212"
"Tends to agree","1992","(Married) couple without C. ","461","0.145331742109689","0.132618130453267","0.158045353766111"
"Tends to agree","1992","Single parent ","86","0.160838614511368","0.129765924279494","0.191911304743242"
"Tends to agree","1992","Couple + C. LE 16 ","302","0.0918459726042416","0.0809963696333448","0.102695575575139"
"Tends to agree","1992","Couple + C. GT 16 ","323","0.131824096015629","0.117632785982551","0.146015406048707"
"Tends to agree","1992","Couple + C. LE and GT 16","94","0.102668602545836","0.0805134004480149","0.124823804643657"
"Rather not true","1992","1-pers.-HH","366","0.289250896105125","0.263671518508578","0.314830273701672"
"Rather not true","1992","(Married) couple without C. ","849","0.2764462099818","0.260312633733501","0.2925797862301"
"Rather not true","1992","Single parent ","182","0.345044195627833","0.304836951314406","0.385251439941261"
"Rather not true","1992","Couple + C. LE 16 ","883","0.303745649325397","0.286469656118666","0.321021642532129"
"Rather not true","1992","Couple + C. GT 16 ","741","0.327395885365733","0.307710786897363","0.347080983834104"
"Rather not true","1992","Couple + C. LE and GT 16","264","0.345684479681327","0.310969732220738","0.380399227141917"
"Totally disagree","1992","1-pers.-HH","528","0.448619175910614","0.420561014990537","0.476677336830692"
"Totally disagree","1992","(Married) couple without C. ","1457","0.517221944315913","0.499195828942278","0.535248059689548"
"Totally disagree","1992","Single parent ","246","0.441435390286013","0.399437136846037","0.483433643725989"
"Totally disagree","1992","Couple + C. LE 16 ","1444","0.566236530180172","0.547618683061722","0.584854377298622"
"Totally disagree","1992","Couple + C. GT 16 ","1012","0.492820349529306","0.471848030796858","0.513792668261754"
"Totally disagree","1992","Couple + C. LE and GT 16","342","0.516560109256351","0.480083695540817","0.553036522971885"
"True entirely","1993","1-pers.-HH","143","0.113018139492064","0.0964272114494591","0.129609067534668"
"True entirely","1993","(Married) couple without C. ","241","0.0747907768752387","0.0658266222434451","0.0837549315070323"
"True entirely","1993","Single parent ","36","0.0562341915418965","0.0378314641416727","0.0746369189421203"
"True entirely","1993","Couple + C. LE 16 ","155","0.0540618352819218","0.0461051172188358","0.0620185533450078"
"True entirely","1993","Couple + C. GT 16 ","187","0.0746786805769073","0.0645274249551741","0.0848299361986405"
"True entirely","1993","Couple + C. LE and GT 16","81","0.0734877044875046","0.0585615828343252","0.0884138261406839"
"Tends to agree","1993","1-pers.-HH","263","0.186014124930014","0.165623965107352","0.206404284752676"
"Tends to agree","1993","(Married) couple without C. ","582","0.173941569425469","0.161024249479257","0.186858889371682"
"Tends to agree","1993","Single parent ","100","0.168479139004925","0.138579944585504","0.198378333424347"
"Tends to agree","1993","Couple + C. LE 16 ","412","0.122932929519839","0.111379585067554","0.134486273972124"
"Tends to agree","1993","Couple + C. GT 16 ","444","0.156071488132298","0.142056595429395","0.170086380835202"
