"plh0191","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Full Time","1-pers.-HH","15","","",""
"True entirely","1992","Full Time","(Married) couple without C. ","55","0.0430091625825979","0.0318732097749582","0.0541451153902375"
"True entirely","1992","Full Time","Single parent ","8","","",""
"True entirely","1992","Full Time","Couple + C. LE 16 ","44","0.0314048583010329","0.0228669616765262","0.0399427549255395"
"True entirely","1992","Full Time","Couple + C. GT 16 ","54","0.0462381389436216","0.0338618432675327","0.0586144346197106"
"True entirely","1992","Full Time","Couple + C. LE and GT 16","7","","",""
"True entirely","1992","Part Time","1-pers.-HH","7","","",""
"True entirely","1992","Part Time","(Married) couple without C. ","23","","",""
"True entirely","1992","Part Time","Single parent ","4","","",""
"True entirely","1992","Part Time","Couple + C. LE 16 ","23","","",""
"True entirely","1992","Part Time","Couple + C. GT 16 ","23","","",""
"True entirely","1992","Part Time","Couple + C. LE and GT 16","6","","",""
"True entirely","1992","Not Working","1-pers.-HH","78","0.122290280506094","0.097026213970681","0.147554347041507"
"True entirely","1992","Not Working","(Married) couple without C. ","107","0.0783269418412486","0.0635614279365353","0.093092455745962"
"True entirely","1992","Not Working","Single parent ","11","","",""
"True entirely","1992","Not Working","Couple + C. LE 16 ","26","","",""
"True entirely","1992","Not Working","Couple + C. GT 16 ","30","0.0501164831338688","0.0327449860271943","0.0674879802405433"
"True entirely","1992","Not Working","Couple + C. LE and GT 16","8","","",""
"Tends to agree","1992","Full Time","1-pers.-HH","53","0.111649387507598","0.0824212570452175","0.140877517969979"
"Tends to agree","1992","Full Time","(Married) couple without C. ","129","0.0909627671617728","0.0751788182629876","0.106746716060558"
"Tends to agree","1992","Full Time","Single parent ","32","0.126279922257","0.0843433547699919","0.168216489744008"
"Tends to agree","1992","Full Time","Couple + C. LE 16 ","173","0.0852080447801254","0.0715407425525289","0.0988753470077219"
"Tends to agree","1992","Full Time","Couple + C. GT 16 ","145","0.115273766602539","0.0964528737599427","0.134094659445136"
"Tends to agree","1992","Full Time","Couple + C. LE and GT 16","48","0.106156855069527","0.0749380001994276","0.137375709939626"
"Tends to agree","1992","Part Time","1-pers.-HH","14","","",""
"Tends to agree","1992","Part Time","(Married) couple without C. ","59","0.115175356303733","0.0840847660934698","0.146265946513997"
"Tends to agree","1992","Part Time","Single parent ","21","","",""
"Tends to agree","1992","Part Time","Couple + C. LE 16 ","95","0.124563637115957","0.0998163286642251","0.149310945567689"
"Tends to agree","1992","Part Time","Couple + C. GT 16 ","72","0.122919580194357","0.0932666319531002","0.152572528435613"
"Tends to agree","1992","Part Time","Couple + C. LE and GT 16","30","0.118644290077552","0.0712724114630817","0.166016168692022"
"Tends to agree","1992","Not Working","1-pers.-HH","146","0.226161635393849","0.193901481972664","0.258421788815034"
"Tends to agree","1992","Not Working","(Married) couple without C. ","273","0.197991705811904","0.176093049688209","0.219890361935599"
"Tends to agree","1992","Not Working","Single parent ","33","0.198778967847413","0.135952357645572","0.261605578049254"
"Tends to agree","1992","Not Working","Couple + C. LE 16 ","34","0.0653666882291966","0.0421391955648019","0.0885941808935913"
"Tends to agree","1992","Not Working","Couple + C. GT 16 ","106","0.1651082607796","0.135547795724034","0.194668725835167"
"Tends to agree","1992","Not Working","Couple + C. LE and GT 16","16","","",""
"Rather not true","1992","Full Time","1-pers.-HH","139","0.279896374026689","0.238230854950209","0.321561893103169"
"Rather not true","1992","Full Time","(Married) couple without C. ","388","0.290669449617318","0.265745490782498","0.315593408452138"
"Rather not true","1992","Full Time","Single parent ","88","0.356510378101551","0.296039478196882","0.416981278006221"
"Rather not true","1992","Full Time","Couple + C. LE 16 ","551","0.319528952480177","0.296702350643043","0.342355554317312"
"Rather not true","1992","Full Time","Couple + C. GT 16 ","381","0.328109872566563","0.30043858889866","0.355781156234465"
"Rather not true","1992","Full Time","Couple + C. LE and GT 16","144","0.374329483569398","0.325282516999917","0.423376450138879"
"Rather not true","1992","Part Time","1-pers.-HH","31","0.315572580092424","0.230632532259488","0.40051262792536"
"Rather not true","1992","Part Time","(Married) couple without C. ","121","0.282589691335476","0.238738384211975","0.326440998458977"
"Rather not true","1992","Part Time","Single parent ","45","0.303792807466595","0.227883237482108","0.379702377451083"
"Rather not true","1992","Part Time","Couple + C. LE 16 ","197","0.280653976969909","0.246981538812146","0.314326415127673"
"Rather not true","1992","Part Time","Couple + C. GT 16 ","173","0.350068588192852","0.306991337994966","0.393145838390738"
"Rather not true","1992","Part Time","Couple + C. LE and GT 16","58","0.320895952555607","0.252509219913161","0.389282685198053"
