"plh0191","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Not Employed","1-pers.-HH","78","0.122290280506094","0.097026213970681","0.147554347041507"
"True entirely","1992","Not Employed","(Married) couple without C. ","107","0.0783269418412486","0.0635614279365353","0.093092455745962"
"True entirely","1992","Not Employed","Single parent ","11","","",""
"True entirely","1992","Not Employed","Couple + C. LE 16 ","26","","",""
"True entirely","1992","Not Employed","Couple + C. GT 16 ","30","0.0501164831338688","0.0327449860271943","0.0674879802405433"
"True entirely","1992","Not Employed","Couple + C. LE and GT 16","8","","",""
"True entirely","1992","Employed","1-pers.-HH","22","","",""
"True entirely","1992","Employed","(Married) couple without C. ","78","0.0451622404827468","0.0352323151657455","0.055092165799748"
"True entirely","1992","Employed","Single parent ","12","","",""
"True entirely","1992","Employed","Couple + C. LE 16 ","67","0.0305607083689778","0.0235063580016142","0.0376150587363414"
"True entirely","1992","Employed","Couple + C. GT 16 ","77","0.0470387089261643","0.0365891593445425","0.0574882585077861"
"True entirely","1992","Employed","Couple + C. LE and GT 16","13","","",""
"Tends to agree","1992","Not Employed","1-pers.-HH","146","0.226161635393849","0.193901481972664","0.258421788815034"
"Tends to agree","1992","Not Employed","(Married) couple without C. ","273","0.197991705811904","0.176093049688209","0.219890361935599"
"Tends to agree","1992","Not Employed","Single parent ","33","0.198778967847413","0.135952357645572","0.261605578049254"
"Tends to agree","1992","Not Employed","Couple + C. LE 16 ","34","0.0653666882291966","0.0421391955648019","0.0885941808935913"
"Tends to agree","1992","Not Employed","Couple + C. GT 16 ","106","0.1651082607796","0.135547795724034","0.194668725835167"
"Tends to agree","1992","Not Employed","Couple + C. LE and GT 16","16","","",""
"Tends to agree","1992","Employed","1-pers.-HH","67","0.113164942830716","0.0869502942040046","0.139379591457428"
"Tends to agree","1992","Employed","(Married) couple without C. ","188","0.0971970920069606","0.0830320926009626","0.111362091412959"
"Tends to agree","1992","Employed","Single parent ","53","0.143529550303182","0.108370003919908","0.178689096686456"
"Tends to agree","1992","Employed","Couple + C. LE 16 ","268","0.0978675711986981","0.0856897508962792","0.110045391501117"
"Tends to agree","1992","Employed","Couple + C. GT 16 ","217","0.117611748924533","0.101712102857213","0.133511394991853"
"Tends to agree","1992","Employed","Couple + C. LE and GT 16","78","0.110318497008867","0.0842072884133073","0.136429705604427"
"Rather not true","1992","Not Employed","1-pers.-HH","196","0.290926059555474","0.255901804513364","0.325950314597584"
"Rather not true","1992","Not Employed","(Married) couple without C. ","340","0.263161776333755","0.238962520361029","0.287361032306481"
"Rather not true","1992","Not Employed","Single parent ","49","0.364356999533464","0.288594824369378","0.44011917469755"
"Rather not true","1992","Not Employed","Couple + C. LE 16 ","135","0.289329365490287","0.246717170558752","0.331941560421822"
"Rather not true","1992","Not Employed","Couple + C. GT 16 ","187","0.309998580431089","0.273175796160384","0.346821364701795"
"Rather not true","1992","Not Employed","Couple + C. LE and GT 16","62","0.312698858586257","0.242596903424067","0.382800813748447"
"Rather not true","1992","Employed","1-pers.-HH","170","0.287037276944489","0.249603019494842","0.324471534394135"
"Rather not true","1992","Employed","(Married) couple without C. ","509","0.288589050965845","0.266922307184916","0.310255794746775"
"Rather not true","1992","Employed","Single parent ","133","0.336233350882087","0.288858864151678","0.383607837612495"
"Rather not true","1992","Employed","Couple + C. LE 16 ","748","0.307024026235032","0.288119740248811","0.325928312221253"
"Rather not true","1992","Employed","Couple + C. GT 16 ","554","0.334824539139508","0.311532420485254","0.358116657793761"
"Rather not true","1992","Employed","Couple + C. LE and GT 16","202","0.356521885492519","0.316601427697547","0.396442343287492"
"Totally disagree","1992","Not Employed","1-pers.-HH","226","0.360622024544583","0.32359346722691","0.397650581862257"
"Totally disagree","1992","Not Employed","(Married) couple without C. ","552","0.460519576013092","0.433128037351293","0.487911114674892"
"Totally disagree","1992","Not Employed","Single parent ","62","0.361096557000702","0.285480934823531","0.436712179177872"
"Totally disagree","1992","Not Employed","Couple + C. LE 16 ","240","0.573662991368508","0.527189168755736","0.62013681398128"
"Totally disagree","1992","Not Employed","Couple + C. GT 16 ","283","0.474776675655442","0.435018315029012","0.514535036281871"
"Totally disagree","1992","Not Employed","Couple + C. LE and GT 16","82","0.54515078032748","0.469852423999","0.620449136655959"
"Totally disagree","1992","Employed","1-pers.-HH","302","0.564901667809911","0.523876837048293","0.605926498571528"
"Totally disagree","1992","Employed","(Married) couple without C. ","905","0.569051616544447","0.545371605051139","0.592731628037756"
"Totally disagree","1992","Employed","Single parent ","184","0.478087395380153","0.42799532878941","0.528179461970896"
"Totally disagree","1992","Employed","Couple + C. LE 16 ","1204","0.564547694197293","0.544227136406899","0.584868251987686"
"Totally disagree","1992","Employed","Couple + C. GT 16 ","729","0.500525003009795","0.475847454784655","0.525202551234935"
"Totally disagree","1992","Employed","Couple + C. LE and GT 16","260","0.507166661610812","0.465497869296793","0.548835453924831"
"True entirely","1993","Not Employed","1-pers.-HH","96","0.154042989291593","0.127320051672824","0.180765926910362"
"True entirely","1993","Not Employed","(Married) couple without C. ","154","0.104098842791401","0.0883801259879534","0.119817559594848"
"True entirely","1993","Not Employed","Single parent ","14","","",""
"True entirely","1993","Not Employed","Couple + C. LE 16 ","42","0.0723724318538949","0.0515532808767849","0.093191582831005"
"True entirely","1993","Not Employed","Couple + C. GT 16 ","76","0.0967724129565569","0.0756557647535925","0.117889061159521"
"True entirely","1993","Not Employed","Couple + C. LE and GT 16","21","","",""
"True entirely","1993","Employed","1-pers.-HH","47","0.0620585256175649","0.0441603412871506","0.0799567099479792"
"True entirely","1993","Employed","(Married) couple without C. ","87","0.0471546936782939","0.0375164278614379","0.0567929594951499"
"True entirely","1993","Employed","Single parent ","22","","",""
"True entirely","1993","Employed","Couple + C. LE 16 ","113","0.0494358560475362","0.0409519457380804","0.0579197663569919"
"True entirely","1993","Employed","Couple + C. GT 16 ","111","0.0655056746950905","0.0541481797287994","0.0768631696613816"
"True entirely","1993","Employed","Couple + C. LE and GT 16","60","0.0741732288175357","0.0565771153728782","0.0917693422621931"
"Tends to agree","1993","Not Employed","1-pers.-HH","172","0.231249619693653","0.200037571599271","0.262461667788034"
"Tends to agree","1993","Not Employed","(Married) couple without C. ","335","0.218471032323362","0.197202693994792","0.239739370651931"
