"plh0191","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","Lower Saxony","Single parent ","","","","","3"
"Rather not true","1990","Lower Saxony","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Schleswig-Holstein","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Schleswig-Holstein","Single parent ","","","","","3"
"Rather not true","1990","Hamburg","1-pers.-HH","","","","","3"
"Rather not true","1990","Hamburg","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Hamburg","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Lower Saxony","1-pers.-HH","","","","","3"
"Rather not true","1990","Lower Saxony","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Thuringia","(Married) couple without C. ","54","0.34303595945303","0.269247209621217","0.416824709284842","3"
"Rather not true","1990","Berlin","(Married) couple without C. ","19","","","","3"
"Rather not true","1990","Schleswig-Holstein","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Thuringia","Single parent ","11","","","","3"
"Rather not true","1990","Berlin","Couple + C. GT 16 ","11","","","","3"
"Rather not true","1990","Hamburg","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Hamburg","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Berlin","Single parent ","5","","","","3"
"Rather not true","1990","Berlin","Couple + C. LE and GT 16","12","","","","3"
"Rather not true","1990","Schleswig-Holstein","1-pers.-HH","","","","","3"
"Rather not true","1990","Schleswig-Holstein","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Hamburg","Single parent ","","","","","3"
"Rather not true","1990","Lower Saxony","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Lower Saxony","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Bremen","1-pers.-HH","","","","","3"
"Rather not true","1990","Bremen","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Bremen","Single parent ","","","","","3"
"Rather not true","1990","Bavaria","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Bavaria","Single parent ","","","","","3"
"Rather not true","1990","Bavaria","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Bavaria","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Bavaria","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Berlin","1-pers.-HH","16","","","","3"
"Rather not true","1990","Berlin","Couple + C. LE 16 ","41","0.384451577104707","0.293953669818642","0.474949484390771","3"
"Rather not true","1990","Saxony","Couple + C. GT 16 ","63","0.294239571643174","0.232605957450467","0.35587318583588","3"
"Rather not true","1990","Saxony-Anhalt","(Married) couple without C. ","49","0.312037290638645","0.239563001701372","0.384511579575919","3"
"Rather not true","1990","Saxony-Anhalt","Single parent ","11","","","","3"
"Rather not true","1990","Saxony-Anhalt","Couple + C. LE 16 ","109","0.407839620933025","0.349003358811871","0.46667588305418","3"
"Rather not true","1990","Saxony-Anhalt","Couple + C. GT 16 ","46","0.304334371293851","0.232814733877051","0.375854008710652","3"
"Rather not true","1990","Saxony-Anhalt","Couple + C. LE and GT 16","21","","","","3"
"Rather not true","1990","Thuringia","1-pers.-HH","16","","","","3"
"Rather not true","1990","Thuringia","Couple + C. LE 16 ","107","0.443499892789333","0.381544516340559","0.505455269238107","3"
"Rather not true","1990","Thuringia","Couple + C. GT 16 ","52","0.380465571029826","0.299754874478233","0.461176267581418","3"
"Rather not true","1990","Thuringia","Couple + C. LE and GT 16","21","","","","3"
"Rather not true","1990","Bremen","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Bremen","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Bremen","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","1-pers.-HH","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","(Married) couple without C. ","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","Single parent ","","","","","3"
"Rather not true","1990","Baden-Württemberg","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Baden-Württemberg","Single parent ","","","","","3"
"Rather not true","1990","Baden-Württemberg","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Baden-Württemberg","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Bavaria","1-pers.-HH","","","","","3"
"Rather not true","1990","Saxony","Single parent ","25","","","","3"
"Rather not true","1990","Saxony","Couple + C. LE and GT 16","33","0.418856795439055","0.311413345108401","0.526300245769708","3"
"Rather not true","1990","Saxony-Anhalt","1-pers.-HH","21","","","","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","48","0.369010402172289","0.288209127550502","0.449811676794077","3"
"Rather not true","1990","North Rhine-Westphalia","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Hesse","1-pers.-HH","","","","","3"
"Rather not true","1990","Hesse","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Hesse","Single parent ","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Baden-Württemberg","1-pers.-HH","","","","","3"
"Rather not true","1990","Baden-Württemberg","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Brandenburg","Couple + C. GT 16 ","63","0.429755450974646","0.349729527975883","0.509781373973409","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","38","0.399809905946613","0.302824533051092","0.496795278842135","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","Single parent ","10","","","","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","57","0.331318350416515","0.258837541512455","0.403799159320576","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","12","","","","3"
"Rather not true","1990","Saxony","1-pers.-HH","28","","","","3"
"Rather not true","1990","Saxony","(Married) couple without C. ","124","0.383939318419127","0.330736012927434","0.437142623910819","3"
"Rather not true","1990","Saxony","Couple + C. LE 16 ","170","0.380255669321579","0.335050264986845","0.425461073656314","3"
"Rather not true","1990","Hesse","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Hesse","Couple + C. GT 16 ","","","","","3"
"Rather not true","1990","Hesse","Couple + C. LE and GT 16","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","Single parent ","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","","","3"
"Rather not true","1990","Brandenburg","Couple + C. LE 16 ","85","0.337423586665551","0.278216900588031","0.39663027274307","3"
"Rather not true","1990","Brandenburg","Single parent ","6","","","","3"
"Rather not true","1990","Brandenburg","Couple + C. LE and GT 16","23","","","","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","1-pers.-HH","5","","","","3"
