"plh0035","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","(0) in school","West Germany","","","",""
"Big worries","1999","(0) in school","East Germany","","","",""
"Big worries","1999","(1a) inadequately completed","West Germany","170","0.389839814626665","0.344576569188679","0.435103060064651"
"Big worries","1999","(1a) inadequately completed","East Germany","","","",""
"Big worries","1999","(1b) general elementary school","West Germany","544","0.343629332521403","0.321217713155154","0.366040951887653"
"Big worries","1999","(1b) general elementary school","East Germany","91","0.434295749652641","0.36909402037829","0.499497478926991"
"Big worries","1999","(1c) basic vocational qualification","West Germany","683","0.233040936175172","0.218309942132871","0.247771930217473"
"Big worries","1999","(1c) basic vocational qualification","East Germany","340","0.369520432822506","0.338697257485495","0.400343608159517"
"Big worries","1999","(2a) intermediate vocational","West Germany","155","0.11952082207573","0.103679856448799","0.135361787702661"
"Big worries","1999","(2a) intermediate vocational","East Germany","180","0.151917666601338","0.131955372858329","0.171879960344346"
"Big worries","1999","(2b) intermediate general qualification","West Germany","60","0.176296700995066","0.137982145792554","0.214611256197579"
"Big worries","1999","(2b) intermediate general qualification","East Germany","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","West Germany","42","0.0846345595332896","0.0568317393256598","0.112437379740919"
"Big worries","1999","(2c_gen) general maturity certificate","East Germany","","","",""
"Big worries","1999","(2c_voc) vocational maturity certificate","West Germany","61","0.109805095231449","0.0842505611463543","0.135359629316543"
"Big worries","1999","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Big worries","1999","(3a) lower tertiary education","West Germany","32","0.0844917725821242","0.057371394171684","0.111612150992564"
"Big worries","1999","(3a) lower tertiary education","East Germany","91","0.184301273103553","0.151867985094044","0.216734561113062"
"Big worries","1999","(3b) higher tertiary education","West Germany","59","0.0902065173958196","0.0690146170120166","0.111398417779623"
"Big worries","1999","(3b) higher tertiary education","East Germany","30","0.118499836492239","0.0826373111492535","0.154362361835225"
"No worries","1999","(0) in school","West Germany","143","0.688536538753434","0.62663578892346","0.750437288583407"
"No worries","1999","(0) in school","East Germany","58","0.58179996790233","0.486540455092122","0.677059480712538"
"No worries","1999","(1a) inadequately completed","West Germany","79","0.191043643093942","0.154559050306577","0.227528235881308"
"No worries","1999","(1a) inadequately completed","East Germany","","","",""
"No worries","1999","(1b) general elementary school","West Germany","433","0.203660416017367","0.184655935334334","0.2226648967004"
"No worries","1999","(1b) general elementary school","East Germany","34","0.125128317699096","0.0816050407835402","0.168651594614651"
"No worries","1999","(1c) basic vocational qualification","West Germany","899","0.260719465633789","0.245421939005187","0.276016992262391"
"No worries","1999","(1c) basic vocational qualification","East Germany","111","0.10773341477557","0.0879343276342272","0.127532501916913"
"No worries","1999","(2a) intermediate vocational","West Germany","675","0.397822510796234","0.373921995959722","0.421723025632745"
"No worries","1999","(2a) intermediate vocational","East Germany","355","0.295006177495711","0.269643476369867","0.320368878621554"
"No worries","1999","(2b) intermediate general qualification","West Germany","157","0.388124292638419","0.339126861487897","0.437121723788941"
"No worries","1999","(2b) intermediate general qualification","East Germany","59","0.397167110246179","0.320135788490237","0.474198432002122"
"No worries","1999","(2c_gen) general maturity certificate","West Germany","199","0.569423043188415","0.519962300050459","0.618883786326371"
"No worries","1999","(2c_gen) general maturity certificate","East Germany","42","0.489452439810519","0.388397507469686","0.590507372151353"
"No worries","1999","(2c_voc) vocational maturity certificate","West Germany","233","0.385389893382202","0.345609948403138","0.425169838361267"
"No worries","1999","(2c_voc) vocational maturity certificate","East Germany","33","0.343067460140859","0.248593444684192","0.437541475597527"
"No worries","1999","(3a) lower tertiary education","West Germany","165","0.387854788002512","0.340341048152286","0.435368527852738"
"No worries","1999","(3a) lower tertiary education","East Germany","115","0.195743570283423","0.162553899672216","0.228933240894631"
"No worries","1999","(3b) higher tertiary education","West Germany","292","0.398508767965623","0.362291713516532","0.434725822414714"
"No worries","1999","(3b) higher tertiary education","East Germany","97","0.291027986133419","0.240625411998335","0.341430560268504"
"Some worries","1999","(0) in school","West Germany","46","0.199793184182624","0.146346555192677","0.25323981317257"
"Some worries","1999","(0) in school","East Germany","33","0.31667282678682","0.226837071449115","0.406508582124524"
"Some worries","1999","(1a) inadequately completed","West Germany","197","0.419116542279393","0.373324230672199","0.464908853886587"
"Some worries","1999","(1a) inadequately completed","East Germany","","","",""
"Some worries","1999","(1b) general elementary school","West Germany","748","0.45271025146123","0.429220827720093","0.476199675202367"
"Some worries","1999","(1b) general elementary school","East Germany","97","0.440575932648264","0.37527001119029","0.505881854106237"
"Some worries","1999","(1c) basic vocational qualification","West Germany","1582","0.506239598191039","0.488818880661126","0.523660315720953"
