"plh0035","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","college entrance qualification","(Married) couple without C. ","60","0.0950909124591863","0.0726945562664716","0.117487268651901"
"Big worries","1999","college entrance qualification","1-pers.-HH","35","0.136343481163442","0.0984486016123432","0.174238360714541"
"Big worries","1999","college entrance qualification","Couple + C. GT 16 ","26","","",""
"Big worries","1999","college entrance qualification","Couple + C. LE 16 ","23","","",""
"Big worries","1999","college entrance qualification","Couple + C. LE and GT 16","8","","",""
"Big worries","1999","college entrance qualification","Single parent ","6","","",""
"Big worries","1999","lower secondary degree","(Married) couple without C. ","657","0.308472405988946","0.288718573744352","0.328226238233539"
"Big worries","1999","lower secondary degree","1-pers.-HH","301","0.374643690071523","0.341554574317047","0.407732805825999"
"Big worries","1999","lower secondary degree","Couple + C. GT 16 ","189","0.223358264122016","0.195505847382439","0.251210680861593"
"Big worries","1999","lower secondary degree","Couple + C. LE 16 ","132","0.134838343869388","0.112886957532107","0.15678973020667"
"Big worries","1999","lower secondary degree","Couple + C. LE and GT 16","49","0.151056034036072","0.110932800114589","0.191179267957554"
"Big worries","1999","lower secondary degree","Single parent ","68","0.228706879010444","0.179066957420628","0.278346800600259"
"Big worries","1999","no degree/no degree yet","(Married) couple without C. ","47","0.393902229133205","0.304599499558177","0.483204958708234"
"Big worries","1999","no degree/no degree yet","1-pers.-HH","11","","",""
"Big worries","1999","no degree/no degree yet","Couple + C. GT 16 ","72","0.205124206453623","0.157486412379757","0.252762000527489"
"Big worries","1999","no degree/no degree yet","Couple + C. LE 16 ","18","","",""
"Big worries","1999","no degree/no degree yet","Couple + C. LE and GT 16","30","0.158001704824188","0.104717519387208","0.211285890261168"
"Big worries","1999","no degree/no degree yet","Single parent ","11","","",""
"Big worries","1999","Other degree","(Married) couple without C. ","85","0.34449482031986","0.282812588442739","0.40617705219698"
"Big worries","1999","Other degree","1-pers.-HH","18","","",""
"Big worries","1999","Other degree","Couple + C. GT 16 ","75","0.35347670206204","0.289871782007017","0.417081622117063"
"Big worries","1999","Other degree","Couple + C. LE 16 ","51","0.20364735653245","0.151827500734847","0.255467212330054"
"Big worries","1999","Other degree","Couple + C. LE and GT 16","29","","",""
"Big worries","1999","Other degree","Single parent ","15","","",""
"Big worries","1999","secondary school degree","(Married) couple without C. ","151","0.190240914868817","0.1653999383112","0.215081891426435"
"Big worries","1999","secondary school degree","1-pers.-HH","60","0.157258886955485","0.122401424440207","0.192116349470762"
"Big worries","1999","secondary school degree","Couple + C. GT 16 ","86","0.123580609569619","0.0987534314561359","0.148407787683103"
"Big worries","1999","secondary school degree","Couple + C. LE 16 ","98","0.0879759021670389","0.0714749160492613","0.104476888284816"
"Big worries","1999","secondary school degree","Couple + C. LE and GT 16","57","0.1283702239395","0.094559665267834","0.162180782611167"
"Big worries","1999","secondary school degree","Single parent ","32","0.120277603952984","0.0774881433397846","0.163067064566183"
"No worries","1999","college entrance qualification","(Married) couple without C. ","255","0.367159414402878","0.330356697594737","0.403962131211019"
"No worries","1999","college entrance qualification","1-pers.-HH","136","0.398267213127072","0.344206480174845","0.4523279460793"
"No worries","1999","college entrance qualification","Couple + C. GT 16 ","180","0.488721307785635","0.4386593086937","0.53878330687757"
"No worries","1999","college entrance qualification","Couple + C. LE 16 ","262","0.484920536033889","0.4433415393663","0.526499532701478"
"No worries","1999","college entrance qualification","Couple + C. LE and GT 16","60","0.445219019379877","0.365685518811446","0.524752519948307"
"No worries","1999","college entrance qualification","Single parent ","37","0.377930050136597","0.279911226056116","0.475948874217077"
"No worries","1999","lower secondary degree","(Married) couple without C. ","342","0.159400543317468","0.143744648502959","0.175056438131977"
"No worries","1999","lower secondary degree","1-pers.-HH","157","0.175765376162645","0.14974555703748","0.201785195287811"
"No worries","1999","lower secondary degree","Couple + C. GT 16 ","232","0.254544793409606","0.225414531163617","0.283675055655595"
"No worries","1999","lower secondary degree","Couple + C. LE 16 ","340","0.354483882164257","0.323740021110467","0.385227743218047"
"No worries","1999","lower secondary degree","Couple + C. LE and GT 16","132","0.418753155876606","0.36347586779821","0.474030443955003"
"No worries","1999","lower secondary degree","Single parent ","91","0.33070184750213","0.275097356734957","0.386306338269302"
"No worries","1999","no degree/no degree yet","(Married) couple without C. ","18","","",""
"No worries","1999","no degree/no degree yet","1-pers.-HH","5","","",""
"No worries","1999","no degree/no degree yet","Couple + C. GT 16 ","95","0.423502731983127","0.365209211403706","0.481796252562547"
"No worries","1999","no degree/no degree yet","Couple + C. LE 16 ","26","","",""
"No worries","1999","no degree/no degree yet","Couple + C. LE and GT 16","94","0.565454357995849","0.493039394573541","0.637869321418157"
"No worries","1999","no degree/no degree yet","Single parent ","30","0.629982963689589","0.503529904534441","0.756436022844738"
"No worries","1999","Other degree","(Married) couple without C. ","42","0.185346704384423","0.134908512322186","0.235784896446659"
"No worries","1999","Other degree","1-pers.-HH","13","","",""
"No worries","1999","Other degree","Couple + C. GT 16 ","44","0.196478398615132","0.143612647470771","0.249344149759492"
"No worries","1999","Other degree","Couple + C. LE 16 ","83","0.361538353981727","0.299715550748125","0.423361157215328"
"No worries","1999","Other degree","Couple + C. LE and GT 16","24","","",""
"No worries","1999","Other degree","Single parent ","6","","",""
"No worries","1999","secondary school degree","(Married) couple without C. ","302","0.308021905167012","0.278802204531434","0.33724160580259"
"No worries","1999","secondary school degree","1-pers.-HH","153","0.320214548281938","0.275541298962917","0.364887797600958"
"No worries","1999","secondary school degree","Couple + C. GT 16 ","239","0.37065639450034","0.33422079958767","0.40709198941301"
"No worries","1999","secondary school degree","Couple + C. LE 16 ","421","0.402093543412354","0.373530462576373","0.430656624248335"
