"plh0035","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","1-pers.-HH","in school","","","",""
"Big worries","1999","1-pers.-HH","inadequately","10","","",""
"Big worries","1999","1-pers.-HH","general elemantary","146","0.391274402262506","0.342900489946595","0.439648314578417"
"Big worries","1999","1-pers.-HH","middle vocational","207","0.256259350033064","0.227098704423548","0.285419995642579"
"Big worries","1999","1-pers.-HH","vocational + Abi","9","","",""
"Big worries","1999","1-pers.-HH","higher vocational","18","","",""
"Big worries","1999","1-pers.-HH","higher education","36","0.171623937577214","0.123416187694139","0.219831687460289"
"Big worries","1999","(Married) couple without C. ","in school","","","",""
"Big worries","1999","(Married) couple without C. ","inadequately","40","0.433956338744885","0.333227320608819","0.534685356880951"
"Big worries","1999","(Married) couple without C. ","general elemantary","245","0.38503147505389","0.348130790701462","0.421932159406318"
"Big worries","1999","(Married) couple without C. ","middle vocational","553","0.254713900315067","0.236718905262061","0.272708895368073"
"Big worries","1999","(Married) couple without C. ","vocational + Abi","15","","",""
"Big worries","1999","(Married) couple without C. ","higher vocational","60","0.218840728914629","0.169523339319016","0.268158118510241"
"Big worries","1999","(Married) couple without C. ","higher education","91","0.130063302152966","0.104361927165756","0.155764677140176"
"Big worries","1999","Single parent ","in school","6","","",""
"Big worries","1999","Single parent ","inadequately","5","","",""
"Big worries","1999","Single parent ","general elemantary","55","0.300153897126354","0.233011809103312","0.367295985149396"
"Big worries","1999","Single parent ","middle vocational","62","0.153954719527645","0.116464636774782","0.191444802280509"
"Big worries","1999","Single parent ","vocational + Abi","1","","",""
"Big worries","1999","Single parent ","higher vocational","2","","",""
"Big worries","1999","Single parent ","higher education","3","","",""
"Big worries","1999","Couple + C. LE 16 ","in school","","","",""
"Big worries","1999","Couple + C. LE 16 ","inadequately","13","","",""
"Big worries","1999","Couple + C. LE 16 ","general elemantary","74","0.211562449556973","0.169077328712871","0.254047570401075"
"Big worries","1999","Couple + C. LE 16 ","middle vocational","177","0.110262763465022","0.0950057339500171","0.125519792980027"
"Big worries","1999","Couple + C. LE 16 ","vocational + Abi","16","","",""
"Big worries","1999","Couple + C. LE 16 ","higher vocational","19","","",""
"Big worries","1999","Couple + C. LE 16 ","higher education","27","","",""
"Big worries","1999","Couple + C. GT 16 ","in school","17","","",""
"Big worries","1999","Couple + C. GT 16 ","inadequately","46","0.320211110436944","0.239385622399231","0.401036598474658"
"Big worries","1999","Couple + C. GT 16 ","general elemantary","118","0.230215041092528","0.193092630112137","0.267337452072918"
