"plh0035","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","direct migration background","West Germany","608","0.273876320606638","0.254825899369725","0.29292674184355","1"
"Big worries","1999","direct migration background","East Germany","40","0.356196341227685","0.26629704552159","0.446095636933779","1"
"Big worries","1999","indirect migration background","West Germany","97","0.169378897678723","0.139035782078695","0.199722013278751","1"
"Big worries","1999","indirect migration background","East Germany","5","","","","1"
"Big worries","1999","no migration background","West Germany","1184","0.187783103440526","0.178784749368992","0.19678145751206","1"
"Big worries","1999","no migration background","East Germany","759","0.228575901985616","0.214986659465984","0.242165144505247","1"
"No worries","1999","indirect migration background","West Germany","297","0.481156327372039","0.440736877017298","0.52157577772678","3"
"No worries","1999","indirect migration background","East Germany","10","","","","3"
"No worries","1999","direct migration background","East Germany","14","","","","3"
"No worries","1999","no migration background","East Germany","916","0.236470336223357","0.222719322383535","0.25022135006318","3"
"No worries","1999","direct migration background","West Germany","568","0.263623206004186","0.244801286727328","0.282445125281044","3"
"No worries","1999","no migration background","West Germany","2552","0.328529385746552","0.317707587614856","0.339351183878248","3"
"Some worries","1999","direct migration background","East Germany","55","0.533674218142598","0.440022086520908","0.627326349764288","2"
"Some worries","1999","indirect migration background","West Germany","193","0.349464774949238","0.310893308331079","0.388036241567396","2"
"Some worries","1999","no migration background","East Germany","1993","0.534953761791027","0.518812420574963","0.551095103007092","2"
"Some worries","1999","indirect migration background","East Germany","7","","","","2"
"Some worries","1999","direct migration background","West Germany","929","0.462500473389176","0.441201082944875","0.483799863833477","2"
"Some worries","1999","no migration background","West Germany","3500","0.483687510812922","0.472173210193302","0.495201811432541","2"
"Big worries","2000","direct migration background","West Germany","707","0.223615054539439","0.20908516374911","0.238144945329768","1"
"Big worries","2000","direct migration background","East Germany","43","0.29205563960067","0.219529931276677","0.364581347924663","1"
"Big worries","2000","indirect migration background","West Germany","94","0.127703100672021","0.104517174822718","0.150889026521324","1"
"Big worries","2000","indirect migration background","East Germany","7","","","","1"
"Big worries","2000","no migration background","West Germany","2336","0.176129271122011","0.169882970614402","0.18237557162962","1"
"Big worries","2000","no migration background","East Germany","1102","0.211963982315988","0.201325028306575","0.222602936325402","1"
"No worries","2000","indirect migration background","West Germany","417","0.506311023340941","0.471579249557943","0.541042797123938","3"
"No worries","2000","indirect migration background","East Germany","12","","","","3"
"No worries","2000","direct migration background","East Germany","29","","","","3"
"No worries","2000","no migration background","East Germany","1599","0.274707879127246","0.263088393574499","0.286327364679993","3"
"No worries","2000","direct migration background","West Germany","989","0.320173150352563","0.303903999383657","0.336442301321469","3"
"No worries","2000","no migration background","West Germany","5134","0.343161989195881","0.335377030807312","0.350946947584451","3"
"Some worries","2000","direct migration background","East Germany","79","0.525408653665759","0.445761889615143","0.605055417716375","2"
"Some worries","2000","indirect migration background","West Germany","285","0.365985875987038","0.332522235458355","0.399449516515722","2"
"Some worries","2000","no migration background","East Germany","2968","0.513328138556765","0.500317143361204","0.526339133752327","2"
"Some worries","2000","direct migration background","West Germany","1463","0.456211795107998","0.43884293071439","0.473580659501606","2"
"Some worries","2000","indirect migration background","East Germany","7","","","","2"
"Some worries","2000","no migration background","West Germany","6817","0.480708739682108","0.472516095666954","0.488901383697262","2"
"Big worries","2001","direct migration background","West Germany","663","0.241711670764877","0.225848491502479","0.257574850027274","1"
"Big worries","2001","direct migration background","East Germany","44","0.324035457469995","0.241326268763162","0.406744646176828","1"
"Big worries","2001","indirect migration background","West Germany","82","0.116886694235582","0.0937694058605766","0.140003982610587","1"
"Big worries","2001","indirect migration background","East Germany","6","","","","1"
"Big worries","2001","no migration background","West Germany","2052","0.16838976168651","0.161938412190675","0.174841111182345","1"
"Big worries","2001","no migration background","East Germany","1023","0.217304910745994","0.206187194473387","0.2284226270186","1"
"No worries","2001","direct migration background","East Germany","16","","","","3"
"No worries","2001","indirect migration background","West Germany","377","0.46047431973881","0.424610635150834","0.496338004326787","3"
"No worries","2001","indirect migration background","East Germany","8","","","","3"
"No worries","2001","no migration background","East Germany","1400","0.25171337328363","0.240013756190009","0.263412990377251","3"
"No worries","2001","direct migration background","West Germany","843","0.306041781224311","0.288965973409831","0.323117589038792","3"
"No worries","2001","no migration background","West Germany","4620","0.338548106754878","0.330389948196984","0.346706265312772","3"
"Some worries","2001","no migration background","East Germany","2863","0.530981715970376","0.517528714747638","0.544434717193115","2"
"Some worries","2001","direct migration background","West Germany","1292","0.452246548010812","0.433804700450615","0.470688395571008","2"
"Some worries","2001","direct migration background","East Germany","63","0.541334907240235","0.453275370544725","0.629394443935745","2"
"Some worries","2001","indirect migration background","West Germany","283","0.422638986025608","0.38709594001483","0.458182032036385","2"
"Some worries","2001","indirect migration background","East Germany","11","","","","2"
"Some worries","2001","no migration background","West Germany","6253","0.493062131558613","0.484443049672537","0.501681213444688","2"
"Big worries","2002","indirect migration background","West Germany","74","0.108826766376675","0.0865686658157038","0.131084866937647","1"
"Big worries","2002","indirect migration background","East Germany","5","","","","1"
"Big worries","2002","direct migration background","West Germany","640","0.236000217620649","0.219947954199591","0.252052481041707","1"
"Big worries","2002","direct migration background","East Germany","38","0.343075253452089","0.256308833528978","0.4298416733752","1"
"Big worries","2002","no migration background","West Germany","2020","0.171265629758485","0.165061475536574","0.177469783980396","1"
"Big worries","2002","no migration background","East Germany","979","0.211740562536265","0.200730293570694","0.222750831501835","1"
"No worries","2002","indirect migration background","West Germany","395","0.451512637981483","0.4159448023175","0.487080473645465","3"
"No worries","2002","direct migration background","East Germany","21","","","","3"
"No worries","2002","indirect migration background","East Germany","8","","","","3"
"No worries","2002","no migration background","East Germany","1521","0.273042505155876","0.261035603688324","0.285049406623428","3"
"No worries","2002","direct migration background","West Germany","780","0.275357740625646","0.258471073898037","0.292244407353255","3"
"No worries","2002","no migration background","West Germany","5365","0.345018981823054","0.337190534146608","0.3528474294995","3"
"Some worries","2002","no migration background","East Germany","2789","0.515216932307859","0.501748095450804","0.528685769164915","2"
"Some worries","2002","direct migration background","West Germany","1268","0.488642041753705","0.469745106133588","0.507538977373823","2"
"Some worries","2002","direct migration background","East Germany","56","0.451939216359559","0.360978567722048","0.542899864997071","2"
"Some worries","2002","indirect migration background","West Germany","283","0.439660595641842","0.404185504103922","0.475135687179763","2"
