"plh0035","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Rural Area","Female","519","0.234970424382765","0.218119954382991","0.25182089438254"
"Big worries","1999","Rural Area","Male","427","0.194835717460751","0.178613624418865","0.211057810502637"
"Big worries","1999","Urban Area","Female","1017","0.234856610717066","0.222693391514646","0.247019829919487"
"Big worries","1999","Urban Area","Male","730","0.168704447022042","0.157561648961841","0.179847245082244"
"No worries","1999","Rural Area","Female","621","0.2522997455168","0.235037850293795","0.269561640739804"
"No worries","1999","Rural Area","Male","732","0.307336965377568","0.28843970901276","0.326234221742376"
"No worries","1999","Urban Area","Female","1414","0.279880483233184","0.266999045990128","0.292761920476241"
"No worries","1999","Urban Area","Male","1590","0.359578534754632","0.345300018341541","0.373857051167722"
"Some worries","1999","Rural Area","Female","1292","0.512729830100435","0.492864512591264","0.532595147609606"
"Some worries","1999","Rural Area","Male","1131","0.497827317161681","0.477348906212348","0.518305728111014"
"Some worries","1999","Urban Area","Female","2235","0.48526290604975","0.470922646749497","0.499603165350002"
"Some worries","1999","Urban Area","Male","2019","0.471717018223326","0.45686356788554","0.486570468561112"
"Big worries","2000","Rural Area","Female","832","0.213040667029853","0.200749366815093","0.225331967244613"
"Big worries","2000","Rural Area","Male","678","0.176896315662659","0.165068259914238","0.18872437141108"
"Big worries","2000","Urban Area","Female","1611","0.21018315700369","0.201396569907381","0.218969744099998"
"Big worries","2000","Urban Area","Male","1168","0.157173718523585","0.148973126189677","0.165374310857494"
"No worries","2000","Rural Area","Female","1219","0.278337174666463","0.264883429443249","0.291790919889678"
"No worries","2000","Rural Area","Male","1347","0.327887175848308","0.313335600827165","0.342438750869451"
"No worries","2000","Urban Area","Female","2731","0.315298616777555","0.305278571067718","0.325318662487392"
"No worries","2000","Urban Area","Male","2883","0.374917003568888","0.364009568523837","0.385824438613939"
"Some worries","2000","Rural Area","Female","2212","0.508622158303684","0.493615090417476","0.523629226189892"
"Some worries","2000","Rural Area","Male","1973","0.495216508489033","0.479718466803809","0.510714550174256"
"Some worries","2000","Urban Area","Female","3918","0.474518226218755","0.463749524562542","0.485286927874968"
"Some worries","2000","Urban Area","Male","3516","0.467909277907527","0.456666855586125","0.479151700228928"
"Big worries","2001","Rural Area","Female","775","0.216024012594025","0.203009487288402","0.229038537899647"
"Big worries","2001","Rural Area","Male","620","0.17980276268667","0.167325641465145","0.192279883908195"
"Big worries","2001","Urban Area","Female","1406","0.200153356591226","0.191125711174887","0.209181002007565"
"Big worries","2001","Urban Area","Male","1069","0.158414370494707","0.149782173107268","0.167046567882145"
"No worries","2001","Rural Area","Female","1044","0.2634487145612","0.249517933229159","0.27737949589324"
"No worries","2001","Rural Area","Male","1199","0.317126598057221","0.302006886844983","0.332246309269459"
"No worries","2001","Urban Area","Female","2487","0.312032500492914","0.301578715409619","0.322486285576209"
"No worries","2001","Urban Area","Male","2534","0.359270842905266","0.347927967823315","0.370613717987217"
"Some worries","2001","Rural Area","Female","2022","0.520527272844776","0.504728271480841","0.53632627420871"
"Some worries","2001","Rural Area","Male","1820","0.503070639256109","0.486825670603609","0.519315607908609"
"Some worries","2001","Urban Area","Female","3653","0.48781414291586","0.476536179657831","0.499092106173889"
"Some worries","2001","Urban Area","Male","3270","0.482314786600027","0.470501436155462","0.494128137044593"
"Big worries","2002","Rural Area","Female","749","0.218869604607719","0.205914298991714","0.231824910223723"
"Big worries","2002","Rural Area","Male","602","0.182122212609761","0.169713237768919","0.194531187450604"
"Big worries","2002","Urban Area","Female","1384","0.202983922514347","0.194168933964448","0.211798911064246"
"Big worries","2002","Urban Area","Male","1021","0.153407577983133","0.14519996571095","0.161615190255315"
"No worries","2002","Rural Area","Female","1152","0.278178237581953","0.264138152858305","0.2922183223056"
"No worries","2002","Rural Area","Male","1268","0.317358592414289","0.302393421436434","0.332323763392145"
"No worries","2002","Urban Area","Female","2736","0.302490008349201","0.29242328520807","0.312556731490332"
"No worries","2002","Urban Area","Male","2934","0.376260739221626","0.36522752044161","0.387293958001643"
"Some worries","2002","Rural Area","Female","2012","0.502952157810329","0.487286248744371","0.518618066876286"
"Some worries","2002","Rural Area","Male","1846","0.500519194975949","0.48444312053457","0.516595269417328"
"Some worries","2002","Urban Area","Female","3878","0.494526069136453","0.483568824258959","0.505483314013946"
"Some worries","2002","Urban Area","Male","3451","0.470331682795241","0.458964303467997","0.481699062122485"
"Big worries","2003","Rural Area","Female","649","0.198972992104489","0.186234285549538","0.21171169865944"
"Big worries","2003","Rural Area","Male","554","0.173759454148646","0.161277748591058","0.186241159706235"
