"plh0035","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Full Time","Female","267","0.147759006032318","0.132020802403785","0.16349720966085"
"Big worries","1999","Full Time","Male","489","0.118980496546443","0.10880228505989","0.129158708032996"
"Big worries","1999","Not Working","Female","995","0.326468321084138","0.310223879360811","0.342712762807466"
"Big worries","1999","Not Working","Male","522","0.293699974769809","0.272336468285757","0.31506348125386"
"Big worries","1999","Part Time","Female","274","0.130706600557933","0.115722457471898","0.145690743643968"
"Big worries","1999","Part Time","Male","146","0.153196317293068","0.130827967089412","0.175564667496725"
"No worries","1999","Full Time","Female","660","0.337464163864534","0.31649334028114","0.358434987447929"
"No worries","1999","Full Time","Male","1509","0.393786504297436","0.378426758259721","0.40914625033515"
"No worries","1999","Not Working","Female","720","0.205704949360612","0.191702031131485","0.219707867589739"
"No worries","1999","Not Working","Male","417","0.224003735876404","0.204447583285435","0.243559888467374"
"No worries","1999","Part Time","Female","655","0.343639485997252","0.32252780989209","0.364751162102414"
"No worries","1999","Part Time","Male","396","0.400994348124454","0.370557266595328","0.431431429653581"
"Some worries","1999","Full Time","Female","1026","0.514776830103148","0.492611345518116","0.536942314688181"
"Some worries","1999","Full Time","Male","1889","0.487232999156122","0.471519634033793","0.50294636427845"
"Some worries","1999","Not Working","Female","1486","0.46782672955525","0.4505415339487","0.4851119251618"
"Some worries","1999","Not Working","Male","807","0.482296289353787","0.458858126336701","0.505734452370873"
"Some worries","1999","Part Time","Female","1015","0.525653913444815","0.50345674525667","0.54785108163296"
"Some worries","1999","Part Time","Male","454","0.445809334582477","0.414940331517887","0.476678337647067"
"Big worries","2000","Full Time","Female","436","0.140550021014884","0.128672059484721","0.152427982545047"
"Big worries","2000","Full Time","Male","735","0.109079557487087","0.101631140658865","0.11652797431531"
"Big worries","2000","Not Working","Female","1563","0.289184929868655","0.277449867863462","0.300919991873848"
"Big worries","2000","Not Working","Male","828","0.252152909246093","0.237266874559848","0.267038943932339"
"Big worries","2000","Part Time","Female","444","0.128271811446867","0.117192002326111","0.139351620567623"
"Big worries","2000","Part Time","Male","283","0.193914116078658","0.174332542782982","0.213495689374334"
"No worries","2000","Full Time","Female","1209","0.382854880426744","0.36624269012521","0.399467070728279"
"No worries","2000","Full Time","Male","2750","0.416809887829445","0.405029843916407","0.428589931742482"
"No worries","2000","Not Working","Female","1437","0.231690247325081","0.220769778175629","0.242610716474534"
"No worries","2000","Not Working","Male","850","0.246732393697374","0.231953961532735","0.261510825862014"
"No worries","2000","Part Time","Female","1304","0.36779932760715","0.351821818934535","0.383776836279765"
"No worries","2000","Part Time","Male","630","0.374112990721665","0.350146658489837","0.398079322953492"
