"plh0035","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","general elemantary","718","0.318840765157596","0.300379832838408","0.337301697476783"
"Big worries","1999","higher education","212","0.109387966903199","0.095594451453865","0.123181482352532"
"Big worries","1999","higher vocational","125","0.165697615471192","0.140233651457162","0.191161579485222"
"Big worries","1999","in school","38","0.10880941724345","0.0746373473491809","0.14298148713772"
"Big worries","1999","inadequately","149","0.352358184209591","0.306780580489395","0.397935787929788"
"Big worries","1999","middle vocational","1350","0.205620395665858","0.196124808810322","0.215115982521395"
"Big worries","1999","vocational + Abi","53","0.112175739736274","0.0847867522158616","0.139564727256687"
"No worries","1999","general elemantary","668","0.233512860801245","0.21675377892683","0.250271942675661"
"No worries","1999","higher education","669","0.346355387185306","0.325328367191706","0.367382407178906"
"No worries","1999","higher vocational","246","0.302503406651446","0.271044594476429","0.333962218826463"
"No worries","1999","in school","200","0.661190252573262","0.609251212492301","0.713129292654224"
"No worries","1999","inadequately","78","0.194875792394905","0.157083585372981","0.232667999416829"
"No worries","1999","middle vocational","2157","0.300662769810229","0.289889244796198","0.31143629482426"
"No worries","1999","vocational + Abi","209","0.408388950765939","0.365729217765629","0.451048683766249"
"Some worries","1999","general elemantary","1062","0.447646374041159","0.427948537715966","0.467344210366352"
"Some worries","1999","higher education","1086","0.544256645911496","0.522247258568047","0.566266033254944"
"Some worries","1999","higher vocational","448","0.531798977877362","0.497624957975816","0.565972997778907"
"Some worries","1999","in school","81","0.230000330183287","0.183819445468066","0.276181214898508"
"Some worries","1999","inadequately","195","0.452766023395504","0.405274586800055","0.500257459990952"
"Some worries","1999","middle vocational","3452","0.493716834523912","0.481970283104786","0.505463385943039"
"Some worries","1999","vocational + Abi","248","0.479435309497786","0.436077696527028","0.522792922468544"
"Big worries","2000","general elemantary","936","0.284811672973163","0.269965209447577","0.299658136498749"
"Big worries","2000","higher education","423","0.115138390731778","0.10500981046808","0.125266970995476"
"Big worries","2000","higher vocational","299","0.176063654405198","0.158833163887231","0.193294144923165"
"Big worries","2000","in school","33","0.0596544808449248","0.0387475685982555","0.0805613930915941"
"Big worries","2000","inadequately","120","0.309375451883882","0.263963466866663","0.354787436901101"
"Big worries","2000","middle vocational","2316","0.188146335157862","0.181374899355533","0.194917770960191"
"Big worries","2000","vocational + Abi","146","0.142640264425986","0.122177972696963","0.163102556155008"
"No worries","2000","general elemantary","1080","0.281977709026826","0.267176054383376","0.296779363670276"
"No worries","2000","higher education","1395","0.368375563397742","0.353069070710455","0.383682056085029"
"No worries","2000","higher vocational","622","0.316812481472212","0.29576563379194","0.337859329152485"
"No worries","2000","in school","314","0.652621003326653","0.610591241117646","0.694650765535661"
"No worries","2000","inadequately","122","0.314807364887117","0.26917895437813","0.360435775396104"
"No worries","2000","middle vocational","4191","0.31942581433726","0.311347574415602","0.327504054258918"
"No worries","2000","vocational + Abi","452","0.412580883329748","0.383775062759143","0.441386703900354"
"Some worries","2000","general elemantary","1534","0.433210618000011","0.416910366184012","0.449510869816009"
"Some worries","2000","higher education","1997","0.51648604587048","0.500628549442126","0.532343542298835"
"Some worries","2000","higher vocational","956","0.50712386412259","0.484506506027357","0.529741222217823"
"Some worries","2000","in school","146","0.287724515828422","0.247763449946739","0.327685581710105"
"Some worries","2000","inadequately","156","0.375817183229001","0.328234297604072","0.423400068853929"
"Some worries","2000","middle vocational","6290","0.492427850504879","0.483765929833696","0.501089771176061"
"Some worries","2000","vocational + Abi","524","0.444778852244266","0.415701374818143","0.473856329670388"
"Big worries","2001","general elemantary","804","0.27420101971135","0.258476729234009","0.289925310188692"
"Big worries","2001","higher education","393","0.122881143659812","0.112069402029883","0.13369288528974"
"Big worries","2001","higher vocational","248","0.166621668789323","0.14877621782482","0.184467119753826"
"Big worries","2001","in school","47","0.0973949712440717","0.0724796906557174","0.122310251832426"
"Big worries","2001","inadequately","93","0.333110977007709","0.280473630334523","0.385748323680896"
"Big worries","2001","middle vocational","2118","0.186274991502392","0.179182726741419","0.193367256263365"
"Big worries","2001","vocational + Abi","145","0.149276638120187","0.12793422815127","0.170619048089103"
"No worries","2001","general elemantary","939","0.276901799932055","0.261129687001123","0.292673912862987"
"No worries","2001","higher education","1262","0.357346071708475","0.341564258384085","0.373127885032866"
"No worries","2001","higher vocational","505","0.28519246416181","0.263570045634911","0.306814882688709"
"No worries","2001","in school","328","0.628491331786561","0.587886028094992","0.669096635478131"
"No worries","2001","inadequately","67","0.207715264594125","0.162410113442445","0.253020415745804"
"No worries","2001","middle vocational","3712","0.313357143145322","0.304907194203744","0.321807092086899"
"No worries","2001","vocational + Abi","419","0.373378505239206","0.344409695188299","0.402347315290114"
"Some worries","2001","general elemantary","1349","0.448897180356595","0.431365719609261","0.466428641103929"
"Some worries","2001","higher education","1887","0.519772784631713","0.503319448697271","0.536226120566155"
"Some worries","2001","higher vocational","922","0.548185867048867","0.524352549001984","0.57201918509575"
"Some worries","2001","in school","169","0.274113696969367","0.236629491439804","0.31159790249893"
"Some worries","2001","inadequately","148","0.459173758398166","0.403520558389102","0.51482695840723"
"Some worries","2001","middle vocational","5746","0.500367865352287","0.49125953615358","0.509476194550994"
"Some worries","2001","vocational + Abi","507","0.477344856640607","0.447430677258091","0.507259036023123"
"Big worries","2002","general elemantary","762","0.276634890508093","0.260367897553011","0.292901883463174"
"Big worries","2002","higher education","412","0.112037726623845","0.10288601645367","0.12118943679402"
"Big worries","2002","higher vocational","259","0.173801320364419","0.156032016153887","0.191570624574951"
"Big worries","2002","in school","39","0.0594802342059516","0.0406643754655062","0.078296092946397"
"Big worries","2002","inadequately","97","0.347634230947096","0.29185456298371","0.403413898910482"
"Big worries","2002","middle vocational","2035","0.190785459848008","0.183631161238988","0.197939758457027"
"Big worries","2002","vocational + Abi","129","0.132382756567298","0.112988243409874","0.151777269724721"
"No worries","2002","general elemantary","866","0.265935070085767","0.249868244934679","0.282001895236855"
"No worries","2002","higher education","1771","0.36854596598759","0.354548817860895","0.382543114114285"
"No worries","2002","higher vocational","594","0.317160321695961","0.295338025916591","0.338982617475331"
"No worries","2002","in school","366","0.599717566443965","0.560740388102167","0.638694744785762"
"No worries","2002","inadequately","63","0.214041042150891","0.165999433863451","0.262082650438332"
"No worries","2002","middle vocational","3847","0.312349948042135","0.303911413224787","0.320788482859482"
"No worries","2002","vocational + Abi","494","0.411467857018153","0.383306593542572","0.439629120493734"
"Some worries","2002","general elemantary","1277","0.45743003940614","0.439313917435997","0.475546161376283"
"Some worries","2002","higher education","2380","0.519416307388565","0.504919740562943","0.533912874214187"
"Some worries","2002","higher vocational","894","0.50903835793962","0.485596033374338","0.532480682504903"
"Some worries","2002","in school","202","0.340802199350084","0.303095995185248","0.378508403514919"
"Some worries","2002","inadequately","120","0.438324726902013","0.380206853664666","0.49644260013936"
"Some worries","2002","middle vocational","5705","0.496864592109858","0.487760763924143","0.505968420295572"
"Some worries","2002","vocational + Abi","550","0.45614938641455","0.427646263614032","0.484652509215068"
"Big worries","2003","general elemantary","695","0.267404295126485","0.250843834557641","0.283964755695329"
"Big worries","2003","higher education","416","0.122183905859336","0.112453915291349","0.131913896427323"
"Big worries","2003","higher vocational","224","0.161690314028434","0.144132214336858","0.179248413720011"
"Big worries","2003","in school","41","0.0518715541599472","0.0343445071465912","0.0693986011733032"
"Big worries","2003","inadequately","87","0.329375585948641","0.272895850318453","0.38585532157883"
"Big worries","2003","middle vocational","1877","0.184495280852642","0.177288432183034","0.19170212952225"
"Big worries","2003","vocational + Abi","122","0.11459613150875","0.096249788984788","0.132942474032712"
"No worries","2003","general elemantary","818","0.277844748579692","0.26108481007606","0.294604687083324"
"No worries","2003","higher education","1675","0.360547680465907","0.346282111943732","0.374813248988082"
"No worries","2003","higher vocational","550","0.305189201215355","0.283228251004696","0.327150151426013"
"No worries","2003","in school","376","0.613772044441697","0.575291966982168","0.652252121901226"
"No worries","2003","inadequately","65","0.231787776393838","0.181077830877257","0.282497721910419"
"No worries","2003","middle vocational","3644","0.312460107750756","0.303848469611437","0.321071745890075"
"No worries","2003","vocational + Abi","475","0.376482938443067","0.348577385528369","0.404388491357766"
"Some worries","2003","general elemantary","1231","0.454750956293823","0.436119778755673","0.473382133831974"
"Some worries","2003","higher education","2261","0.517268413674757","0.502422241740681","0.532114585608832"
"Some worries","2003","higher vocational","915","0.533120484756211","0.509327530971733","0.556913438540689"
"Some worries","2003","in school","198","0.334356401398356","0.297071222242279","0.371641580554432"
"Some worries","2003","inadequately","114","0.43883663765752","0.379201343403632","0.498471931911409"
"Some worries","2003","middle vocational","5607","0.503044611396603","0.493754915760138","0.512334307033067"
"Some worries","2003","vocational + Abi","561","0.508920930048182","0.480127415402509","0.537714444693855"
"Big worries","2004","general elemantary","741","0.307070548615439","0.289257479444538","0.324883617786341"
"Big worries","2004","higher education","481","0.14365728106799","0.1331726779734","0.154141884162579"
"Big worries","2004","higher vocational","266","0.197490582042034","0.178240722140883","0.216740441943186"
"Big worries","2004","in school","58","0.0801964890598831","0.0590886029369771","0.101304375182789"
"Big worries","2004","inadequately","87","0.344556774239618","0.285171540043555","0.403942008435681"
"Big worries","2004","middle vocational","2136","0.219004760309304","0.211202726014923","0.226806794603685"
"Big worries","2004","vocational + Abi","170","0.1734109092605","0.151623673210799","0.195198145310202"
"No worries","2004","general elemantary","681","0.242413945098168","0.225865014016623","0.258962876179713"
"No worries","2004","higher education","1516","0.32703981044978","0.313016215274","0.341063405625559"
"No worries","2004","higher vocational","471","0.261151137783428","0.239911208087758","0.282391067479098"
"No worries","2004","in school","373","0.569087541704419","0.530601468862731","0.607573614546106"
"No worries","2004","inadequately","61","0.222288889799415","0.170331351371494","0.274246428227336"
"No worries","2004","middle vocational","3125","0.270834528174581","0.262451094220044","0.279217962129118"
"No worries","2004","vocational + Abi","413","0.329336065841521","0.302290802215144","0.356381329467899"
"Some worries","2004","general elemantary","1154","0.450515506286392","0.431301950128047","0.469729062444738"
"Some worries","2004","higher education","2302","0.529302908482231","0.514382274870314","0.544223542094147"
"Some worries","2004","higher vocational","906","0.541358280174537","0.517264303817488","0.565452256531586"
"Some worries","2004","in school","205","0.350715969235698","0.313629570399129","0.387802368072267"
"Some worries","2004","inadequately","98","0.433154335960966","0.371233860135493","0.49507481178644"
"Some worries","2004","middle vocational","5533","0.510160711516115","0.500730157720618","0.519591265311612"
"Some worries","2004","vocational + Abi","577","0.497253024897978","0.468480197108909","0.526025852687048"
"Big worries","2005","general elemantary","688","0.303679302271171","0.28529728761335","0.322061316928992"
"Big worries","2005","higher education","462","0.138460142189329","0.127970983354274","0.148949301024384"
"Big worries","2005","higher vocational","251","0.172137818919899","0.153411008708449","0.190864629131348"
"Big worries","2005","in school","58","0.127763278903968","0.10206045766175","0.153466100146186"
"Big worries","2005","inadequately","87","0.328363805963458","0.268825862832109","0.387901749094806"
"Big worries","2005","middle vocational","1963","0.207039656683371","0.199199460785658","0.214879852581084"
"Big worries","2005","vocational + Abi","145","0.155701893182867","0.13458996059816","0.176813825767574"
"No worries","2005","general elemantary","666","0.264167449815569","0.246543225617383","0.281791674013754"
"No worries","2005","higher education","1431","0.327482838872544","0.313230486640997","0.341735191104092"
"No worries","2005","higher vocational","418","0.258833052568778","0.237105313936623","0.280560791200933"
"No worries","2005","in school","393","0.536292216082889","0.497896433136974","0.574687999028803"
"No worries","2005","inadequately","46","0.172737920126992","0.124812652984622","0.220663187269362"
"No worries","2005","middle vocational","2919","0.266102202324489","0.257551211561469","0.274653193087509"
"No worries","2005","vocational + Abi","418","0.342419546103165","0.31478916612027","0.370049926086061"
"Some worries","2005","general elemantary","1050","0.43215324791326","0.412350962166811","0.45195553365971"
"Some worries","2005","higher education","2272","0.534057018938127","0.518907432104302","0.549206605771951"
"Some worries","2005","higher vocational","892","0.569029128511323","0.54446293617753","0.593595320845117"
"Some worries","2005","in school","197","0.335944505013143","0.299578420273473","0.372310589752814"
"Some worries","2005","inadequately","106","0.49889827390955","0.435508662337391","0.56228788548171"
"Some worries","2005","middle vocational","5378","0.52685814099214","0.517197255286541","0.536519026697739"
"Some worries","2005","vocational + Abi","570","0.501878560713967","0.472764681549216","0.530992439878719"
"Big worries","2006","general elemantary","738","0.301645731403871","0.283567361892837","0.319724100914905"
"Big worries","2006","higher education","515","0.134547374035236","0.124663617652122","0.14443113041835"
"Big worries","2006","higher vocational","252","0.167454898464959","0.149449784169648","0.18546001276027"
"Big worries","2006","in school","27","","",""
"Big worries","2006","inadequately","88","0.366882265551934","0.30513101439726","0.428633516706608"
"Big worries","2006","middle vocational","2233","0.220779783560972","0.213053610656196","0.228505956465748"
"Big worries","2006","vocational + Abi","155","0.145056552493177","0.125238769870467","0.164874335115887"
