"plh0035","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","(Married) couple without C. ","Female","526","0.26350033423202","0.244536537035109","0.28246413142893"
"Big worries","1999","(Married) couple without C. ","Male","489","0.243980449668533","0.225456564082671","0.262504335254395"
"Big worries","1999","1-pers.-HH","Female","330","0.342346558123171","0.313397144326695","0.371295971919646"
"Big worries","1999","1-pers.-HH","Male","97","0.156583076076233","0.12873130718891","0.184434844963557"
"Big worries","1999","Couple + C. GT 16 ","Female","232","0.190317946552281","0.167747395870338","0.212888497234224"
"Big worries","1999","Couple + C. GT 16 ","Male","233","0.172116311561547","0.151920211610766","0.192312411512328"
"Big worries","1999","Couple + C. LE 16 ","Female","169","0.101143314708673","0.0860201601691536","0.116266469248192"
"Big worries","1999","Couple + C. LE 16 ","Male","168","0.104555433115515","0.0890967499337495","0.12001411629728"
"Big worries","1999","Couple + C. LE and GT 16","Female","96","0.141581397673898","0.112758835074016","0.17040396027378"
"Big worries","1999","Couple + C. LE and GT 16","Male","85","0.142750785089391","0.114759987962055","0.170741582216728"
"Big worries","1999","Single parent ","Female","98","0.19762698522054","0.161510878254941","0.233743092186139"
"Big worries","1999","Single parent ","Male","41","0.13332948562352","0.0907642382848703","0.17589473296217"
"No worries","1999","(Married) couple without C. ","Female","439","0.191444307485002","0.174507769591076","0.208380845378927"
"No worries","1999","(Married) couple without C. ","Male","544","0.254286982342308","0.235505235204206","0.273068729480409"
"No worries","1999","1-pers.-HH","Female","236","0.199238367572471","0.174868882205865","0.223607852939078"
"No worries","1999","1-pers.-HH","Male","246","0.351116636961683","0.314534569983633","0.387698703939734"
"No worries","1999","Couple + C. GT 16 ","Female","355","0.317431344396758","0.290667832439942","0.344194856353575"
"No worries","1999","Couple + C. GT 16 ","Male","483","0.360040364794386","0.334358667618114","0.385722061970657"
"No worries","1999","Couple + C. LE 16 ","Female","575","0.395249655359435","0.370727853173302","0.419771457545568"
