"plh0035","year","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","college entrance qualification","169","0.0801771139080146","0.0689007829755331","0.091453444840496"
"Big worries","1999","lower secondary degree","1461","0.279456187812508","0.267608872501777","0.291303503123238"
"Big worries","1999","no degree/no degree yet","210","0.253874603528749","0.223193294535939","0.284555912521559"
"Big worries","1999","Other degree","291","0.303772836192945","0.27429522845211","0.33325044393378"
"Big worries","1999","secondary school degree","494","0.138777579698876","0.127871422407961","0.14968373698979"
"No worries","1999","college entrance qualification","962","0.429022159742152","0.40847082718559","0.449573492298714"
"No worries","1999","lower secondary degree","1339","0.221355956577096","0.210395012174448","0.232316900979744"
"No worries","1999","no degree/no degree yet","281","0.415962871296997","0.381216788009193","0.450708954584801"
"No worries","1999","Other degree","222","0.23552714606929","0.208328718007001","0.262725574131579"
"No worries","1999","secondary school degree","1362","0.35959205713899","0.344453383076016","0.374730731201964"
"Some worries","1999","college entrance qualification","1097","0.490800726349833","0.470042655787668","0.511558796911998"
"Some worries","1999","lower secondary degree","2711","0.499187855610397","0.485986992822698","0.512388718398096"
"Some worries","1999","no degree/no degree yet","282","0.330162525174254","0.297010737418672","0.363314312929835"
"Some worries","1999","Other degree","422","0.460700017737766","0.428750331091628","0.492649704383903"
"Some worries","1999","secondary school degree","2004","0.501630363162134","0.485857078751402","0.517403647572867"
"Big worries","2000","college entrance qualification","441","0.0988413882032561","0.0903253194385405","0.107357456967972"
"Big worries","2000","lower secondary degree","2383","0.250034214490166","0.241512350630565","0.258556078349767"
"Big worries","2000","no degree/no degree yet","165","0.191277362694339","0.165765375412344","0.216789349976335"
"Big worries","2000","Other degree","363","0.241498841535615","0.220053250207558","0.262944432863672"
"Big worries","2000","secondary school degree","917","0.139283475016283","0.131147946978375","0.147419003054192"
"No worries","2000","college entrance qualification","2047","0.43263987420384","0.418502726363985","0.446777022043694"
"No worries","2000","lower secondary degree","2701","0.26178203992444","0.253130839507709","0.270433240341171"
"No worries","2000","no degree/no degree yet","436","0.475447344579455","0.443053800886157","0.507840888272753"
